state	power	likelihood
2600	1	-236.822
2700	1	-231.464
2800	1	-231.247
2900	1	-232.449
3000	1	-230.607
3100	1	-229.469
3200	1	-233.525
3300	1	-235.488
3400	1	-235.089
3500	1	-232.036
3600	1	-230.933
3700	1	-229.308
3800	1	-229.731
3900	1	-231.582
4000	1	-235.421
4100	1	-230.754
4200	1	-233.169
4300	1	-230.014
4400	1	-230.263
4500	1	-231.867
4600	1	-230.529
4700	1	-228.964
4800	1	-232.069
4900	1	-231.239
5000	1	-230.37
5100	1	-232.392
5200	1	-229.734
5300	1	-228.852
5400	1	-230.979
5500	1	-232.086
5600	1	-234.567
5700	1	-228.439
5800	1	-227.813
5900	1	-228.844
6000	1	-232.176
6100	1	-234.332
6200	1	-231.714
6300	1	-231.828
6400	1	-227.499
6500	1	-228.592
6600	1	-230.961
6700	1	-231.438
6800	1	-230.476
6900	1	-232.459
7000	1	-231.309
7100	1	-231.844
7200	1	-231.428
7300	1	-230.926
7400	1	-234.341
7500	1	-228.669
7600	1	-229.143
7700	1	-230.241
7800	1	-231.617
7900	1	-229.147
8000	1	-229.213
8100	1	-229.852
8200	1	-229.246
8300	1	-229.799
8400	1	-234.106
8500	1	-231.274
8600	1	-229.629
8700	1	-230.396
8800	1	-229.14
8900	1	-235.276
9000	1	-231.587
9100	1	-234.15
9200	1	-231.249
9300	1	-232.686
9400	1	-226.896
9500	1	-231.88
9600	1	-230.297
9700	1	-230.452
9800	1	-228.654
9900	1	-230.018
10000	1	-230.704
2600	0.903921	-230.584
2700	0.903921	-230.148
2800	0.903921	-229.886
2900	0.903921	-228.288
3000	0.903921	-231.75
3100	0.903921	-228.387
3200	0.903921	-229.723
3300	0.903921	-230.929
3400	0.903921	-231.383
3500	0.903921	-234.208
3600	0.903921	-231.6
3700	0.903921	-235.057
3800	0.903921	-230.407
3900	0.903921	-231.106
4000	0.903921	-230.522
4100	0.903921	-230.439
4200	0.903921	-230.183
4300	0.903921	-231.153
4400	0.903921	-230.847
4500	0.903921	-231.482
4600	0.903921	-231.413
4700	0.903921	-232.586
4800	0.903921	-231.314
4900	0.903921	-229.385
5000	0.903921	-230.891
5100	0.903921	-226.992
5200	0.903921	-228.359
5300	0.903921	-230.247
5400	0.903921	-232.628
5500	0.903921	-229.332
5600	0.903921	-231.246
5700	0.903921	-230.384
5800	0.903921	-237.108
5900	0.903921	-232.351
6000	0.903921	-233.051
6100	0.903921	-228.624
6200	0.903921	-232.478
6300	0.903921	-232.215
6400	0.903921	-228.479
6500	0.903921	-228.641
6600	0.903921	-231.614
6700	0.903921	-233.387
6800	0.903921	-233.549
6900	0.903921	-231.273
7000	0.903921	-234.744
7100	0.903921	-231.711
7200	0.903921	-229.948
7300	0.903921	-230.092
7400	0.903921	-236.933
7500	0.903921	-234.732
7600	0.903921	-229.24
7700	0.903921	-230.825
7800	0.903921	-230.806
7900	0.903921	-233.042
8000	0.903921	-230.039
8100	0.903921	-232.175
8200	0.903921	-228.961
8300	0.903921	-230.122
8400	0.903921	-232.384
8500	0.903921	-230.653
8600	0.903921	-231.934
8700	0.903921	-231.004
8800	0.903921	-230.23
8900	0.903921	-229.468
9000	0.903921	-232.411
9100	0.903921	-230.669
9200	0.903921	-232.545
9300	0.903921	-231.161
9400	0.903921	-232.32
9500	0.903921	-229.049
9600	0.903921	-231.336
9700	0.903921	-230.201
9800	0.903921	-232.653
9900	0.903921	-229.769
10000	0.903921	-232.581
2600	0.815373	-231.51
2700	0.815373	-227.696
2800	0.815373	-230.43
2900	0.815373	-233.387
3000	0.815373	-232.887
3100	0.815373	-235.108
3200	0.815373	-233.343
3300	0.815373	-227.837
3400	0.815373	-232.777
3500	0.815373	-231.174
3600	0.815373	-230.492
3700	0.815373	-232.758
3800	0.815373	-236.08
3900	0.815373	-234.385
4000	0.815373	-235.538
4100	0.815373	-235.682
4200	0.815373	-229.562
4300	0.815373	-230.357
4400	0.815373	-232.736
4500	0.815373	-230.942
4600	0.815373	-230.18
4700	0.815373	-230.219
4800	0.815373	-229.585
4900	0.815373	-230.483
5000	0.815373	-233.645
5100	0.815373	-230.61
5200	0.815373	-229.953
5300	0.815373	-232.486
5400	0.815373	-231.175
5500	0.815373	-230.768
5600	0.815373	-235.601
5700	0.815373	-229.88
5800	0.815373	-229.677
5900	0.815373	-231.994
6000	0.815373	-232.24
6100	0.815373	-232.103
6200	0.815373	-234.984
6300	0.815373	-231.825
6400	0.815373	-230.497
6500	0.815373	-236.316
6600	0.815373	-230.572
6700	0.815373	-232.788
6800	0.815373	-233.611
6900	0.815373	-227.438
7000	0.815373	-231.976
7100	0.815373	-230.842
7200	0.815373	-230.965
7300	0.815373	-229.776
7400	0.815373	-231.127
7500	0.815373	-229.464
7600	0.815373	-232.48
7700	0.815373	-231.07
7800	0.815373	-230.327
7900	0.815373	-233.493
8000	0.815373	-233.68
8100	0.815373	-234.315
8200	0.815373	-230.066
8300	0.815373	-231.578
8400	0.815373	-229.438
8500	0.815373	-229.479
8600	0.815373	-231.032
8700	0.815373	-229.553
8800	0.815373	-231.552
8900	0.815373	-230.106
9000	0.815373	-233.924
9100	0.815373	-232.493
9200	0.815373	-233.936
9300	0.815373	-232.22
9400	0.815373	-230.272
9500	0.815373	-231.913
9600	0.815373	-232.31
9700	0.815373	-232.347
9800	0.815373	-229.253
9900	0.815373	-229.754
10000	0.815373	-234.009
2600	0.733904	-231.738
2700	0.733904	-231.805
2800	0.733904	-234.16
2900	0.733904	-230.186
3000	0.733904	-230.619
3100	0.733904	-232.577
3200	0.733904	-230.948
3300	0.733904	-230.133
3400	0.733904	-230.334
3500	0.733904	-234.689
3600	0.733904	-233.336
3700	0.733904	-234.214
3800	0.733904	-230.547
3900	0.733904	-232.59
4000	0.733904	-229.894
4100	0.733904	-232.94
4200	0.733904	-233.782
4300	0.733904	-231.054
4400	0.733904	-234.236
4500	0.733904	-233.202
4600	0.733904	-232.155
4700	0.733904	-231.017
4800	0.733904	-229.253
4900	0.733904	-229.308
5000	0.733904	-232.038
5100	0.733904	-230.186
5200	0.733904	-230.296
5300	0.733904	-235.45
5400	0.733904	-231.569
5500	0.733904	-232.318
5600	0.733904	-234.15
5700	0.733904	-237.115
5800	0.733904	-233.123
5900	0.733904	-230.719
6000	0.733904	-233.592
6100	0.733904	-233.921
6200	0.733904	-231.88
6300	0.733904	-231.409
6400	0.733904	-230.486
6500	0.733904	-230.206
6600	0.733904	-231.613
6700	0.733904	-230.283
6800	0.733904	-231.476
6900	0.733904	-230.132
7000	0.733904	-231.154
7100	0.733904	-236.648
7200	0.733904	-229.76
7300	0.733904	-229.764
7400	0.733904	-230.434
7500	0.733904	-228.277
