state	power	likelihood
2600	1.024e-07	-1714.16
2700	1.024e-07	-1429.37
2800	1.024e-07	-665.545
2900	1.024e-07	-1918.92
3000	1.024e-07	-926.854
3100	1.024e-07	-677.52
3200	1.024e-07	-1853.75
3300	1.024e-07	-1036.85
3400	1.024e-07	-1469.78
3500	1.024e-07	-952.998
3600	1.024e-07	-910.881
3700	1.024e-07	-451.988
3800	1.024e-07	-2006.95
3900	1.024e-07	-842.658
4000	1.024e-07	-1070.9
4100	1.024e-07	-1173.51
4200	1.024e-07	-650.515
4300	1.024e-07	-1355.23
4400	1.024e-07	-1308.35
4500	1.024e-07	-1361.8
4600	1.024e-07	-1141.69
4700	1.024e-07	-1497.87
4800	1.024e-07	-3895.04
4900	1.024e-07	-1001.09
5000	1.024e-07	-929.183
5100	1.024e-07	-1418.47
5200	1.024e-07	-801.511
5300	1.024e-07	-590.213
5400	1.024e-07	-849.823
5500	1.024e-07	-1685.53
5600	1.024e-07	-879.016
5700	1.024e-07	-660.35
5800	1.024e-07	-547.668
5900	1.024e-07	-1097.21
6000	1.024e-07	-714.425
6100	1.024e-07	-500.555
6200	1.024e-07	-1636.35
6300	1.024e-07	-1520.24
6400	1.024e-07	-745.619
6500	1.024e-07	-1573.34
6600	1.024e-07	-1347.8
6700	1.024e-07	-611.518
6800	1.024e-07	-1634.18
6900	1.024e-07	-798.045
7000	1.024e-07	-1616.21
7100	1.024e-07	-1024.87
7200	1.024e-07	-970.544
7300	1.024e-07	-1484.76
7400	1.024e-07	-1260.74
7500	1.024e-07	-1030.12
7600	1.024e-07	-1129.62
7700	1.024e-07	-1711.85
7800	1.024e-07	-1187.23
7900	1.024e-07	-852.403
8000	1.024e-07	-810.5
8100	1.024e-07	-728.03
8200	1.024e-07	-923.364
8300	1.024e-07	-779.995
8400	1.024e-07	-620.19
8500	1.024e-07	-1394.54
8600	1.024e-07	-1109.27
8700	1.024e-07	-1693.17
8800	1.024e-07	-716.101
8900	1.024e-07	-667.38
9000	1.024e-07	-1001.29
9100	1.024e-07	-976.187
9200	1.024e-07	-1278.8
9300	1.024e-07	-1266.14
9400	1.024e-07	-594.842
9500	1.024e-07	-1167.08
9600	1.024e-07	-1162.14
9700	1.024e-07	-1259.88
9800	1.024e-07	-1596.42
9900	1.024e-07	-1385.42
10000	1.024e-07	-663.939
