state	power	likelihood
12600	1	-235.768
12700	1	-234.371
12800	1	-233.387
12900	1	-232.541
13000	1	-234.456
13100	1	-231.37
13200	1	-234.221
13300	1	-233.886
13400	1	-235.028
13500	1	-234.165
13600	1	-231.422
13700	1	-231.971
13800	1	-238.627
13900	1	-233.321
14000	1	-232.027
14100	1	-232.508
14200	1	-232.513
14300	1	-235.071
14400	1	-235.6
14500	1	-233.868
14600	1	-234.674
14700	1	-232.858
14800	1	-232.93
14900	1	-236.638
15000	1	-234.553
15100	1	-233.649
15200	1	-233.346
15300	1	-237.676
15400	1	-233.868
15500	1	-235.44
15600	1	-235.458
15700	1	-231.776
15800	1	-236.581
15900	1	-234.595
16000	1	-232.848
16100	1	-232.314
16200	1	-233.82
16300	1	-236.5
16400	1	-234.648
16500	1	-238.947
16600	1	-236.183
16700	1	-231.477
16800	1	-236.234
16900	1	-231.791
17000	1	-232.74
17100	1	-239.492
17200	1	-235.348
17300	1	-236.47
17400	1	-233.701
17500	1	-233.979
17600	1	-231.842
17700	1	-232.24
17800	1	-236.478
17900	1	-235.296
18000	1	-233.816
18100	1	-234.587
18200	1	-235.17
18300	1	-235.369
18400	1	-235.734
18500	1	-235.097
18600	1	-234.718
18700	1	-233.917
18800	1	-234.237
18900	1	-233.487
19000	1	-235.323
19100	1	-235.978
19200	1	-234.374
19300	1	-232.672
19400	1	-243.116
19500	1	-235.298
19600	1	-235.286
19700	1	-237.384
19800	1	-234.09
19900	1	-237.842
20000	1	-237.685
20100	1	-236.393
20200	1	-237.328
20300	1	-234.941
20400	1	-238.319
20500	1	-238.562
20600	1	-232.466
20700	1	-234.524
20800	1	-232.805
20900	1	-233.771
21000	1	-232.453
21100	1	-236.063
21200	1	-235.413
21300	1	-233.64
21400	1	-232.128
21500	1	-231.972
21600	1	-235.876
21700	1	-232.148
21800	1	-235.144
21900	1	-233.555
22000	1	-234.955
22100	1	-233.585
22200	1	-235.315
22300	1	-234.052
22400	1	-234.316
22500	1	-236.588
22600	1	-234.329
22700	1	-236.058
22800	1	-232.242
22900	1	-231.798
23000	1	-236.685
23100	1	-233.489
23200	1	-234.394
23300	1	-238.356
23400	1	-232.974
23500	1	-233.292
23600	1	-236.23
23700	1	-233.105
23800	1	-233.668
23900	1	-234.605
24000	1	-231.772
24100	1	-235.305
24200	1	-231.039
24300	1	-232.375
24400	1	-234.665
24500	1	-234.854
24600	1	-236.826
24700	1	-241.707
24800	1	-232.511
24900	1	-230.888
25000	1	-233.813
25100	1	-234.898
25200	1	-237.438
25300	1	-232.753
25400	1	-233.537
25500	1	-234.469
25600	1	-232.864
25700	1	-232.006
25800	1	-233.54
25900	1	-233.406
26000	1	-235.409
26100	1	-238.074
26200	1	-235.533
26300	1	-232.944
26400	1	-238.949
26500	1	-234.289
26600	1	-235.653
26700	1	-237.035
26800	1	-237.514
26900	1	-235.865
27000	1	-236.554
27100	1	-236.623
27200	1	-233.1
27300	1	-233.797
27400	1	-240.578
27500	1	-236.511
27600	1	-235.927
27700	1	-234.423
27800	1	-234.696
27900	1	-231.091
28000	1	-235.786
28100	1	-236.755
28200	1	-234.709
28300	1	-238.783
28400	1	-236.363
28500	1	-231.317
28600	1	-234.912
28700	1	-232.205
28800	1	-232.723
28900	1	-233.812
29000	1	-236.926
29100	1	-232.185
29200	1	-233.716
29300	1	-235.249
29400	1	-235.551
29500	1	-234.469
29600	1	-235.547
29700	1	-233.541
29800	1	-232.392
29900	1	-232.185
30000	1	-235.525
30100	1	-237.384
30200	1	-231.659
30300	1	-238.415
30400	1	-232.787
30500	1	-235.561
30600	1	-236.123
30700	1	-234.97
30800	1	-234.5
30900	1	-231.547
31000	1	-233.764
31100	1	-235.78
31200	1	-235.15
31300	1	-234.336
31400	1	-237.275
31500	1	-233.821
31600	1	-233.166
31700	1	-236.584
31800	1	-231.926
31900	1	-234.247
32000	1	-233.039
32100	1	-232.185
32200	1	-233.487
32300	1	-234.921
32400	1	-232.765
32500	1	-232.371
32600	1	-233.397
32700	1	-235.946
32800	1	-233.175
32900	1	-234.019
33000	1	-232.917
33100	1	-231.243
33200	1	-233.048
33300	1	-232.828
33400	1	-239.248
33500	1	-233.618
33600	1	-234.693
33700	1	-236.466
33800	1	-235.532
33900	1	-232.332
34000	1	-233.29
34100	1	-235.598
34200	1	-235.049
34300	1	-237.016
34400	1	-236.876
34500	1	-236.559
34600	1	-235.868
34700	1	-231.853
34800	1	-234.098
34900	1	-236.377
35000	1	-236.58
35100	1	-236.799
35200	1	-233.192
35300	1	-238.407
35400	1	-232.939
35500	1	-238.347
35600	1	-237.607
35700	1	-233.847
35800	1	-235.067
35900	1	-232.666
36000	1	-233.58
36100	1	-232.669
36200	1	-235.342
36300	1	-235.106
36400	1	-234.778
36500	1	-236.329
36600	1	-236.186
36700	1	-233.148
36800	1	-236.178
36900	1	-235.554
37000	1	-235.049
37100	1	-232.793
37200	1	-233.802
37300	1	-234.88
37400	1	-233.059
37500	1	-231.915
37600	1	-234.203
37700	1	-234.366
37800	1	-233.146
37900	1	-236.289
38000	1	-231.013
38100	1	-235.45
38200	1	-236.461
38300	1	-234.76
38400	1	-236.882
38500	1	-236.482
38600	1	-232.876
38700	1	-239.189
38800	1	-234.28
38900	1	-232.379
39000	1	-236.044
39100	1	-234.401
39200	1	-234.433
39300	1	-235.666
39400	1	-235.861
39500	1	-235.447
39600	1	-235.692
39700	1	-241.317
39800	1	-234.295
39900	1	-233.265
40000	1	-235.194
40100	1	-240.353
40200	1	-234.001
40300	1	-238.119
40400	1	-236.026
40500	1	-233.176
40600	1	-231.481
40700	1	-236.493
40800	1	-232.491
40900	1	-236.74
41000	1	-232.719
41100	1	-242.421
