state	power	likelihood
12600	0.107374	-238.861
12700	0.107374	-246.582
12800	0.107374	-267.651
12900	0.107374	-238.673
13000	0.107374	-254.658
13100	0.107374	-252.103
13200	0.107374	-242.965
13300	0.107374	-251.959
13400	0.107374	-266.102
13500	0.107374	-242.813
13600	0.107374	-240.056
13700	0.107374	-234.704
13800	0.107374	-242.616
13900	0.107374	-268.618
14000	0.107374	-257.518
14100	0.107374	-251.35
14200	0.107374	-253.229
14300	0.107374	-256.114
14400	0.107374	-234.891
14500	0.107374	-248.474
14600	0.107374	-240.827
14700	0.107374	-251.488
14800	0.107374	-241.94
14900	0.107374	-246.284
15000	0.107374	-265.113
15100	0.107374	-269.968
15200	0.107374	-242.733
15300	0.107374	-251.167
15400	0.107374	-243.035
15500	0.107374	-263.956
15600	0.107374	-249.087
15700	0.107374	-240.308
15800	0.107374	-249.251
15900	0.107374	-242.1
16000	0.107374	-251.58
16100	0.107374	-242.668
16200	0.107374	-248.622
16300	0.107374	-239.2
16400	0.107374	-243.121
16500	0.107374	-245.133
16600	0.107374	-257.372
16700	0.107374	-241.466
16800	0.107374	-248.653
16900	0.107374	-259.398
17000	0.107374	-250.957
17100	0.107374	-241.659
17200	0.107374	-255.617
17300	0.107374	-242.544
17400	0.107374	-240.957
17500	0.107374	-240.91
17600	0.107374	-265.203
17700	0.107374	-240.262
17800	0.107374	-250.345
17900	0.107374	-245.078
18000	0.107374	-254.35
18100	0.107374	-248.817
18200	0.107374	-240.52
18300	0.107374	-252.615
18400	0.107374	-261.811
18500	0.107374	-244.342
18600	0.107374	-235.89
18700	0.107374	-244.108
18800	0.107374	-265.067
18900	0.107374	-240.593
19000	0.107374	-257.493
19100	0.107374	-256.74
19200	0.107374	-248.69
19300	0.107374	-244.819
19400	0.107374	-239.938
19500	0.107374	-240.285
19600	0.107374	-247.005
19700	0.107374	-248.943
19800	0.107374	-243.645
19900	0.107374	-247.178
20000	0.107374	-243.977
20100	0.107374	-244.637
20200	0.107374	-243.283
20300	0.107374	-239.533
20400	0.107374	-244.024
20500	0.107374	-241.17
20600	0.107374	-268.085
20700	0.107374	-245.303
20800	0.107374	-238.948
20900	0.107374	-251.152
21000	0.107374	-243.78
21100	0.107374	-241.322
21200	0.107374	-252.16
21300	0.107374	-243.335
21400	0.107374	-241.976
21500	0.107374	-264.716
21600	0.107374	-265.821
21700	0.107374	-253.519
21800	0.107374	-243.176
21900	0.107374	-257.722
22000	0.107374	-250.473
22100	0.107374	-245.714
22200	0.107374	-260.995
22300	0.107374	-237.007
22400	0.107374	-258.918
22500	0.107374	-264.938
22600	0.107374	-270.01
22700	0.107374	-251.838
22800	0.107374	-248.492
22900	0.107374	-271.315
23000	0.107374	-251.59
23100	0.107374	-250.134
23200	0.107374	-251.025
23300	0.107374	-249.512
23400	0.107374	-238.904
23500	0.107374	-249.468
23600	0.107374	-252.062
23700	0.107374	-240.998
23800	0.107374	-249.307
23900	0.107374	-247.504
24000	0.107374	-250.453
24100	0.107374	-246.457
24200	0.107374	-247.258
24300	0.107374	-238.719
24400	0.107374	-243.184
24500	0.107374	-244.667
24600	0.107374	-252.155
24700	0.107374	-250.987
24800	0.107374	-256.333
24900	0.107374	-254.506
25000	0.107374	-240.217
25100	0.107374	-246.588
25200	0.107374	-250.041
25300	0.107374	-256.734
25400	0.107374	-234.368
25500	0.107374	-239.54
25600	0.107374	-243.518
25700	0.107374	-249.576
25800	0.107374	-239.877
25900	0.107374	-244.727
