state	power	likelihood
2600	0.0380204	-406.744
2700	0.0380204	-410.485
2800	0.0380204	-381.556
2900	0.0380204	-398.886
3000	0.0380204	-369.329
3100	0.0380204	-396.048
3200	0.0380204	-378.701
3300	0.0380204	-387.963
3400	0.0380204	-464.538
3500	0.0380204	-336.947
3600	0.0380204	-376.019
3700	0.0380204	-554.968
3800	0.0380204	-385.222
3900	0.0380204	-400.457
4000	0.0380204	-383.699
4100	0.0380204	-401.884
4200	0.0380204	-393.823
4300	0.0380204	-382.553
4400	0.0380204	-386.933
4500	0.0380204	-359.874
4600	0.0380204	-383.965
4700	0.0380204	-415.879
4800	0.0380204	-510.344
4900	0.0380204	-414.321
5000	0.0380204	-462.297
5100	0.0380204	-464.151
5200	0.0380204	-366.28
5300	0.0380204	-326.108
5400	0.0380204	-348.195
5500	0.0380204	-497.11
5600	0.0380204	-395.838
5700	0.0380204	-331.184
5800	0.0380204	-344.203
5900	0.0380204	-419.931
6000	0.0380204	-409.104
6100	0.0380204	-513.423
6200	0.0380204	-422.017
6300	0.0380204	-458.885
6400	0.0380204	-374.486
6500	0.0380204	-399.94
6600	0.0380204	-495.024
6700	0.0380204	-397.869
6800	0.0380204	-459.136
6900	0.0380204	-415.494
7000	0.0380204	-373.006
7100	0.0380204	-348.746
7200	0.0380204	-406.725
7300	0.0380204	-411.013
7400	0.0380204	-366.707
7500	0.0380204	-426.954
7600	0.0380204	-504.598
7700	0.0380204	-381.139
7800	0.0380204	-353.968
7900	0.0380204	-405.915
8000	0.0380204	-417.417
8100	0.0380204	-413.768
8200	0.0380204	-443.114
8300	0.0380204	-363.142
8400	0.0380204	-377.818
8500	0.0380204	-395.929
8600	0.0380204	-481.494
8700	0.0380204	-351.843
8800	0.0380204	-372.039
8900	0.0380204	-364.783
9000	0.0380204	-426.774
9100	0.0380204	-366.427
9200	0.0380204	-346.502
9300	0.0380204	-332.627
9400	0.0380204	-374.757
9500	0.0380204	-391.679
9600	0.0380204	-402.785
9700	0.0380204	-422.923
9800	0.0380204	-327.524
9900	0.0380204	-472.909
10000	0.0380204	-518.264
