state	power	likelihood
12600	0.815373	-231.354
12700	0.815373	-231.996
12800	0.815373	-232.92
12900	0.815373	-232.6
13000	0.815373	-232.405
13100	0.815373	-233.303
13200	0.815373	-232.458
13300	0.815373	-232.209
13400	0.815373	-231.696
13500	0.815373	-237.306
13600	0.815373	-235.093
13700	0.815373	-232.595
13800	0.815373	-232.864
13900	0.815373	-235.317
14000	0.815373	-232.043
14100	0.815373	-232.949
14200	0.815373	-231.541
14300	0.815373	-231.847
14400	0.815373	-231.736
14500	0.815373	-233.698
14600	0.815373	-233.163
14700	0.815373	-231.767
14800	0.815373	-233.327
14900	0.815373	-231.718
15000	0.815373	-233.203
15100	0.815373	-233.571
15200	0.815373	-233.392
15300	0.815373	-233.998
15400	0.815373	-234.066
15500	0.815373	-232.055
15600	0.815373	-233.009
15700	0.815373	-231.494
15800	0.815373	-233.347
15900	0.815373	-231.444
16000	0.815373	-231.616
16100	0.815373	-232.468
16200	0.815373	-232.199
16300	0.815373	-232.296
16400	0.815373	-232.032
16500	0.815373	-232.234
16600	0.815373	-232.604
16700	0.815373	-232.067
16800	0.815373	-235.462
16900	0.815373	-232.959
17000	0.815373	-231.832
17100	0.815373	-235.339
17200	0.815373	-232.063
17300	0.815373	-233.542
17400	0.815373	-234.077
17500	0.815373	-233.907
17600	0.815373	-233.13
17700	0.815373	-232.407
17800	0.815373	-232.501
17900	0.815373	-231.765
18000	0.815373	-233.636
18100	0.815373	-233.08
18200	0.815373	-232.015
18300	0.815373	-235.279
18400	0.815373	-234.67
18500	0.815373	-233.09
18600	0.815373	-231.888
18700	0.815373	-235.498
18800	0.815373	-233.513
18900	0.815373	-232.411
19000	0.815373	-233.321
19100	0.815373	-232.166
19200	0.815373	-232.873
19300	0.815373	-232.45
19400	0.815373	-231.756
19500	0.815373	-233.393
19600	0.815373	-231.794
19700	0.815373	-233.548
19800	0.815373	-234.377
19900	0.815373	-232.232
20000	0.815373	-231.571
20100	0.815373	-233.789
20200	0.815373	-232.234
20300	0.815373	-232.103
20400	0.815373	-232.133
20500	0.815373	-236.094
20600	0.815373	-233.146
20700	0.815373	-232.94
20800	0.815373	-233.01
20900	0.815373	-234.011
21000	0.815373	-232.652
21100	0.815373	-232.148
21200	0.815373	-233.649
21300	0.815373	-232.219
21400	0.815373	-232.152
21500	0.815373	-232.351
21600	0.815373	-232.713
21700	0.815373	-232.38
21800	0.815373	-233.5
21900	0.815373	-232.799
22000	0.815373	-232.056
22100	0.815373	-232.23
22200	0.815373	-233.198
22300	0.815373	-231.488
22400	0.815373	-231.716
22500	0.815373	-233.461
22600	0.815373	-233.375
22700	0.815373	-233.543
22800	0.815373	-234.362
22900	0.815373	-234.363
23000	0.815373	-232.968
23100	0.815373	-232.15
23200	0.815373	-231.631
23300	0.815373	-231.865
23400	0.815373	-231.451
23500	0.815373	-233.72
23600	0.815373	-232.319
23700	0.815373	-236.29
23800	0.815373	-232.6
23900	0.815373	-232.599
24000	0.815373	-232.631
24100	0.815373	-241.114
24200	0.815373	-238.714
24300	0.815373	-231.948
24400	0.815373	-231.647
24500	0.815373	-232.569
24600	0.815373	-232.438
24700	0.815373	-232.208
24800	0.815373	-236.166
24900	0.815373	-231.373
25000	0.815373	-233.051
25100	0.815373	-234.148
25200	0.815373	-231.866
25300	0.815373	-233.795
25400	0.815373	-231.67
25500	0.815373	-233.683
25600	0.815373	-231.718
25700	0.815373	-236.059
25800	0.815373	-235.036
25900	0.815373	-231.72
26000	0.815373	-231.701
26100	0.815373	-233.462
26200	0.815373	-232.632
26300	0.815373	-231.541
26400	0.815373	-232.19
26500	0.815373	-234.797
26600	0.815373	-234.121
26700	0.815373	-232.093
26800	0.815373	-233.324
26900	0.815373	-234.028
27000	0.815373	-234.433
27100	0.815373	-231.762
27200	0.815373	-232.126
27300	0.815373	-233.073
27400	0.815373	-232.284
27500	0.815373	-233.882
27600	0.815373	-232.937
27700	0.815373	-233.237
27800	0.815373	-234.217
27900	0.815373	-234.005
28000	0.815373	-238.336
28100	0.815373	-231.735
28200	0.815373	-232.083
28300	0.815373	-231.971
28400	0.815373	-233.645
28500	0.815373	-238.982
28600	0.815373	-231.879
28700	0.815373	-231.573
28800	0.815373	-233.224
28900	0.815373	-232.83
29000	0.815373	-232.401
29100	0.815373	-234.177
29200	0.815373	-232.325
29300	0.815373	-232.532
29400	0.815373	-233.957
29500	0.815373	-237.843
29600	0.815373	-231.935
29700	0.815373	-236.479
29800	0.815373	-232.179
29900	0.815373	-233.629
30000	0.815373	-233.313
30100	0.815373	-234.249
30200	0.815373	-232.914
30300	0.815373	-233.39
30400	0.815373	-232.342
30500	0.815373	-232.167
30600	0.815373	-232.691
30700	0.815373	-232.525
30800	0.815373	-232.984
30900	0.815373	-234.946
31000	0.815373	-233.169
31100	0.815373	-232.224
31200	0.815373	-232.78
31300	0.815373	-232.557
31400	0.815373	-231.846
31500	0.815373	-232.368
31600	0.815373	-231.881
31700	0.815373	-232.245
31800	0.815373	-233.391
31900	0.815373	-237.177
32000	0.815373	-231.526
32100	0.815373	-232.546
32200	0.815373	-232.984
32300	0.815373	-233.099
32400	0.815373	-232.498
32500	0.815373	-232.888
