state	power	likelihood
12600	1	-224.086
12700	1	-225.342
12800	1	-223.989
12900	1	-224.776
13000	1	-224.528
13100	1	-224.897
13200	1	-225.221
13300	1	-223.741
13400	1	-224.505
13500	1	-226.899
13600	1	-226.542
13700	1	-226.551
13800	1	-224.082
13900	1	-224.502
14000	1	-226.269
14100	1	-223.69
14200	1	-225.419
14300	1	-223.667
14400	1	-225.813
14500	1	-227.224
14600	1	-225.932
14700	1	-224.754
14800	1	-224.239
14900	1	-224.155
15000	1	-225.043
15100	1	-224.827
15200	1	-229.313
15300	1	-223.515
15400	1	-226.058
15500	1	-224.342
15600	1	-224.83
15700	1	-224.241
15800	1	-224.386
15900	1	-223.738
16000	1	-224.146
16100	1	-225.74
16200	1	-224.907
16300	1	-223.8
16400	1	-224.277
16500	1	-226.179
16600	1	-224.042
16700	1	-225.549
16800	1	-224.387
16900	1	-224.74
17000	1	-223.932
17100	1	-223.835
17200	1	-224.578
17300	1	-223.936
17400	1	-226.309
17500	1	-224.895
17600	1	-223.886
17700	1	-223.696
17800	1	-225.063
17900	1	-225.223
18000	1	-224.286
18100	1	-223.497
18200	1	-223.748
18300	1	-224.306
18400	1	-223.635
18500	1	-223.783
18600	1	-224.861
18700	1	-223.722
18800	1	-223.982
18900	1	-224.125
19000	1	-226.213
19100	1	-225.802
19200	1	-225.489
19300	1	-224.625
19400	1	-224.205
19500	1	-225.146
19600	1	-224.785
19700	1	-224.149
19800	1	-224.551
19900	1	-226.965
20000	1	-224.641
20100	1	-224.979
20200	1	-227.155
20300	1	-223.473
20400	1	-226.608
20500	1	-224.332
20600	1	-225.135
20700	1	-225.505
20800	1	-224.467
20900	1	-225.663
21000	1	-225.105
21100	1	-227.054
21200	1	-225.505
21300	1	-224.891
21400	1	-225.158
21500	1	-224.111
21600	1	-229.064
21700	1	-223.853
21800	1	-224.551
21900	1	-225.339
22000	1	-224.741
22100	1	-225.967
22200	1	-224.627
22300	1	-225.054
22400	1	-228.033
22500	1	-224.693
22600	1	-225.221
22700	1	-223.95
22800	1	-227.171
22900	1	-225.74
23000	1	-224.335
23100	1	-224.686
23200	1	-223.794
23300	1	-224.413
23400	1	-223.755
23500	1	-226.969
23600	1	-225.328
23700	1	-225.057
23800	1	-224.08
23900	1	-226.09
24000	1	-225.42
24100	1	-224.721
24200	1	-223.658
24300	1	-223.918
24400	1	-223.972
24500	1	-224.85
24600	1	-223.925
24700	1	-225.87
24800	1	-224.913
24900	1	-225.749
25000	1	-226.377
25100	1	-228.591
25200	1	-224.679
25300	1	-223.644
25400	1	-223.834
25500	1	-223.639
25600	1	-227.099
25700	1	-225.737
25800	1	-224.656
25900	1	-223.872
26000	1	-223.927
26100	1	-223.943
26200	1	-225.904
26300	1	-225.651
26400	1	-225.889
26500	1	-223.942
26600	1	-223.623
26700	1	-224.933
26800	1	-224.427
26900	1	-225.31
27000	1	-225.119
27100	1	-223.51
27200	1	-224.855
27300	1	-223.541
27400	1	-225.65
27500	1	-223.445
27600	1	-224.206
27700	1	-224.147
27800	1	-224.134
27900	1	-224.129
28000	1	-224.249
28100	1	-223.902
28200	1	-224.34
28300	1	-223.566
28400	1	-225.501
28500	1	-224.699
28600	1	-224.746
28700	1	-226.206
28800	1	-224.453
28900	1	-225.528
29000	1	-224.858
29100	1	-224.317
29200	1	-225.661
29300	1	-225.649
29400	1	-227.673
29500	1	-223.963
29600	1	-223.369
29700	1	-223.877
29800	1	-224.099
29900	1	-224.57
30000	1	-224.848
30100	1	-224.071
30200	1	-223.573
30300	1	-224.764
30400	1	-225.694
30500	1	-223.339
30600	1	-224.131
30700	1	-224.789
30800	1	-225.155
30900	1	-224.075
31000	1	-223.499
31100	1	-223.631
31200	1	-226.242
31300	1	-224.838
31400	1	-225.322
31500	1	-225.269
31600	1	-224.213
31700	1	-224.473
31800	1	-224.581
31900	1	-227.21
32000	1	-225.534
32100	1	-224.694
32200	1	-224.207
32300	1	-225.486
32400	1	-223.679
32500	1	-224.935
32600	1	-223.805
32700	1	-225.964
32800	1	-225.454
32900	1	-225.123
33000	1	-223.254
33100	1	-227.632
33200	1	-224.081
33300	1	-223.82
33400	1	-224.229
33500	1	-223.955
33600	1	-224.533
33700	1	-224.646
33800	1	-224.225
33900	1	-225.585
34000	1	-225.536
34100	1	-224.825
34200	1	-224.288
34300	1	-225.065
34400	1	-224.648
34500	1	-224.471
34600	1	-225.449
34700	1	-224.052
34800	1	-225.359
34900	1	-225.636
35000	1	-223.499
35100	1	-224.621
35200	1	-225.793
35300	1	-225.969
35400	1	-223.482
35500	1	-224.351
35600	1	-224.16
35700	1	-224.7
35800	1	-227.001
35900	1	-224.483
36000	1	-225.873
36100	1	-225.776
36200	1	-223.965
36300	1	-223.734
36400	1	-226.814
36500	1	-227.333
36600	1	-225.231
36700	1	-223.878
36800	1	-224.605
36900	1	-224.643
37000	1	-224.972
37100	1	-223.714
37200	1	-226.044
37300	1	-224.31
37400	1	-224.88
37500	1	-224.254
37600	1	-224.477
37700	1	-225.085
37800	1	-224.271
37900	1	-225.314
38000	1	-225.948
38100	1	-226.561
38200	1	-224.425
38300	1	-223.988
38400	1	-223.781
38500	1	-223.927
38600	1	-224.167
38700	1	-223.726
38800	1	-224.213
38900	1	-224.329
39000	1	-224.151
39100	1	-224.893
39200	1	-223.965
39300	1	-226.972
39400	1	-224.736
39500	1	-224.446
39600	1	-227.277
39700	1	-224.992
39800	1	-224.309
39900	1	-225.152
40000	1	-226.842
40100	1	-224.676
40200	1	-224.256
40300	1	-224.402
40400	1	-225.872
40500	1	-225.196
40600	1	-224.61
40700	1	-225.456
40800	1	-224.937
40900	1	-225.95
41000	1	-223.427
41100	1	-226.663
41200	1	-226.573
41300	1	-223.797
41400	1	-226.651
41500	1	-224.041
41600	1	-223.488
41700	1	-227.169
41800	1	-225.761
41900	1	-226.437
42000	1	-223.99
42100	1	-224.505
42200	1	-223.569
42300	1	-224.591
42400	1	-224.44
42500	1	-223.947
42600	1	-224.588
42700	1	-225.432
42800	1	-226.326
42900	1	-224.754
43000	1	-226.628
43100	1	-225.495
43200	1	-226.077
43300	1	-227.505
43400	1	-224.8
43500	1	-224.091
43600	1	-225.017
43700	1	-223.947
43800	1	-223.417
43900	1	-225.849
44000	1	-225.642
44100	1	-224.491
44200	1	-225.052
44300	1	-226.257
44400	1	-226.036
44500	1	-226.206
44600	1	-227.495
44700	1	-226.086
44800	1	-225.438
44900	1	-224.768
45000	1	-224.222
45100	1	-224.238
45200	1	-225.98
45300	1	-224.349
45400	1	-224.474
45500	1	-223.726
45600	1	-223.527
45700	1	-224.594
45800	1	-227.029
45900	1	-225.14
46000	1	-224.116
46100	1	-226.55
46200	1	-225.51
46300	1	-225.194
46400	1	-223.972
46500	1	-224.89
46600	1	-225.493
46700	1	-225.466
46800	1	-224.049
46900	1	-228.479
47000	1	-226.231
47100	1	-226.419
47200	1	-223.61
47300	1	-224.444
47400	1	-224.308
47500	1	-223.515
47600	1	-224.794
47700	1	-225.104
47800	1	-224.578
47900	1	-224.879
48000	1	-223.735
48100	1	-224.679
48200	1	-224.561
48300	1	-223.578
48400	1	-224.026
48500	1	-225.388
48600	1	-225.207
48700	1	-224.173
48800	1	-223.936
48900	1	-227.565
49000	1	-225.604
49100	1	-223.74
49200	1	-224.872
49300	1	-224.353
49400	1	-224.376
49500	1	-225.318
49600	1	-225.181
49700	1	-223.441
49800	1	-229.097
49900	1	-224.122
50000	1	-224.92
12600	0.815373	-230.564
12700	0.815373	-225.292
12800	0.815373	-223.788
12900	0.815373	-224.744
13000	0.815373	-224.878
13100	0.815373	-225.578
13200	0.815373	-224.211
13300	0.815373	-226.424
13400	0.815373	-225.909
13500	0.815373	-224.819
13600	0.815373	-224.83
13700	0.815373	-224.533
13800	0.815373	-226.029
13900	0.815373	-230.287
14000	0.815373	-224.706
14100	0.815373	-227.145
14200	0.815373	-223.866
14300	0.815373	-226.666
14400	0.815373	-227.676
14500	0.815373	-225.989
14600	0.815373	-225.061
14700	0.815373	-223.728
14800	0.815373	-225.769
14900	0.815373	-223.667
15000	0.815373	-226.598
15100	0.815373	-224.542
15200	0.815373	-223.661
15300	0.815373	-223.899
15400	0.815373	-224.43
15500	0.815373	-227.187
15600	0.815373	-223.702
15700	0.815373	-226.805
15800	0.815373	-226.064
15900	0.815373	-224.529
16000	0.815373	-223.581
16100	0.815373	-231.779
16200	0.815373	-224.329
16300	0.815373	-223.592
16400	0.815373	-223.756
16500	0.815373	-225.345
16600	0.815373	-224.217
16700	0.815373	-226.573
16800	0.815373	-225.394
16900	0.815373	-225.713
17000	0.815373	-227.442
17100	0.815373	-225.214
17200	0.815373	-226.644
17300	0.815373	-223.915
17400	0.815373	-225.147
17500	0.815373	-225.641
17600	0.815373	-224.793
17700	0.815373	-224.994
17800	0.815373	-225.187
17900	0.815373	-224.522
18000	0.815373	-224.642
18100	0.815373	-224.783
18200	0.815373	-225.458
18300	0.815373	-224.785
18400	0.815373	-224.065
18500	0.815373	-223.864
18600	0.815373	-224.717
18700	0.815373	-225.39
18800	0.815373	-224.746
18900	0.815373	-226.049
19000	0.815373	-223.947
19100	0.815373	-228.352
19200	0.815373	-224.653
19300	0.815373	-224.276
19400	0.815373	-225.465
19500	0.815373	-223.84
19600	0.815373	-223.888
19700	0.815373	-223.781
19800	0.815373	-229.169
19900	0.815373	-223.247
20000	0.815373	-224.39
20100	0.815373	-225.236
20200	0.815373	-228.342
20300	0.815373	-225.365
20400	0.815373	-226.298
20500	0.815373	-226.125
20600	0.815373	-225.104
20700	0.815373	-224.67
20800	0.815373	-228.141
20900	0.815373	-224.261
21000	0.815373	-225.546
21100	0.815373	-224.099
21200	0.815373	-226.938
21300	0.815373	-225.201
21400	0.815373	-224.839
21500	0.815373	-223.569
21600	0.815373	-225.495
21700	0.815373	-224.893
21800	0.815373	-224.676
21900	0.815373	-224.252
22000	0.815373	-225.829
22100	0.815373	-225.69
22200	0.815373	-224.308
22300	0.815373	-223.616
22400	0.815373	-225.517
22500	0.815373	-226.735
22600	0.815373	-223.433
22700	0.815373	-226.629
22800	0.815373	-224.698
22900	0.815373	-224.747
23000	0.815373	-225.165
23100	0.815373	-224.506
23200	0.815373	-227.829
23300	0.815373	-224.991
23400	0.815373	-223.738
23500	0.815373	-224.293
23600	0.815373	-226.324
23700	0.815373	-225.664
23800	0.815373	-224.85
23900	0.815373	-225.163
24000	0.815373	-224.417
24100	0.815373	-225.443
24200	0.815373	-224.143
24300	0.815373	-229.116
24400	0.815373	-225.012
24500	0.815373	-225.93
24600	0.815373	-225.407
24700	0.815373	-226.162
24800	0.815373	-224.467
24900	0.815373	-225.891
25000	0.815373	-225.102
