state	power	likelihood
12600	1	-226.804
12700	1	-227.142
12800	1	-228.987
12900	1	-227.25
13000	1	-227.602
13100	1	-228.338
13200	1	-228.075
13300	1	-226.996
13400	1	-230.489
13500	1	-226.67
13600	1	-229.468
13700	1	-232.083
13800	1	-226.79
13900	1	-229.214
14000	1	-230.599
14100	1	-228.046
14200	1	-228.247
14300	1	-226.973
14400	1	-229.021
14500	1	-226.747
14600	1	-228.496
14700	1	-228.542
14800	1	-229.374
14900	1	-231.327
15000	1	-227.797
15100	1	-226.379
15200	1	-227.672
15300	1	-227.249
15400	1	-227.386
15500	1	-228.676
15600	1	-228.147
15700	1	-229.208
15800	1	-228.27
15900	1	-228.795
16000	1	-227.297
16100	1	-227.888
16200	1	-229.844
16300	1	-226.69
16400	1	-228.15
16500	1	-228.049
16600	1	-226.849
16700	1	-227.378
16800	1	-233.135
16900	1	-227.568
17000	1	-227.254
17100	1	-227.803
17200	1	-228.768
17300	1	-228.573
17400	1	-227.816
17500	1	-230.767
17600	1	-227.891
17700	1	-227.353
17800	1	-228.402
17900	1	-227.497
18000	1	-227.884
18100	1	-228.901
18200	1	-229.309
18300	1	-228.085
18400	1	-228.52
18500	1	-229.166
18600	1	-227.596
18700	1	-227.437
18800	1	-227.46
18900	1	-227.999
19000	1	-226.858
19100	1	-228.777
19200	1	-229.738
19300	1	-227.251
19400	1	-228.773
19500	1	-227.406
19600	1	-227.747
19700	1	-227.132
19800	1	-230.319
19900	1	-227.753
20000	1	-226.838
20100	1	-229.838
20200	1	-229.91
20300	1	-228.581
20400	1	-226.509
20500	1	-227.17
20600	1	-227.789
20700	1	-227.145
20800	1	-228.495
20900	1	-227.72
21000	1	-228.504
21100	1	-227.047
21200	1	-229.277
21300	1	-228.319
21400	1	-227.393
21500	1	-231.946
21600	1	-228.617
21700	1	-227.896
21800	1	-227.732
21900	1	-228.863
22000	1	-229.258
22100	1	-229.261
22200	1	-227.598
22300	1	-229.088
22400	1	-226.377
22500	1	-228.874
22600	1	-227.376
22700	1	-228.997
22800	1	-226.7
22900	1	-227.208
23000	1	-228.767
23100	1	-227.319
23200	1	-228.431
23300	1	-229.26
23400	1	-230.711
23500	1	-227.36
23600	1	-226.907
23700	1	-227.571
23800	1	-228.445
23900	1	-228.01
24000	1	-227.582
24100	1	-227.933
24200	1	-228.066
24300	1	-228.755
24400	1	-227.539
24500	1	-229.059
24600	1	-227.485
24700	1	-229.754
24800	1	-230.766
24900	1	-228.081
25000	1	-227.75
25100	1	-228.58
25200	1	-227.899
25300	1	-227.596
25400	1	-228.345
25500	1	-226.563
25600	1	-227.324
25700	1	-227.849
25800	1	-226.526
25900	1	-230.721
26000	1	-226.985
26100	1	-228.346
26200	1	-227.604
26300	1	-227.9
26400	1	-229.12
26500	1	-228.189
26600	1	-229.137
26700	1	-233.169
26800	1	-228.771
26900	1	-228.953
27000	1	-227.908
27100	1	-227.602
27200	1	-226.285
27300	1	-229.4
27400	1	-230.36
27500	1	-228.401
27600	1	-227.102
27700	1	-226.931
27800	1	-228.332
27900	1	-227.228
28000	1	-228.393
28100	1	-231.953
28200	1	-227.268
28300	1	-228.372
28400	1	-228.588
28500	1	-227.491
28600	1	-228.512
28700	1	-226.768
28800	1	-227.285
28900	1	-229.27
29000	1	-230.696
29100	1	-226.77
29200	1	-226.985
29300	1	-229.393
29400	1	-227.326
29500	1	-227.495
29600	1	-227.441
29700	1	-227.862
29800	1	-227.411
29900	1	-229.942
30000	1	-227.957
30100	1	-227.599
30200	1	-227.397
30300	1	-228.053
30400	1	-226.787
30500	1	-227.963
30600	1	-230.564
30700	1	-229.295
30800	1	-228.331
30900	1	-227.865
31000	1	-230.294
31100	1	-228.668
31200	1	-229.089
31300	1	-227.663
31400	1	-227.774
31500	1	-226.778
31600	1	-227.638
31700	1	-227.722
31800	1	-228.682
31900	1	-228.956
32000	1	-228.572
32100	1	-228.046
32200	1	-229.12
32300	1	-227.987
32400	1	-229.934
32500	1	-227.39
32600	1	-226.906
32700	1	-226.595
32800	1	-226.177
32900	1	-228.447
33000	1	-227.492
33100	1	-227.422
33200	1	-227.45
33300	1	-228.441
33400	1	-229.104
33500	1	-228.963
33600	1	-227.628
33700	1	-227.771
33800	1	-227.07
33900	1	-227.383
34000	1	-228.247
34100	1	-228.143
34200	1	-231.27
34300	1	-227.724
34400	1	-229.711
34500	1	-229.394
34600	1	-228.711
34700	1	-228.747
34800	1	-228.067
34900	1	-227.557
35000	1	-228.149
35100	1	-227.593
35200	1	-228.323
35300	1	-228.19
35400	1	-229.899
35500	1	-227.643
35600	1	-228.616
35700	1	-227.691
35800	1	-228.383
35900	1	-227.967
36000	1	-231.074
36100	1	-229.277
36200	1	-227.596
36300	1	-232.661
36400	1	-227.794
36500	1	-228.337
36600	1	-228.962
36700	1	-228.771
36800	1	-226.581
36900	1	-226.901
37000	1	-227.831
37100	1	-228.259
37200	1	-229.523
37300	1	-228.456
37400	1	-228.79
37500	1	-227.087
37600	1	-227.577
37700	1	-229.402
37800	1	-229.873
37900	1	-229.24
38000	1	-228.478
38100	1	-227.081
38200	1	-227.978
38300	1	-228.213
