state	power	likelihood
12600	0.07776	-371.926
12700	0.07776	-364.321
12800	0.07776	-361.615
12900	0.07776	-384.797
13000	0.07776	-378.915
13100	0.07776	-386.967
13200	0.07776	-372.253
13300	0.07776	-402.748
13400	0.07776	-358.54
13500	0.07776	-361.831
13600	0.07776	-396.912
13700	0.07776	-364.849
13800	0.07776	-372.082
13900	0.07776	-365.15
14000	0.07776	-377.49
14100	0.07776	-384.126
14200	0.07776	-371.901
14300	0.07776	-363.362
14400	0.07776	-364.811
14500	0.07776	-367.654
14600	0.07776	-390.627
14700	0.07776	-370.854
14800	0.07776	-387.577
14900	0.07776	-385.758
15000	0.07776	-368.871
15100	0.07776	-358.431
15200	0.07776	-395.85
15300	0.07776	-376.161
15400	0.07776	-370.131
15500	0.07776	-391.466
15600	0.07776	-369.254
15700	0.07776	-366.133
15800	0.07776	-366.984
15900	0.07776	-361.499
16000	0.07776	-363.782
16100	0.07776	-363.025
16200	0.07776	-378.756
16300	0.07776	-397.715
16400	0.07776	-378.599
16500	0.07776	-377.592
16600	0.07776	-363.614
16700	0.07776	-362.322
16800	0.07776	-364.632
16900	0.07776	-394.3
17000	0.07776	-361.12
17100	0.07776	-369.679
17200	0.07776	-365.881
17300	0.07776	-398.553
17400	0.07776	-374.645
17500	0.07776	-386.46
17600	0.07776	-359.01
17700	0.07776	-416.143
17800	0.07776	-278.541
17900	0.07776	-251.405
18000	0.07776	-247.885
18100	0.07776	-248.601
18200	0.07776	-246.192
18300	0.07776	-238.032
18400	0.07776	-365.9
18500	0.07776	-368.601
18600	0.07776	-378.848
18700	0.07776	-363.448
18800	0.07776	-366.094
18900	0.07776	-368.481
19000	0.07776	-367.52
19100	0.07776	-402.39
19200	0.07776	-361.074
19300	0.07776	-374.553
19400	0.07776	-377.275
19500	0.07776	-357.237
19600	0.07776	-373.329
19700	0.07776	-379.883
19800	0.07776	-365.07
19900	0.07776	-364.083
20000	0.07776	-370.581
20100	0.07776	-378.731
20200	0.07776	-364.908
20300	0.07776	-361.114
20400	0.07776	-382.973
20500	0.07776	-372.4
20600	0.07776	-367.957
20700	0.07776	-359.438
20800	0.07776	-366.224
20900	0.07776	-365.412
21000	0.07776	-369.396
21100	0.07776	-358.155
21200	0.07776	-379.413
21300	0.07776	-376.82
21400	0.07776	-403.625
21500	0.07776	-366.353
21600	0.07776	-358.592
21700	0.07776	-373.765
21800	0.07776	-377.552
21900	0.07776	-379.462
22000	0.07776	-359.983
22100	0.07776	-361.59
22200	0.07776	-362.545
22300	0.07776	-358.729
22400	0.07776	-383.633
22500	0.07776	-361.73
22600	0.07776	-360.214
22700	0.07776	-363.673
22800	0.07776	-385.424
22900	0.07776	-372.13
23000	0.07776	-357.726
23100	0.07776	-412.281
23200	0.07776	-376.349
23300	0.07776	-359.585
23400	0.07776	-371.325
23500	0.07776	-371.494
23600	0.07776	-389.152
23700	0.07776	-363.643
23800	0.07776	-360.274
23900	0.07776	-375.403
24000	0.07776	-377.507
24100	0.07776	-373.222
24200	0.07776	-371.31
24300	0.07776	-374.712
24400	0.07776	-377.015
24500	0.07776	-382.739
24600	0.07776	-369.866
24700	0.07776	-366.379
24800	0.07776	-357.715
24900	0.07776	-371.388
25000	0.07776	-365.026
25100	0.07776	-364.284
25200	0.07776	-374.244
25300	0.07776	-377.605
25400	0.07776	-371.982
25500	0.07776	-363.987
25600	0.07776	-375.567
25700	0.07776	-361.704
25800	0.07776	-388.664
25900	0.07776	-372.099
26000	0.07776	-418.103
26100	0.07776	-364.027
26200	0.07776	-366.375
26300	0.07776	-387.558
26400	0.07776	-369.762
26500	0.07776	-374.205
26600	0.07776	-364.227
26700	0.07776	-373.672
26800	0.07776	-367.926
26900	0.07776	-370.095
27000	0.07776	-372.572
27100	0.07776	-370.487
27200	0.07776	-369.879
27300	0.07776	-386.96
27400	0.07776	-370.706
27500	0.07776	-371.638
27600	0.07776	-369.416
27700	0.07776	-376.897
27800	0.07776	-369.384
27900	0.07776	-379.608
28000	0.07776	-394.653
28100	0.07776	-390.056
28200	0.07776	-366.912
28300	0.07776	-388.277
28400	0.07776	-374.044
28500	0.07776	-381.736
28600	0.07776	-379.969
28700	0.07776	-383.57
28800	0.07776	-391.533
28900	0.07776	-381.457
29000	0.07776	-392.661
29100	0.07776	-364.359
29200	0.07776	-369.706
29300	0.07776	-360.333
29400	0.07776	-362.22
29500	0.07776	-384.8
29600	0.07776	-371.583
29700	0.07776	-362.265
29800	0.07776	-368.75
29900	0.07776	-366.989
30000	0.07776	-362.185
30100	0.07776	-372.44
30200	0.07776	-360.228
30300	0.07776	-373.269
30400	0.07776	-369.63
30500	0.07776	-377.926
30600	0.07776	-390.304
30700	0.07776	-360.564
30800	0.07776	-363.752
30900	0.07776	-379.16
31000	0.07776	-361.86
31100	0.07776	-362.165
31200	0.07776	-372.58
31300	0.07776	-359.566
31400	0.07776	-381.913
