state	power	likelihood
2600	1	-8.617
2700	1	-8.617
2800	1	-8.617
2900	1	-12.976
3000	1	-12.976
3100	1	-12.976
3200	1	-19.546
3300	1	-7.69839
3400	1	-7.65116
3500	1	-7.65116
3600	1	-7.65116
3700	1	-7.65116
3800	1	-6.83319
3900	1	-6.83319
4000	1	-7.80275
4100	1	-7.80275
4200	1	-7.80275
4300	1	-7.80275
4400	1	-7.80275
4500	1	-7.80275
4600	1	-7.80275
4700	1	-7.80275
4800	1	-7.80275
4900	1	-7.80275
5000	1	-7.80275
5100	1	-7.80275
5200	1	-7.80275
5300	1	-7.80275
5400	1	-7.80275
5500	1	-7.80275
5600	1	-8.7393
5700	1	-8.7393
5800	1	-8.7393
5900	1	-8.7393
6000	1	-8.7393
6100	1	-8.7393
6200	1	-8.74806
6300	1	-8.74806
6400	1	-8.74806
6500	1	-8.74806
6600	1	-8.74806
6700	1	-8.74806
6800	1	-8.74806
6900	1	-8.74806
7000	1	-8.74806
7100	1	-8.74806
7200	1	-8.74806
7300	1	-8.74806
7400	1	-8.74806
7500	1	-8.74806
7600	1	-8.74806
7700	1	-8.74806
7800	1	-8.74806
7900	1	-8.74806
8000	1	-8.74806
8100	1	-8.74806
8200	1	-8.74806
8300	1	-8.74806
8400	1	-8.74806
8500	1	-13.4352
8600	1	-12.4996
8700	1	-12.4996
8800	1	-12.4996
8900	1	-12.2284
9000	1	-12.2284
9100	1	-12.2284
9200	1	-11.6874
9300	1	-11.6874
9400	1	-11.6874
9500	1	-11.6874
9600	1	-14.3372
9700	1	-14.3372
9800	1	-13.2007
9900	1	-12.0256
10000	1	-12.0256
2600	0.903921	-6.96087
2700	0.903921	-6.96087
2800	0.903921	-6.96087
2900	0.903921	-6.96087
3000	0.903921	-6.96087
3100	0.903921	-6.96087
3200	0.903921	-6.96087
3300	0.903921	-6.96087
3400	0.903921	-7.15293
3500	0.903921	-7.15293
3600	0.903921	-7.15293
3700	0.903921	-7.15293
3800	0.903921	-7.15293
3900	0.903921	-7.15293
4000	0.903921	-7.15293
4100	0.903921	-7.15293
4200	0.903921	-8.15561
4300	0.903921	-8.15561
4400	0.903921	-8.15561
4500	0.903921	-8.15561
4600	0.903921	-8.15561
4700	0.903921	-8.15561
4800	0.903921	-8.15561
4900	0.903921	-8.15561
5000	0.903921	-14.3646
5100	0.903921	-14.9431
5200	0.903921	-12.969
5300	0.903921	-12.969
5400	0.903921	-15.9884
5500	0.903921	-15.374
5600	0.903921	-12.4474
5700	0.903921	-12.234
5800	0.903921	-14.9497
5900	0.903921	-13.8705
6000	0.903921	-14.4478
6100	0.903921	-15.1819
6200	0.903921	-13.107
6300	0.903921	-14.3017
6400	0.903921	-13.7043
6500	0.903921	-15.0672
6600	0.903921	-14.9524
6700	0.903921	-15.0851
6800	0.903921	-13.8033
6900	0.903921	-7.96228
7000	0.903921	-7.96228
7100	0.903921	-7.96228
7200	0.903921	-7.96228
7300	0.903921	-7.96228
7400	0.903921	-7.96228
7500	0.903921	-15.2206
7600	0.903921	-15.2206
7700	0.903921	-15.6435
7800	0.903921	-12.6017
7900	0.903921	-12.6017
8000	0.903921	-12.6017
8100	0.903921	-12.2899
8200	0.903921	-12.2899
8300	0.903921	-12.2899
8400	0.903921	-14.0081
8500	0.903921	-14.0081
8600	0.903921	-14.6824
8700	0.903921	-14.718
8800	0.903921	-14.718
8900	0.903921	-14.8477
9000	0.903921	-14.4373
9100	0.903921	-10.5693
9200	0.903921	-10.5693
9300	0.903921	-10.5693
9400	0.903921	-8.62243
9500	0.903921	-8.62243
9600	0.903921	-8.62243
9700	0.903921	-8.62243
9800	0.903921	-8.62243
9900	0.903921	-8.15071
10000	0.903921	-8.22178
2600	0.815373	-10.4228
2700	0.815373	-7.64642
2800	0.815373	-6.78595
2900	0.815373	-6.78595
3000	0.815373	-6.78595
3100	0.815373	-6.78595
3200	0.815373	-6.78595
3300	0.815373	-13.434
3400	0.815373	-11.1611
3500	0.815373	-11.1611
3600	0.815373	-11.6438
3700	0.815373	-15.8979
3800	0.815373	-10.6792
3900	0.815373	-10.6792
4000	0.815373	-10.6792
4100	0.815373	-8.48243
4200	0.815373	-8.48243
4300	0.815373	-8.48243
4400	0.815373	-8.48243
4500	0.815373	-8.48243
4600	0.815373	-8.64474
4700	0.815373	-8.64474
4800	0.815373	-8.64474
4900	0.815373	-8.64474
5000	0.815373	-14.1795
5100	0.815373	-12.449
5200	0.815373	-12.449
5300	0.815373	-18.307
5400	0.815373	-8.4964
5500	0.815373	-8.4964
5600	0.815373	-13.7341
5700	0.815373	-16.5041
5800	0.815373	-11.8907
5900	0.815373	-12.5017
6000	0.815373	-12.7386
6100	0.815373	-12.7386
6200	0.815373	-14.0004
6300	0.815373	-14.2492
6400	0.815373	-14.2492
6500	0.815373	-14.2492
6600	0.815373	-15.5192
6700	0.815373	-12.709
6800	0.815373	-14.9698
6900	0.815373	-6.76077
7000	0.815373	-12.3253
7100	0.815373	-13.5348
7200	0.815373	-12.7318
7300	0.815373	-12.7318
7400	0.815373	-11.0258
7500	0.815373	-11.0258
7600	0.815373	-11.0258
7700	0.815373	-7.48922
7800	0.815373	-7.48922
7900	0.815373	-7.48922
8000	0.815373	-7.48922
8100	0.815373	-7.48922
8200	0.815373	-7.48922
8300	0.815373	-7.48922
8400	0.815373	-7.48922
8500	0.815373	-7.48922
8600	0.815373	-7.48922
8700	0.815373	-7.48922
8800	0.815373	-7.48922
8900	0.815373	-7.48922
9000	0.815373	-7.48922
9100	0.815373	-7.48922
9200	0.815373	-7.48922
9300	0.815373	-7.97014
9400	0.815373	-7.97014
9500	0.815373	-7.97014
9600	0.815373	-7.97014
9700	0.815373	-7.97014
9800	0.815373	-7.97014
9900	0.815373	-7.97014
10000	0.815373	-12.7117
2600	0.733904	-10.9606
2700	0.733904	-8.59501
2800	0.733904	-8.59501
2900	0.733904	-8.59501
3000	0.733904	-8.65599
3100	0.733904	-8.65599
3200	0.733904	-8.65599
3300	0.733904	-9.82001
3400	0.733904	-9.82001
3500	0.733904	-16.6046
3600	0.733904	-12.8348
3700	0.733904	-15.3553
3800	0.733904	-12.3232
3900	0.733904	-6.86929
4000	0.733904	-6.86929
4100	0.733904	-6.86929
4200	0.733904	-6.86929
4300	0.733904	-6.86929
4400	0.733904	-6.86929
4500	0.733904	-6.86929
4600	0.733904	-6.86929
4700	0.733904	-6.86929
4800	0.733904	-6.86929
4900	0.733904	-6.86929
5000	0.733904	-6.86929
5100	0.733904	-6.86929
5200	0.733904	-6.86929
5300	0.733904	-6.86929
5400	0.733904	-6.86929
5500	0.733904	-6.86929
5600	0.733904	-6.86929
5700	0.733904	-6.86929
5800	0.733904	-6.86929
5900	0.733904	-6.86929
6000	0.733904	-9.85769
6100	0.733904	-14.735
6200	0.733904	-13.9115
6300	0.733904	-13.5329
6400	0.733904	-12.8648
6500	0.733904	-20.5693
6600	0.733904	-18.4531
6700	0.733904	-18.0963
6800	0.733904	-14.7199
6900	0.733904	-14.7199
7000	0.733904	-15.8557
7100	0.733904	-15.8557
7200	0.733904	-15.8557
7300	0.733904	-11.2881
7400	0.733904	-11.2881
7500	0.733904	-16.2905
7600	0.733904	-18.2805
7700	0.733904	-23.7909
7800	0.733904	-12.8409
7900	0.733904	-7.01759
8000	0.733904	-7.01759
8100	0.733904	-7.01759
8200	0.733904	-7.01759
8300	0.733904	-7.01759
8400	0.733904	-7.01759
8500	0.733904	-7.01759
8600	0.733904	-7.01759
8700	0.733904	-7.01759
8800	0.733904	-7.01759
8900	0.733904	-7.01759
9000	0.733904	-7.01759
9100	0.733904	-12.9631
9200	0.733904	-13.1775
9300	0.733904	-13.1775
9400	0.733904	-13.1775
9500	0.733904	-14.037
9600	0.733904	-12.1952
9700	0.733904	-13.9747
9800	0.733904	-10.8906
9900	0.733904	-10.8906
10000	0.733904	-10.8906
2600	0.659082	-7.63077
2700	0.659082	-7.63077
2800	0.659082	-7.63077
2900	0.659082	-7.63077
3000	0.659082	-7.63077
3100	0.659082	-7.63077
3200	0.659082	-7.63077
3300	0.659082	-7.63077
3400	0.659082	-7.63077
3500	0.659082	-7.63077
3600	0.659082	-7.63077
3700	0.659082	-7.63077
3800	0.659082	-7.63077
3900	0.659082	-7.63077
4000	0.659082	-7.63077
4100	0.659082	-7.63077
4200	0.659082	-7.63077
4300	0.659082	-7.63077
4400	0.659082	-7.63077
4500	0.659082	-7.63077
4600	0.659082	-7.63077
4700	0.659082	-7.63077
4800	0.659082	-7.63077
4900	0.659082	-7.63077
5000	0.659082	-7.63077
5100	0.659082	-7.63077
5200	0.659082	-7.63077
5300	0.659082	-7.63077
5400	0.659082	-7.72346
5500	0.659082	-7.72346
5600	0.659082	-8.66306
5700	0.659082	-7.91362
5800	0.659082	-7.91362
5900	0.659082	-7.91362
6000	0.659082	-7.91362
6100	0.659082	-18.8484
6200	0.659082	-21.0503
6300	0.659082	-18.5192
6400	0.659082	-16.3252
6500	0.659082	-17.2485
6600	0.659082	-15.7568
6700	0.659082	-9.95004
6800	0.659082	-9.95004
6900	0.659082	-14.9033
7000	0.659082	-8.91495
7100	0.659082	-8.91495
7200	0.659082	-8.91495
7300	0.659082	-8.91495
