state	power	likelihood
2600	0.0130691	-239.558
2700	0.0130691	-241.181
2800	0.0130691	-232.038
2900	0.0130691	-234.138
3000	0.0130691	-240.952
3100	0.0130691	-239.49
3200	0.0130691	-238.358
3300	0.0130691	-239.118
3400	0.0130691	-232.83
3500	0.0130691	-233.908
3600	0.0130691	-229.226
3700	0.0130691	-246.313
3800	0.0130691	-239.079
3900	0.0130691	-243.254
4000	0.0130691	-237.839
4100	0.0130691	-247.517
4200	0.0130691	-234.735
4300	0.0130691	-236.693
4400	0.0130691	-235.76
4500	0.0130691	-230.873
4600	0.0130691	-237.809
4700	0.0130691	-233.95
4800	0.0130691	-235.278
4900	0.0130691	-234.102
5000	0.0130691	-233.573
5100	0.0130691	-239.204
5200	0.0130691	-235.244
5300	0.0130691	-234.708
5400	0.0130691	-234.015
5500	0.0130691	-234.883
5600	0.0130691	-241.438
5700	0.0130691	-223.813
5800	0.0130691	-225.012
5900	0.0130691	-233.987
6000	0.0130691	-229.749
6100	0.0130691	-253.614
6200	0.0130691	-228.212
6300	0.0130691	-239.891
6400	0.0130691	-225.807
6500	0.0130691	-229.244
6600	0.0130691	-239.924
6700	0.0130691	-233.796
6800	0.0130691	-226.891
6900	0.0130691	-229.855
7000	0.0130691	-237.727
7100	0.0130691	-229.271
7200	0.0130691	-235.507
7300	0.0130691	-255.239
7400	0.0130691	-229.94
7500	0.0130691	-233.909
7600	0.0130691	-231.849
7700	0.0130691	-238.642
7800	0.0130691	-242.262
7900	0.0130691	-240.796
8000	0.0130691	-232.746
8100	0.0130691	-235.987
8200	0.0130691	-245.341
8300	0.0130691	-230.295
8400	0.0130691	-233.891
8500	0.0130691	-231.178
8600	0.0130691	-230.35
8700	0.0130691	-241.303
8800	0.0130691	-256.046
8900	0.0130691	-231.509
9000	0.0130691	-246.582
9100	0.0130691	-231.178
9200	0.0130691	-242.711
9300	0.0130691	-227.54
9400	0.0130691	-238.652
9500	0.0130691	-240.322
9600	0.0130691	-242.739
9700	0.0130691	-226.041
9800	0.0130691	-234.871
9900	0.0130691	-247.735
10000	0.0130691	-231.323
