state	power	likelihood
12600	1	-228.626
12700	1	-228.713
12800	1	-228.93
12900	1	-229.532
13000	1	-229.684
13100	1	-231.699
13200	1	-229.488
13300	1	-228.13
13400	1	-230.812
13500	1	-229.568
13600	1	-230.07
13700	1	-228.56
13800	1	-231.012
13900	1	-230.702
14000	1	-228.967
14100	1	-229.212
14200	1	-229.736
14300	1	-229.2
14400	1	-228.188
14500	1	-229.62
14600	1	-232.173
14700	1	-228.766
14800	1	-228.458
14900	1	-230.404
15000	1	-229.704
15100	1	-229.821
15200	1	-234.583
15300	1	-228.618
15400	1	-228.594
15500	1	-228.9
15600	1	-231.745
15700	1	-231.526
15800	1	-228.919
15900	1	-228.389
16000	1	-228.496
16100	1	-229.13
16200	1	-229.537
16300	1	-228.414
16400	1	-228.149
16500	1	-228.632
16600	1	-228.169
16700	1	-229.051
16800	1	-228.501
16900	1	-231.696
17000	1	-229.809
17100	1	-228.425
17200	1	-230.351
17300	1	-229.816
17400	1	-229.117
17500	1	-229.428
17600	1	-228.945
17700	1	-228.078
17800	1	-229.77
17900	1	-230.967
18000	1	-229.03
18100	1	-228.678
18200	1	-229.356
18300	1	-230.364
18400	1	-228.131
18500	1	-229.201
18600	1	-229.692
18700	1	-228.092
18800	1	-229.029
18900	1	-228.55
19000	1	-228.802
19100	1	-228.648
19200	1	-231.576
19300	1	-229.851
19400	1	-228.017
19500	1	-229.209
19600	1	-229.848
19700	1	-232.024
19800	1	-228.593
19900	1	-228.84
20000	1	-229.425
20100	1	-229.509
20200	1	-228.838
20300	1	-230.156
20400	1	-228.737
20500	1	-229.356
20600	1	-228.604
20700	1	-228.453
20800	1	-228.469
20900	1	-229.343
21000	1	-229.585
21100	1	-228.777
21200	1	-229.421
21300	1	-228.705
21400	1	-228.881
21500	1	-229.19
21600	1	-229.077
21700	1	-228.573
21800	1	-231.961
21900	1	-228.396
22000	1	-230.022
22100	1	-229.087
22200	1	-229.632
22300	1	-229.777
22400	1	-228.104
22500	1	-228.648
22600	1	-228.691
22700	1	-229.923
22800	1	-229.351
22900	1	-229.89
23000	1	-229.882
23100	1	-228.374
23200	1	-228.302
23300	1	-229.426
23400	1	-229.563
23500	1	-229.872
23600	1	-232.427
23700	1	-228.84
23800	1	-229.345
23900	1	-228.131
24000	1	-229.081
24100	1	-228.195
24200	1	-229.041
24300	1	-229.182
24400	1	-229.425
24500	1	-229.412
24600	1	-228.228
24700	1	-229.311
24800	1	-230.492
24900	1	-229.416
25000	1	-228.202
25100	1	-228.301
25200	1	-229.709
25300	1	-231.035
25400	1	-230.18
25500	1	-231.589
25600	1	-228.433
25700	1	-230.195
25800	1	-228.431
25900	1	-228.577
26000	1	-229.8
26100	1	-228.975
26200	1	-231.049
26300	1	-228.614
26400	1	-229.729
26500	1	-228.343
26600	1	-229.71
26700	1	-228.696
26800	1	-228.786
