state	power	likelihood
12600	0.0254804	-369.916
12700	0.0254804	-393.615
12800	0.0254804	-376.842
12900	0.0254804	-395.876
13000	0.0254804	-361.841
13100	0.0254804	-361.691
13200	0.0254804	-398.425
13300	0.0254804	-376.623
13400	0.0254804	-361.243
13500	0.0254804	-394.699
13600	0.0254804	-388.126
13700	0.0254804	-375.397
13800	0.0254804	-375.046
13900	0.0254804	-396.958
14000	0.0254804	-361.317
14100	0.0254804	-413.834
14200	0.0254804	-390.046
14300	0.0254804	-387.755
14400	0.0254804	-411.559
14500	0.0254804	-377.131
14600	0.0254804	-404.49
14700	0.0254804	-396.661
14800	0.0254804	-373.905
14900	0.0254804	-380.873
15000	0.0254804	-381.317
15100	0.0254804	-386.144
15200	0.0254804	-407.439
15300	0.0254804	-385.562
15400	0.0254804	-411.148
15500	0.0254804	-429.381
15600	0.0254804	-405.586
15700	0.0254804	-387.099
15800	0.0254804	-359.041
15900	0.0254804	-377.531
16000	0.0254804	-367.109
16100	0.0254804	-376.583
16200	0.0254804	-395.286
16300	0.0254804	-421.111
16400	0.0254804	-421.018
16500	0.0254804	-367.779
16600	0.0254804	-371.737
16700	0.0254804	-382.426
16800	0.0254804	-423.72
16900	0.0254804	-374.354
17000	0.0254804	-382.039
17100	0.0254804	-373.446
17200	0.0254804	-386.9
17300	0.0254804	-378.002
17400	0.0254804	-371.57
17500	0.0254804	-383.842
17600	0.0254804	-413.311
17700	0.0254804	-382.941
17800	0.0254804	-359.523
17900	0.0254804	-367.4
18000	0.0254804	-365.831
18100	0.0254804	-416.233
18200	0.0254804	-410.855
18300	0.0254804	-398.547
18400	0.0254804	-374.773
18500	0.0254804	-375.185
18600	0.0254804	-370.265
18700	0.0254804	-368.105
18800	0.0254804	-402.527
18900	0.0254804	-386.136
19000	0.0254804	-374.088
19100	0.0254804	-408.298
19200	0.0254804	-358.254
19300	0.0254804	-386.633
19400	0.0254804	-398.392
19500	0.0254804	-369.749
19600	0.0254804	-373.33
19700	0.0254804	-374.58
19800	0.0254804	-381.683
19900	0.0254804	-368.627
20000	0.0254804	-368.028
20100	0.0254804	-382.046
20200	0.0254804	-400.894
20300	0.0254804	-391.336
20400	0.0254804	-407.365
20500	0.0254804	-374.291
20600	0.0254804	-365.723
20700	0.0254804	-396.275
20800	0.0254804	-398.301
20900	0.0254804	-378.96
21000	0.0254804	-404.71
21100	0.0254804	-407.725
21200	0.0254804	-388.862
21300	0.0254804	-376.028
21400	0.0254804	-384.564
21500	0.0254804	-426.839
21600	0.0254804	-383.529
21700	0.0254804	-393.5
21800	0.0254804	-380.431
21900	0.0254804	-398.565
22000	0.0254804	-395.917
22100	0.0254804	-398.424
22200	0.0254804	-395.174
22300	0.0254804	-366.313
22400	0.0254804	-386.774
22500	0.0254804	-371.01
22600	0.0254804	-372.938
22700	0.0254804	-388.603
22800	0.0254804	-438.794
22900	0.0254804	-375.995
23000	0.0254804	-399.125
23100	0.0254804	-361.523
23200	0.0254804	-381.209
23300	0.0254804	-430.076
23400	0.0254804	-377.106
23500	0.0254804	-397.383
23600	0.0254804	-389.073
23700	0.0254804	-365.977
23800	0.0254804	-394.858
23900	0.0254804	-372.568
24000	0.0254804	-363.264
24100	0.0254804	-361.425
24200	0.0254804	-389.183
24300	0.0254804	-373.844
24400	0.0254804	-385.705
24500	0.0254804	-402.667
24600	0.0254804	-378.831
24700	0.0254804	-395.749
24800	0.0254804	-357.813
24900	0.0254804	-453.335
25000	0.0254804	-364.737
25100	0.0254804	-371.748
25200	0.0254804	-429.194
25300	0.0254804	-365.856
25400	0.0254804	-380.577
25500	0.0254804	-383.265
25600	0.0254804	-397.983
25700	0.0254804	-380.607
25800	0.0254804	-406.669
25900	0.0254804	-382.57
26000	0.0254804	-398.033
26100	0.0254804	-399.959
26200	0.0254804	-425.098
26300	0.0254804	-423.193
26400	0.0254804	-417.207
26500	0.0254804	-385.961
26600	0.0254804	-364.876
26700	0.0254804	-384.425
26800	0.0254804	-366.024
26900	0.0254804	-366.807
27000	0.0254804	-385.325
27100	0.0254804	-368.619
27200	0.0254804	-375.712
27300	0.0254804	-391.27
27400	0.0254804	-362.513
27500	0.0254804	-383.827
27600	0.0254804	-397.487
27700	0.0254804	-393.337
27800	0.0254804	-418.712
27900	0.0254804	-376.612
28000	0.0254804	-387.639
28100	0.0254804	-373.809
28200	0.0254804	-385.868
28300	0.0254804	-394.074
28400	0.0254804	-384.813
28500	0.0254804	-384.858
28600	0.0254804	-382.637
28700	0.0254804	-372.975
28800	0.0254804	-370.293
28900	0.0254804	-362.031
29000	0.0254804	-391.123
29100	0.0254804	-404.413
29200	0.0254804	-376.248
29300	0.0254804	-398.858
29400	0.0254804	-367.392
29500	0.0254804	-382.817
29600	0.0254804	-367.539
29700	0.0254804	-360.566
29800	0.0254804	-383.797
29900	0.0254804	-368.886
30000	0.0254804	-380.165
30100	0.0254804	-398.952
30200	0.0254804	-373.714
30300	0.0254804	-377.253
30400	0.0254804	-383.174
30500	0.0254804	-381.31
30600	0.0254804	-395.41
30700	0.0254804	-398.111
30800	0.0254804	-383.873
30900	0.0254804	-384.399
31000	0.0254804	-379.493
31100	0.0254804	-385.414
31200	0.0254804	-395.915
31300	0.0254804	-372.018
31400	0.0254804	-392.533
31500	0.0254804	-432.222
31600	0.0254804	-403.253
31700	0.0254804	-371.035
31800	0.0254804	-365.173
31900	0.0254804	-370.877
32000	0.0254804	-409.251
32100	0.0254804	-425.933
32200	0.0254804	-393.548
32300	0.0254804	-363.44
32400	0.0254804	-388.284
32500	0.0254804	-373.443
32600	0.0254804	-400.258
32700	0.0254804	-422.089
32800	0.0254804	-372.037
32900	0.0254804	-377.481
33000	0.0254804	-410.054
33100	0.0254804	-387.116
33200	0.0254804	-426.029
33300	0.0254804	-371.523
33400	0.0254804	-418.19
