state	power	likelihood
2600	1	-215.417
2700	1	-216.239
2800	1	-215.974
2900	1	-221.591
3000	1	-219.802
3100	1	-222.466
3200	1	-218.852
3300	1	-218.467
3400	1	-219.343
3500	1	-218.434
3600	1	-224.282
3700	1	-221.436
3800	1	-220.052
3900	1	-217.422
4000	1	-216.882
4100	1	-217.305
4200	1	-218.903
4300	1	-221.951
4400	1	-220.264
4500	1	-218.594
4600	1	-217.292
4700	1	-218.471
4800	1	-219.07
4900	1	-217.521
5000	1	-217.684
5100	1	-224.762
5200	1	-215.173
5300	1	-215.03
5400	1	-217.264
5500	1	-216.27
5600	1	-215.526
5700	1	-218.93
5800	1	-215.575
5900	1	-216.421
6000	1	-217.422
6100	1	-215.96
6200	1	-215.238
6300	1	-216.337
6400	1	-216.922
6500	1	-217.023
6600	1	-215.279
6700	1	-215.28
6800	1	-215.358
6900	1	-217.723
7000	1	-215.708
7100	1	-215.663
7200	1	-215.839
7300	1	-215.276
7400	1	-215.52
7500	1	-215.566
7600	1	-215.234
7700	1	-215.632
7800	1	-218.766
7900	1	-215.661
8000	1	-215.518
8100	1	-217.74
8200	1	-216.489
8300	1	-215.966
8400	1	-215.128
8500	1	-216.825
8600	1	-216.854
8700	1	-223.547
8800	1	-220.485
8900	1	-219.311
9000	1	-215.634
9100	1	-215.451
9200	1	-216.244
9300	1	-215.465
9400	1	-216.405
9500	1	-215.662
9600	1	-215.074
9700	1	-215.354
9800	1	-215.508
9900	1	-215.683
10000	1	-215.41
2600	0.903921	-217.761
2700	0.903921	-217.138
2800	0.903921	-224.162
2900	0.903921	-219.041
3000	0.903921	-218.539
3100	0.903921	-219.853
3200	0.903921	-217.594
3300	0.903921	-220.799
3400	0.903921	-223.064
3500	0.903921	-215.677
3600	0.903921	-216.277
3700	0.903921	-217.129
3800	0.903921	-216.115
3900	0.903921	-216.172
4000	0.903921	-216.75
4100	0.903921	-215.828
4200	0.903921	-215.286
4300	0.903921	-217.412
4400	0.903921	-217.001
4500	0.903921	-215.613
4600	0.903921	-218.884
4700	0.903921	-218.464
4800	0.903921	-215.041
4900	0.903921	-215.363
5000	0.903921	-215.473
5100	0.903921	-215.133
5200	0.903921	-216.439
5300	0.903921	-220.916
5400	0.903921	-221.674
5500	0.903921	-220.605
5600	0.903921	-219.635
5700	0.903921	-221.212
5800	0.903921	-220.241
5900	0.903921	-219.079
6000	0.903921	-216.529
6100	0.903921	-215.989
6200	0.903921	-215.665
6300	0.903921	-216.311
6400	0.903921	-215.714
6500	0.903921	-216.513
6600	0.903921	-218.949
6700	0.903921	-220.879
6800	0.903921	-225.978
6900	0.903921	-227.575
7000	0.903921	-224.778
7100	0.903921	-218.859
7200	0.903921	-215.574
7300	0.903921	-216.276
7400	0.903921	-215.011
7500	0.903921	-217.549
7600	0.903921	-224.137
7700	0.903921	-215.801
7800	0.903921	-215.09
7900	0.903921	-217.109
8000	0.903921	-218.089
8100	0.903921	-218.302
8200	0.903921	-215.636
8300	0.903921	-218.753
8400	0.903921	-218.261
8500	0.903921	-220.681
8600	0.903921	-216.901
8700	0.903921	-216.243
8800	0.903921	-218.088
