state	power	likelihood
2600	0.0380204	-382.928
2700	0.0380204	-374.005
2800	0.0380204	-366.412
2900	0.0380204	-379.03
3000	0.0380204	-393.915
3100	0.0380204	-376.277
3200	0.0380204	-361.387
3300	0.0380204	-424.995
3400	0.0380204	-376.356
3500	0.0380204	-377.058
3600	0.0380204	-406.37
3700	0.0380204	-396.282
3800	0.0380204	-377.697
3900	0.0380204	-422.106
4000	0.0380204	-370.371
4100	0.0380204	-379.122
4200	0.0380204	-367.849
4300	0.0380204	-373.72
4400	0.0380204	-364.29
4500	0.0380204	-402.794
4600	0.0380204	-378.484
4700	0.0380204	-399.76
4800	0.0380204	-369.153
4900	0.0380204	-407.081
5000	0.0380204	-391.481
5100	0.0380204	-388.235
5200	0.0380204	-361.15
5300	0.0380204	-377.007
5400	0.0380204	-429.273
5500	0.0380204	-372.566
5600	0.0380204	-372.02
5700	0.0380204	-378.553
5800	0.0380204	-366.46
5900	0.0380204	-369.122
6000	0.0380204	-384.426
6100	0.0380204	-384.144
6200	0.0380204	-376.917
6300	0.0380204	-387.939
6400	0.0380204	-408.276
6500	0.0380204	-398.065
6600	0.0380204	-359.766
6700	0.0380204	-388.81
6800	0.0380204	-413.341
6900	0.0380204	-365.235
7000	0.0380204	-375.147
7100	0.0380204	-361.561
7200	0.0380204	-394.116
7300	0.0380204	-361.786
7400	0.0380204	-403.977
7500	0.0380204	-365.976
7600	0.0380204	-380.403
7700	0.0380204	-383.135
7800	0.0380204	-407.127
7900	0.0380204	-359.92
8000	0.0380204	-376.371
8100	0.0380204	-383.46
8200	0.0380204	-367.494
8300	0.0380204	-378.112
8400	0.0380204	-362.616
8500	0.0380204	-377.993
8600	0.0380204	-384.227
8700	0.0380204	-360.733
8800	0.0380204	-381.667
8900	0.0380204	-388.961
9000	0.0380204	-362.067
9100	0.0380204	-383.004
9200	0.0380204	-399.246
9300	0.0380204	-379.263
9400	0.0380204	-371.891
9500	0.0380204	-374.989
9600	0.0380204	-385.049
9700	0.0380204	-359.523
9800	0.0380204	-385.494
9900	0.0380204	-395.099
10000	0.0380204	-369.588
