state	power	likelihood
12600	0.0254804	-473
12700	0.0254804	-480.83
12800	0.0254804	-411.516
12900	0.0254804	-487.901
13000	0.0254804	-322.86
13100	0.0254804	-439.234
13200	0.0254804	-543.384
13300	0.0254804	-314.421
13400	0.0254804	-579.882
13500	0.0254804	-423.595
13600	0.0254804	-501.422
13700	0.0254804	-283.801
13800	0.0254804	-461.801
13900	0.0254804	-447.412
14000	0.0254804	-357.339
14100	0.0254804	-418.863
14200	0.0254804	-384.08
14300	0.0254804	-468.902
14400	0.0254804	-388.087
14500	0.0254804	-411.312
14600	0.0254804	-483.876
14700	0.0254804	-375.452
14800	0.0254804	-480.247
14900	0.0254804	-429.694
15000	0.0254804	-393.213
15100	0.0254804	-391.334
15200	0.0254804	-536.84
15300	0.0254804	-415.051
15400	0.0254804	-480.483
15500	0.0254804	-412.12
15600	0.0254804	-416.985
15700	0.0254804	-299.261
15800	0.0254804	-395.785
15900	0.0254804	-466.239
16000	0.0254804	-412.502
16100	0.0254804	-391.791
16200	0.0254804	-410.387
16300	0.0254804	-441.923
16400	0.0254804	-357.338
16500	0.0254804	-302.855
16600	0.0254804	-455.734
16700	0.0254804	-538.088
16800	0.0254804	-352.037
16900	0.0254804	-493.549
17000	0.0254804	-383.878
17100	0.0254804	-407.743
17200	0.0254804	-437.497
17300	0.0254804	-422.051
17400	0.0254804	-391.203
17500	0.0254804	-435.071
17600	0.0254804	-307.737
17700	0.0254804	-429.148
17800	0.0254804	-464.229
17900	0.0254804	-351.038
18000	0.0254804	-409.952
18100	0.0254804	-439.85
18200	0.0254804	-408.794
18300	0.0254804	-474.68
18400	0.0254804	-438.709
18500	0.0254804	-648.975
18600	0.0254804	-425.116
18700	0.0254804	-562.248
18800	0.0254804	-410.77
18900	0.0254804	-396.404
19000	0.0254804	-523.991
19100	0.0254804	-407.845
19200	0.0254804	-582.382
19300	0.0254804	-428.943
19400	0.0254804	-400.213
19500	0.0254804	-426.391
19600	0.0254804	-401.689
19700	0.0254804	-496.821
19800	0.0254804	-413.411
19900	0.0254804	-425.48
20000	0.0254804	-516.954
20100	0.0254804	-454.607
20200	0.0254804	-425.85
20300	0.0254804	-599.049
20400	0.0254804	-537.101
20500	0.0254804	-379.678
20600	0.0254804	-295.464
20700	0.0254804	-391.572
20800	0.0254804	-458.071
20900	0.0254804	-406.084
21000	0.0254804	-329.39
21100	0.0254804	-606.47
21200	0.0254804	-333.386
21300	0.0254804	-369.093
21400	0.0254804	-348.139
21500	0.0254804	-325.114
21600	0.0254804	-404.62
21700	0.0254804	-525.029
21800	0.0254804	-520.463
21900	0.0254804	-380.424
22000	0.0254804	-508.527
22100	0.0254804	-418.728
22200	0.0254804	-409.224
22300	0.0254804	-633.548
22400	0.0254804	-269.415
22500	0.0254804	-330.646
22600	0.0254804	-380.491
22700	0.0254804	-317.911
22800	0.0254804	-356.54
22900	0.0254804	-278.578
23000	0.0254804	-484.687
23100	0.0254804	-513.418
23200	0.0254804	-461.59
23300	0.0254804	-374.134
23400	0.0254804	-424.33
23500	0.0254804	-438.039
23600	0.0254804	-378.022
23700	0.0254804	-316.681
