state	power	likelihood
12600	1	-229.2
12700	1	-223.129
12800	1	-229.187
12900	1	-223.377
13000	1	-225.872
13100	1	-225.577
13200	1	-223.411
13300	1	-221.505
13400	1	-226.257
13500	1	-221.677
13600	1	-217.972
13700	1	-228.625
13800	1	-222.423
13900	1	-219.691
14000	1	-218.736
14100	1	-220.689
14200	1	-226.387
14300	1	-222.84
14400	1	-233.983
14500	1	-224.756
14600	1	-222.254
14700	1	-224.025
14800	1	-224.668
14900	1	-230.979
15000	1	-220.423
15100	1	-222.651
15200	1	-226.244
15300	1	-227.163
15400	1	-224.992
15500	1	-229.126
15600	1	-222.458
15700	1	-222.423
15800	1	-225.983
15900	1	-220.573
16000	1	-227.662
16100	1	-222.416
16200	1	-228.521
16300	1	-221.713
16400	1	-223.837
16500	1	-228.944
16600	1	-223.645
16700	1	-224.12
16800	1	-226.673
16900	1	-222.478
17000	1	-223.856
17100	1	-226.626
17200	1	-220.255
17300	1	-225.644
17400	1	-228.394
17500	1	-224.352
17600	1	-222.016
17700	1	-229.45
17800	1	-223.338
17900	1	-224.527
18000	1	-224.057
18100	1	-223.98
18200	1	-229.512
18300	1	-228.153
18400	1	-228.725
18500	1	-219.446
18600	1	-220.848
18700	1	-224.297
18800	1	-229.84
18900	1	-221.961
19000	1	-218.332
19100	1	-218.195
19200	1	-225.194
19300	1	-224.349
19400	1	-221.874
19500	1	-220.456
19600	1	-223.586
19700	1	-222.671
19800	1	-220.114
19900	1	-221.581
20000	1	-220.321
20100	1	-220.408
20200	1	-229.486
20300	1	-237.845
20400	1	-221.891
20500	1	-221.54
20600	1	-219.676
20700	1	-224.789
20800	1	-228.635
20900	1	-223.379
21000	1	-218.453
21100	1	-228.263
21200	1	-220.86
21300	1	-222.05
21400	1	-224.017
21500	1	-227.379
21600	1	-223.545
21700	1	-231.569
21800	1	-232.918
21900	1	-224.788
22000	1	-228.093
22100	1	-227.376
22200	1	-225.565
22300	1	-225.727
22400	1	-226.626
22500	1	-221.632
22600	1	-223.377
22700	1	-223.497
22800	1	-220.148
22900	1	-226.896
23000	1	-220.592
23100	1	-224.085
23200	1	-235.092
23300	1	-228.079
23400	1	-225.427
23500	1	-225.996
23600	1	-226.967
23700	1	-224.663
23800	1	-228.551
23900	1	-232.707
24000	1	-220.206
24100	1	-219.132
24200	1	-232.507
24300	1	-225.75
24400	1	-224.519
24500	1	-219.679
24600	1	-226.817
24700	1	-220.255
24800	1	-221.876
24900	1	-220.993
25000	1	-224.255
25100	1	-230.719
25200	1	-216.804
25300	1	-221.848
25400	1	-224.287
25500	1	-226.133
25600	1	-222.677
25700	1	-221.295
25800	1	-224.557
25900	1	-227.238
26000	1	-226.851
26100	1	-228.068
26200	1	-224.671
26300	1	-224.562
26400	1	-219.279
26500	1	-232.342
26600	1	-227.479
26700	1	-224.751
26800	1	-225.561
26900	1	-221.571
27000	1	-220.444
27100	1	-227.708
27200	1	-228.74
27300	1	-221.471
27400	1	-218.239
27500	1	-228.584
27600	1	-231.914
27700	1	-220.814
27800	1	-223.347
27900	1	-222.929
28000	1	-219.933
28100	1	-222.655
28200	1	-223.083
28300	1	-222.031
28400	1	-223.181
28500	1	-225.255
28600	1	-225.294
28700	1	-218.611
28800	1	-221.371
28900	1	-226.693
29000	1	-227.223
29100	1	-224.229
29200	1	-227.86
29300	1	-226.052
29400	1	-231.598
29500	1	-227.912
29600	1	-224.234
29700	1	-227.897
29800	1	-225.95
29900	1	-223.152
30000	1	-222.491
30100	1	-226.503
30200	1	-223.559
30300	1	-228.808
30400	1	-227.405
30500	1	-226.903
30600	1	-226.42
30700	1	-221.391
30800	1	-217.519
30900	1	-225.157
31000	1	-232.86
31100	1	-228.263
31200	1	-224.106
31300	1	-223.481
31400	1	-233.658
31500	1	-230.085
31600	1	-219.554
31700	1	-227.025
31800	1	-226.752
31900	1	-224.532
32000	1	-230.475
32100	1	-221.839
32200	1	-228.27
32300	1	-226.201
32400	1	-222.71
32500	1	-221.15
32600	1	-230.225
32700	1	-224.487
32800	1	-222.968
32900	1	-228.446
33000	1	-223.814
33100	1	-219.308
33200	1	-224.531
33300	1	-221.688
33400	1	-225.03
33500	1	-230.167
33600	1	-229.732
33700	1	-218.636
33800	1	-219.921
33900	1	-226.761
34000	1	-222.297
34100	1	-222.834
34200	1	-219.503
34300	1	-228.379
34400	1	-220.634
34500	1	-222.872
34600	1	-230.82
34700	1	-220.451
34800	1	-220.675
34900	1	-224.147
35000	1	-218.625
35100	1	-223.33
35200	1	-228.156
35300	1	-220.025
35400	1	-230.974
35500	1	-224.115
35600	1	-219.931
35700	1	-232.142
35800	1	-221.5
35900	1	-215.626
36000	1	-222.075
36100	1	-223.181
36200	1	-220.261
36300	1	-222.243
36400	1	-217.676
36500	1	-215.395
36600	1	-225.483
36700	1	-220.479
36800	1	-224.093
36900	1	-224.302
37000	1	-226.496
37100	1	-230.172
37200	1	-229.219
37300	1	-223.746
37400	1	-227.937
37500	1	-227.568
37600	1	-221.717
37700	1	-225.927
37800	1	-224.691
37900	1	-224.592
38000	1	-224.814
38100	1	-219.583
38200	1	-222.581
38300	1	-222.492
38400	1	-229.764
38500	1	-225.427
38600	1	-226.939
38700	1	-228.757
38800	1	-222.551
38900	1	-217.369
39000	1	-219.836
39100	1	-221.998
39200	1	-221.989
39300	1	-220.399
39400	1	-229.363
39500	1	-222.895
39600	1	-228.252
39700	1	-224.234
39800	1	-222.976
39900	1	-233.224
40000	1	-225.598
40100	1	-222.863
40200	1	-221.925
40300	1	-219.765
40400	1	-226.379
40500	1	-226.737
40600	1	-221.29
40700	1	-224.159
40800	1	-220.669
40900	1	-221.404
41000	1	-221.565
41100	1	-224.684
41200	1	-220.531
41300	1	-225.629
41400	1	-229.454
41500	1	-220.084
41600	1	-226.002
41700	1	-223.697
41800	1	-219.21
41900	1	-226.612
42000	1	-218.081
42100	1	-228.959
42200	1	-225.631
42300	1	-228.271
42400	1	-217.493
42500	1	-233.984
42600	1	-221.299
42700	1	-219.829
42800	1	-233.489
42900	1	-221.421
43000	1	-224.569
43100	1	-215.46
43200	1	-220.031
43300	1	-233.412
43400	1	-219.982
43500	1	-220.767
43600	1	-223.639
43700	1	-225.841
43800	1	-225.054
43900	1	-221.788
44000	1	-221.263
44100	1	-223.412
44200	1	-219.778
44300	1	-225.806
44400	1	-222.217
44500	1	-227.087
44600	1	-221.487
44700	1	-223.847
44800	1	-221.614
44900	1	-225.211
45000	1	-226.1
45100	1	-222.735
45200	1	-224.024
45300	1	-224.034
45400	1	-224.528
45500	1	-217.011
45600	1	-225.845
45700	1	-226.473
45800	1	-222.365
45900	1	-223.253
46000	1	-227.467
46100	1	-226.891
46200	1	-228.308
46300	1	-223.952
46400	1	-223.449
46500	1	-224.009
46600	1	-227.654
46700	1	-227.76
46800	1	-220.363
46900	1	-224.939
47000	1	-225.064
47100	1	-221.548
47200	1	-226.592
47300	1	-226.094
47400	1	-221.675
47500	1	-222.789
47600	1	-224.915
47700	1	-227.106
47800	1	-224.265
47900	1	-219.24
48000	1	-227.122
48100	1	-227.519
48200	1	-226.802
48300	1	-223.706
48400	1	-238.36
48500	1	-226.141
48600	1	-224.892
48700	1	-221.842
48800	1	-231.663
48900	1	-221.636
49000	1	-226.09
49100	1	-234.321
49200	1	-222.049
49300	1	-222.522
49400	1	-224.368
49500	1	-226.569
49600	1	-225.962
49700	1	-228.413
49800	1	-222.924
49900	1	-223.388
50000	1	-222.441
12600	0.815373	-229.716
12700	0.815373	-229.079
12800	0.815373	-229.52
12900	0.815373	-227.992
13000	0.815373	-234.552
13100	0.815373	-230.983
13200	0.815373	-233.398
13300	0.815373	-228.695
13400	0.815373	-226.266
13500	0.815373	-228.149
13600	0.815373	-224.158
13700	0.815373	-227.216
13800	0.815373	-222.096
13900	0.815373	-220.999
