state	power	likelihood
12600	1	-225.357
12700	1	-226.859
12800	1	-219.276
12900	1	-222.792
13000	1	-230.74
13100	1	-232.617
13200	1	-231.013
13300	1	-221.082
13400	1	-220.905
13500	1	-232.611
13600	1	-232.044
13700	1	-224.376
13800	1	-227.974
13900	1	-224.546
14000	1	-224.191
14100	1	-229.041
14200	1	-232.642
14300	1	-224.822
14400	1	-221.856
14500	1	-228.188
14600	1	-223.443
14700	1	-228.546
14800	1	-223.357
14900	1	-230.491
15000	1	-222.207
15100	1	-230.963
15200	1	-231.901
15300	1	-223.299
15400	1	-225.456
15500	1	-228.512
15600	1	-222.707
15700	1	-225.989
15800	1	-228.579
15900	1	-220.302
16000	1	-227.875
16100	1	-224.632
16200	1	-222.196
16300	1	-228.777
16400	1	-225.258
16500	1	-230.003
16600	1	-230.506
16700	1	-227.238
16800	1	-226.17
16900	1	-223.476
17000	1	-225.653
17100	1	-225.154
17200	1	-227.612
17300	1	-221.417
17400	1	-222.614
17500	1	-229.052
17600	1	-223.269
17700	1	-231.028
17800	1	-220.345
17900	1	-222.086
18000	1	-224.81
18100	1	-222.778
18200	1	-229.703
18300	1	-225.661
18400	1	-231.608
18500	1	-226.873
18600	1	-221.934
18700	1	-226.226
18800	1	-224.923
18900	1	-223.847
19000	1	-224.361
19100	1	-225.276
19200	1	-231.476
19300	1	-219.597
19400	1	-223.606
19500	1	-225.781
19600	1	-223.156
19700	1	-223.101
19800	1	-225.503
19900	1	-223.978
20000	1	-222.677
20100	1	-222.529
20200	1	-221.548
20300	1	-224.016
20400	1	-227.968
20500	1	-225.255
20600	1	-226.136
20700	1	-234.028
20800	1	-232.728
20900	1	-226.411
21000	1	-231.528
21100	1	-223.275
21200	1	-225.054
21300	1	-222.196
21400	1	-230.773
21500	1	-221.682
21600	1	-226.535
21700	1	-219.646
21800	1	-226.838
21900	1	-235.002
22000	1	-216.257
22100	1	-228.134
22200	1	-229.863
22300	1	-226.353
22400	1	-225.242
22500	1	-220.186
22600	1	-223.106
