state	power	likelihood
12600	3.2768e-06	-840.46
12700	3.2768e-06	-1494.5
12800	3.2768e-06	-2109.59
12900	3.2768e-06	-723.938
13000	3.2768e-06	-931.827
13100	3.2768e-06	-1079.46
13200	3.2768e-06	-1301.3
13300	3.2768e-06	-1343.55
13400	3.2768e-06	-1173.14
13500	3.2768e-06	-796.319
13600	3.2768e-06	-1515.63
13700	3.2768e-06	-769.264
13800	3.2768e-06	-1083.18
13900	3.2768e-06	-621.366
14000	3.2768e-06	-974.337
14100	3.2768e-06	-1269.44
14200	3.2768e-06	-806.854
14300	3.2768e-06	-711.097
14400	3.2768e-06	-2008.3
14500	3.2768e-06	-1351.82
14600	3.2768e-06	-877.596
14700	3.2768e-06	-692.014
14800	3.2768e-06	-1023.5
14900	3.2768e-06	-577.376
15000	3.2768e-06	-1134.64
15100	3.2768e-06	-529.97
15200	3.2768e-06	-748.25
15300	3.2768e-06	-901.06
15400	3.2768e-06	-2009.63
15500	3.2768e-06	-1675.33
15600	3.2768e-06	-980.004
15700	3.2768e-06	-1571.52
15800	3.2768e-06	-832.772
15900	3.2768e-06	-714.019
16000	3.2768e-06	-649.39
16100	3.2768e-06	-601.363
16200	3.2768e-06	-714.199
16300	3.2768e-06	-801.141
16400	3.2768e-06	-2826.62
16500	3.2768e-06	-859.171
16600	3.2768e-06	-1097.94
16700	3.2768e-06	-685.456
16800	3.2768e-06	-1755.16
16900	3.2768e-06	-881.36
17000	3.2768e-06	-994.497
17100	3.2768e-06	-1961.27
17200	3.2768e-06	-1824.73
17300	3.2768e-06	-1229.96
17400	3.2768e-06	-1151.95
17500	3.2768e-06	-1315.79
17600	3.2768e-06	-1099.57
17700	3.2768e-06	-1475.22
17800	3.2768e-06	-806.753
17900	3.2768e-06	-725.7
18000	3.2768e-06	-725.217
18100	3.2768e-06	-1443.1
18200	3.2768e-06	-896.761
18300	3.2768e-06	-979.561
18400	3.2768e-06	-2416.87
18500	3.2768e-06	-1643.61
18600	3.2768e-06	-1826.12
18700	3.2768e-06	-705.892
18800	3.2768e-06	-1209.31
18900	3.2768e-06	-701.188
19000	3.2768e-06	-1222.6
19100	3.2768e-06	-822.605
19200	3.2768e-06	-1990.86
19300	3.2768e-06	-1218.33
19400	3.2768e-06	-1125.08
19500	3.2768e-06	-1222.18
19600	3.2768e-06	-715.045
19700	3.2768e-06	-647.2
19800	3.2768e-06	-914.666
19900	3.2768e-06	-879.43
20000	3.2768e-06	-1197.17
20100	3.2768e-06	-985.196
20200	3.2768e-06	-1040.1
20300	3.2768e-06	-911.623
20400	3.2768e-06	-656.346
20500	3.2768e-06	-860.154
20600	3.2768e-06	-1249.12
20700	3.2768e-06	-882.184
20800	3.2768e-06	-960.839
20900	3.2768e-06	-1262.99
21000	3.2768e-06	-821.794
21100	3.2768e-06	-686.386
21200	3.2768e-06	-952.242
21300	3.2768e-06	-1083.31
21400	3.2768e-06	-946.265
21500	3.2768e-06	-603.484
21600	3.2768e-06	-1597.29
21700	3.2768e-06	-1244.34
21800	3.2768e-06	-620.923
21900	3.2768e-06	-842.672
22000	3.2768e-06	-2236.93
22100	3.2768e-06	-720.93
22200	3.2768e-06	-443.722
22300	3.2768e-06	-657.579
22400	3.2768e-06	-951.522
22500	3.2768e-06	-1691.89
22600	3.2768e-06	-532.071
22700	3.2768e-06	-905.682
22800	3.2768e-06	-974.43
22900	3.2768e-06	-681.876
23000	3.2768e-06	-864.672
23100	3.2768e-06	-1476.13
23200	3.2768e-06	-491.708
23300	3.2768e-06	-884.571
23400	3.2768e-06	-1794.4
23500	3.2768e-06	-1338.1
23600	3.2768e-06	-1092.78
23700	3.2768e-06	-619.116
23800	3.2768e-06	-3006.35
23900	3.2768e-06	-507.487
24000	3.2768e-06	-1782.01
24100	3.2768e-06	-557.27
24200	3.2768e-06	-432.248
24300	3.2768e-06	-929.271
24400	3.2768e-06	-1105.77
24500	3.2768e-06	-1140.78
24600	3.2768e-06	-1194.22
24700	3.2768e-06	-1073.54
24800	3.2768e-06	-1898.58
24900	3.2768e-06	-1125.36
25000	3.2768e-06	-1066.6
25100	3.2768e-06	-976.274
25200	3.2768e-06	-1348.74
25300	3.2768e-06	-1201.33
25400	3.2768e-06	-1412.66
25500	3.2768e-06	-1315.45
25600	3.2768e-06	-1473.84
25700	3.2768e-06	-1330.85
25800	3.2768e-06	-742.1
25900	3.2768e-06	-1375.4
26000	3.2768e-06	-819.441
26100	3.2768e-06	-863.352
26200	3.2768e-06	-545.596
26300	3.2768e-06	-534.379
26400	3.2768e-06	-803.867
26500	3.2768e-06	-1050.9
26600	3.2768e-06	-561.232
26700	3.2768e-06	-1511.13
26800	3.2768e-06	-932.927
26900	3.2768e-06	-1154.9
27000	3.2768e-06	-1306.21
27100	3.2768e-06	-790.97
27200	3.2768e-06	-600.034
27300	3.2768e-06	-1137.47
27400	3.2768e-06	-1589.46
27500	3.2768e-06	-1003.12
27600	3.2768e-06	-994.536
27700	3.2768e-06	-663.739
27800	3.2768e-06	-938.459
27900	3.2768e-06	-1131.47
28000	3.2768e-06	-861.373
28100	3.2768e-06	-613.075
28200	3.2768e-06	-1326.21
28300	3.2768e-06	-626.017
28400	3.2768e-06	-1062.88
28500	3.2768e-06	-909.38
28600	3.2768e-06	-1499.6
28700	3.2768e-06	-514.237
28800	3.2768e-06	-1121.18
28900	3.2768e-06	-744.347
29000	3.2768e-06	-758.922
29100	3.2768e-06	-965.679
29200	3.2768e-06	-739.836
29300	3.2768e-06	-1365.71
29400	3.2768e-06	-1002.69
29500	3.2768e-06	-819.984
29600	3.2768e-06	-814.867
29700	3.2768e-06	-724.999
29800	3.2768e-06	-1288.86
29900	3.2768e-06	-3186.48
30000	3.2768e-06	-1023.06
30100	3.2768e-06	-1014.19
30200	3.2768e-06	-899.907
30300	3.2768e-06	-724.341
30400	3.2768e-06	-671.94
30500	3.2768e-06	-437.455
30600	3.2768e-06	-787.56
30700	3.2768e-06	-734.098
30800	3.2768e-06	-891.151
30900	3.2768e-06	-1464.1
31000	3.2768e-06	-803.243
31100	3.2768e-06	-680.133
31200	3.2768e-06	-1699.37
31300	3.2768e-06	-1130.61
31400	3.2768e-06	-1398.74
31500	3.2768e-06	-1114.9
31600	3.2768e-06	-618.439
31700	3.2768e-06	-1012.46
31800	3.2768e-06	-1367.74
31900	3.2768e-06	-575.343
32000	3.2768e-06	-2395.63
32100	3.2768e-06	-679.973
32200	3.2768e-06	-1414.58
32300	3.2768e-06	-2149.48
32400	3.2768e-06	-1094.56
32500	3.2768e-06	-1579.83
32600	3.2768e-06	-1013.29
32700	3.2768e-06	-1582.73
32800	3.2768e-06	-517.524
32900	3.2768e-06	-1256.55
33000	3.2768e-06	-969.451
33100	3.2768e-06	-787.717
33200	3.2768e-06	-529.937
33300	3.2768e-06	-2092.23
33400	3.2768e-06	-1613.27
33500	3.2768e-06	-1161.8
33600	3.2768e-06	-885.467
33700	3.2768e-06	-1355.51
33800	3.2768e-06	-763.693
33900	3.2768e-06	-863.543
34000	3.2768e-06	-1556.19
34100	3.2768e-06	-1513.36
34200	3.2768e-06	-868.775
34300	3.2768e-06	-1490.07
34400	3.2768e-06	-1418.73
34500	3.2768e-06	-1102.76
34600	3.2768e-06	-1162.04
34700	3.2768e-06	-999.146
34800	3.2768e-06	-1427.7
34900	3.2768e-06	-3154.75
35000	3.2768e-06	-1053.3
35100	3.2768e-06	-671.558
35200	3.2768e-06	-813.178
35300	3.2768e-06	-1143.4
35400	3.2768e-06	-723.123
35500	3.2768e-06	-668.506
35600	3.2768e-06	-992.603
35700	3.2768e-06	-1078.92
35800	3.2768e-06	-722.003
35900	3.2768e-06	-737.667
36000	3.2768e-06	-764.2
36100	3.2768e-06	-790.286
36200	3.2768e-06	-805.57
36300	3.2768e-06	-1010.84
36400	3.2768e-06	-827.188
36500	3.2768e-06	-934.94
36600	3.2768e-06	-1697.67
36700	3.2768e-06	-775.549
36800	3.2768e-06	-899.231
36900	3.2768e-06	-1336.59
37000	3.2768e-06	-945.058
37100	3.2768e-06	-1406.62
37200	3.2768e-06	-1666.89
37300	3.2768e-06	-1374.58
37400	3.2768e-06	-864.22
37500	3.2768e-06	-1162.78
37600	3.2768e-06	-1088.05
37700	3.2768e-06	-1171.67
37800	3.2768e-06	-764.506
37900	3.2768e-06	-690.882
38000	3.2768e-06	-666.579
38100	3.2768e-06	-1580
38200	3.2768e-06	-1333.14
38300	3.2768e-06	-1456.79
38400	3.2768e-06	-1047.43
38500	3.2768e-06	-1297.09
38600	3.2768e-06	-1176.89
38700	3.2768e-06	-643.975
38800	3.2768e-06	-846.94
38900	3.2768e-06	-586.719
39000	3.2768e-06	-2969.25
39100	3.2768e-06	-664.802
39200	3.2768e-06	-928.173
39300	3.2768e-06	-476.92
39400	3.2768e-06	-1624.89
39500	3.2768e-06	-708.732
39600	3.2768e-06	-731.457
39700	3.2768e-06	-805.544
39800	3.2768e-06	-1609.81
39900	3.2768e-06	-790.057
