state	power	likelihood
2600	1	-25.5579
2700	1	-25.5579
2800	1	-24.8074
2900	1	-25.7433
3000	1	-24.3553
3100	1	-24.8405
3200	1	-24.8405
3300	1	-24.8405
3400	1	-26.1649
3500	1	-26.2398
3600	1	-28.9553
3700	1	-24.8074
3800	1	-24.8074
3900	1	-24.8074
4000	1	-24.8074
4100	1	-27.7797
4200	1	-33.0071
4300	1	-26.2001
4400	1	-27.5588
4500	1	-30.4609
4600	1	-28.3517
4700	1	-25.0301
4800	1	-30.1821
4900	1	-24.2903
5000	1	-24.8074
5100	1	-24.8074
5200	1	-24.8074
5300	1	-25.7433
5400	1	-25.7433
5500	1	-28.5347
5600	1	-28.5347
5700	1	-30.4609
5800	1	-27.4927
5900	1	-27.5782
6000	1	-24.643
6100	1	-23.3074
6200	1	-25.9485
6300	1	-27.5782
6400	1	-27.5782
6500	1	-25.9485
6600	1	-26.5412
6700	1	-28.3517
6800	1	-24.151
6900	1	-26.2398
7000	1	-24.151
7100	1	-24.151
7200	1	-25.7345
7300	1	-25.7345
7400	1	-24.151
7500	1	-24.151
7600	1	-24.151
7700	1	-24.151
7800	1	-21.7297
7900	1	-25.437
8000	1	-26.5242
8100	1	-25.7433
8200	1	-26.1649
8300	1	-24.7734
8400	1	-24.8074
8500	1	-24.8074
8600	1	-29.5972
8700	1	-25.5069
8800	1	-27.1209
8900	1	-27.1209
9000	1	-24.151
9100	1	-24.8074
9200	1	-24.8074
9300	1	-24.8074
9400	1	-24.8074
9500	1	-24.8074
9600	1	-31.929
9700	1	-28.2415
9800	1	-30.9088
9900	1	-24.3875
10000	1	-27.4654
2600	0.903921	-25.668
2700	0.903921	-25.2425
2800	0.903921	-24.8074
2900	0.903921	-24.8074
3000	0.903921	-24.8074
3100	0.903921	-29.4471
3200	0.903921	-31.8023
3300	0.903921	-26.5242
3400	0.903921	-26.5242
3500	0.903921	-28.4578
3600	0.903921	-25.7345
3700	0.903921	-25.7433
3800	0.903921	-30.5544
3900	0.903921	-25.7433
4000	0.903921	-25.7433
4100	0.903921	-25.7345
4200	0.903921	-26.5242
4300	0.903921	-27.2352
4400	0.903921	-25.1048
4500	0.903921	-25.1048
4600	0.903921	-30.0559
4700	0.903921	-26.2398
4800	0.903921	-26.5242
4900	0.903921	-25.7433
5000	0.903921	-25.9485
5100	0.903921	-25.9485
5200	0.903921	-28.5175
5300	0.903921	-28.3517
5400	0.903921	-27.5782
5500	0.903921	-28.4578
5600	0.903921	-29.8131
5700	0.903921	-30.4269
5800	0.903921	-30.0559
5900	0.903921	-30.4609
6000	0.903921	-24.151
6100	0.903921	-24.151
6200	0.903921	-24.151
6300	0.903921	-28.9553
6400	0.903921	-26.1649
6500	0.903921	-26.5242
6600	0.903921	-26.2398
6700	0.903921	-25.7433
6800	0.903921	-26.5412
6900	0.903921	-26.5412
7000	0.903921	-24.8074
7100	0.903921	-24.8074
7200	0.903921	-25.7345
7300	0.903921	-28.4578
7400	0.903921	-25.9485
7500	0.903921	-28.3517
7600	0.903921	-26.5242
7700	0.903921	-28.3517
7800	0.903921	-29.4471
7900	0.903921	-28.3517
8000	0.903921	-25.5173
8100	0.903921	-28.6722
8200	0.903921	-29.0934
8300	0.903921	-30.3958
8400	0.903921	-25.9485
8500	0.903921	-25.9485
8600	0.903921	-25.9485
8700	0.903921	-26.9381
8800	0.903921	-26.5242
8900	0.903921	-26.5412
9000	0.903921	-26.5412
9100	0.903921	-27.5588
9200	0.903921	-26.1649
9300	0.903921	-28.4578
9400	0.903921	-25.7345
9500	0.903921	-26.2398
9600	0.903921	-26.2398
9700	0.903921	-28.4578
9800	0.903921	-27.5588
9900	0.903921	-31.5428
10000	0.903921	-29.4471
2600	0.815373	-26.2398
2700	0.815373	-26.5242
2800	0.815373	-24.151
2900	0.815373	-24.8074
3000	0.815373	-24.8074
3100	0.815373	-24.8074
3200	0.815373	-24.151
3300	0.815373	-24.151
3400	0.815373	-26.2398
3500	0.815373	-24.8074
3600	0.815373	-30.0559
3700	0.815373	-26.1649
3800	0.815373	-27.5782
3900	0.815373	-25.9485
4000	0.815373	-26.5412
4100	0.815373	-28.4578
4200	0.815373	-26.3705
4300	0.815373	-25.6231
4400	0.815373	-25.6231
4500	0.815373	-25.6231
4600	0.815373	-26.5242
4700	0.815373	-33.573
4800	0.815373	-28.3517
4900	0.815373	-25.7433
5000	0.815373	-30.1821
5100	0.815373	-25.7433
5200	0.815373	-27.5782
5300	0.815373	-24.8074
5400	0.815373	-27.5782
5500	0.815373	-25.9485
5600	0.815373	-25.9485
5700	0.815373	-26.2001
5800	0.815373	-29.4038
5900	0.815373	-25.1961
6000	0.815373	-28.3517
6100	0.815373	-28.3517
6200	0.815373	-29.8395
6300	0.815373	-31.5428
6400	0.815373	-28.5347
6500	0.815373	-27.5782
6600	0.815373	-27.5782
6700	0.815373	-28.4578
6800	0.815373	-26.5412
6900	0.815373	-24.151
7000	0.815373	-26.5242
7100	0.815373	-26.5242
7200	0.815373	-25.3719
7300	0.815373	-25.3719
7400	0.815373	-26.2398
7500	0.815373	-26.2001
7600	0.815373	-27.0964
7700	0.815373	-25.7433
7800	0.815373	-30.2176
