state	power	likelihood
2600	0.00032	-922.28
2700	0.00032	-830.182
2800	0.00032	-859.437
2900	0.00032	-864.856
3000	0.00032	-868.819
3100	0.00032	-887.675
3200	0.00032	-898.645
3300	0.00032	-678.289
3400	0.00032	-992.721
3500	0.00032	-862.417
3600	0.00032	-864.654
3700	0.00032	-921.188
3800	0.00032	-927.961
3900	0.00032	-596.76
4000	0.00032	-913.984
4100	0.00032	-896.814
4200	0.00032	-927.31
4300	0.00032	-849.498
4400	0.00032	-864.087
4500	0.00032	-824.774
4600	0.00032	-863.33
4700	0.00032	-838.455
4800	0.00032	-869.298
4900	0.00032	-911.609
5000	0.00032	-860.598
5100	0.00032	-900.949
5200	0.00032	-877.055
5300	0.00032	-837.637
5400	0.00032	-640.082
5500	0.00032	-895.581
5600	0.00032	-882.866
5700	0.00032	-875.604
5800	0.00032	-902.192
5900	0.00032	-901.172
6000	0.00032	-920.785
6100	0.00032	-871.21
6200	0.00032	-859.437
6300	0.00032	-802.278
6400	0.00032	-890.353
6500	0.00032	-881.503
6600	0.00032	-861.939
6700	0.00032	-908.312
6800	0.00032	-1019.41
6900	0.00032	-887.378
7000	0.00032	-857.23
7100	0.00032	-877.212
7200	0.00032	-841.71
7300	0.00032	-879.062
7400	0.00032	-900.057
7500	0.00032	-928.82
7600	0.00032	-899.551
7700	0.00032	-910.949
7800	0.00032	-903.664
7900	0.00032	-902.821
8000	0.00032	-887.015
8100	0.00032	-796.137
8200	0.00032	-749.837
8300	0.00032	-936.025
8400	0.00032	-879.952
8500	0.00032	-890.183
8600	0.00032	-992.672
8700	0.00032	-904.918
8800	0.00032	-839.581
8900	0.00032	-869.857
9000	0.00032	-883.499
9100	0.00032	-876.063
9200	0.00032	-878.01
9300	0.00032	-944.946
9400	0.00032	-862.662
9500	0.00032	-887.217
9600	0.00032	-877.992
9700	0.00032	-865.388
9800	0.00032	-739.367
9900	0.00032	-895.659
10000	0.00032	-926.658
