state	power	likelihood
12600	1.024e-07	-809.623
12700	1.024e-07	-556.807
12800	1.024e-07	-1234.89
12900	1.024e-07	-745.974
13000	1.024e-07	-777.365
13100	1.024e-07	-1157.56
13200	1.024e-07	-824.251
13300	1.024e-07	-1071.5
13400	1.024e-07	-1549.09
13500	1.024e-07	-961.945
13600	1.024e-07	-631.798
13700	1.024e-07	-670.448
13800	1.024e-07	-612.959
13900	1.024e-07	-912.645
14000	1.024e-07	-893.845
14100	1.024e-07	-1439.16
14200	1.024e-07	-1571.26
14300	1.024e-07	-2827.83
14400	1.024e-07	-1186.03
14500	1.024e-07	-1051.78
14600	1.024e-07	-1076.17
14700	1.024e-07	-894.298
14800	1.024e-07	-1327.9
14900	1.024e-07	-2084.95
15000	1.024e-07	-1222.12
15100	1.024e-07	-899.146
15200	1.024e-07	-874.85
15300	1.024e-07	-783.539
15400	1.024e-07	-439.278
15500	1.024e-07	-1014.5
15600	1.024e-07	-978.689
15700	1.024e-07	-1002.95
15800	1.024e-07	-1404.72
15900	1.024e-07	-2423.94
16000	1.024e-07	-1113.11
16100	1.024e-07	-897.147
16200	1.024e-07	-1043.67
16300	1.024e-07	-657.513
16400	1.024e-07	-735.715
16500	1.024e-07	-1241.86
16600	1.024e-07	-647.637
16700	1.024e-07	-1234.35
16800	1.024e-07	-1570.36
16900	1.024e-07	-955.273
17000	1.024e-07	-1698.92
17100	1.024e-07	-1280.54
17200	1.024e-07	-885.941
17300	1.024e-07	-1380.36
17400	1.024e-07	-1380.44
17500	1.024e-07	-1007.26
17600	1.024e-07	-457.413
17700	1.024e-07	-528.888
17800	1.024e-07	-757.875
17900	1.024e-07	-1211.79
18000	1.024e-07	-611.048
18100	1.024e-07	-565.711
18200	1.024e-07	-967.554
18300	1.024e-07	-923.808
18400	1.024e-07	-648.818
18500	1.024e-07	-1266.49
18600	1.024e-07	-1510.7
18700	1.024e-07	-1018.36
18800	1.024e-07	-1688.35
18900	1.024e-07	-903.445
19000	1.024e-07	-1095.56
19100	1.024e-07	-1453.36
19200	1.024e-07	-1022.53
19300	1.024e-07	-892.187
19400	1.024e-07	-644.715
19500	1.024e-07	-1407.34
19600	1.024e-07	-1238.87
19700	1.024e-07	-422.295
19800	1.024e-07	-939.062
19900	1.024e-07	-572.7
20000	1.024e-07	-657.635
20100	1.024e-07	-938.599
20200	1.024e-07	-528.71
20300	1.024e-07	-691.77
20400	1.024e-07	-949.079
20500	1.024e-07	-772.304
20600	1.024e-07	-836.007
20700	1.024e-07	-582.148
20800	1.024e-07	-1154.11
20900	1.024e-07	-1072.17
21000	1.024e-07	-1576.03
21100	1.024e-07	-1150.58
21200	1.024e-07	-615
21300	1.024e-07	-519.59
21400	1.024e-07	-792.029
21500	1.024e-07	-1371.25
21600	1.024e-07	-789.988
21700	1.024e-07	-667.235
21800	1.024e-07	-968.136
21900	1.024e-07	-2051.99
22000	1.024e-07	-555.936
22100	1.024e-07	-650.349
22200	1.024e-07	-687.633
22300	1.024e-07	-803.388
22400	1.024e-07	-692.5
22500	1.024e-07	-1432.62
22600	1.024e-07	-677.63
22700	1.024e-07	-1227.68
22800	1.024e-07	-1022.52
22900	1.024e-07	-1600.91
23000	1.024e-07	-846.669
23100	1.024e-07	-425.626
23200	1.024e-07	-782.884
23300	1.024e-07	-722.1
23400	1.024e-07	-1437.84
23500	1.024e-07	-1038.22
23600	1.024e-07	-1449.04
