state	power	likelihood
2600	1	-59.6555
2700	1	-59.6555
2800	1	-59.6555
2900	1	-59.8377
3000	1	-59.8377
3100	1	-59.8377
3200	1	-59.8377
3300	1	-59.8377
3400	1	-59.8377
3500	1	-59.8377
3600	1	-59.8377
3700	1	-59.8377
3800	1	-59.8377
3900	1	-59.8377
4000	1	-59.8377
4100	1	-59.8377
4200	1	-59.8377
4300	1	-59.8377
4400	1	-59.8377
4500	1	-59.8377
4600	1	-59.8377
4700	1	-59.8377
4800	1	-59.8377
4900	1	-59.8377
5000	1	-59.8377
5100	1	-59.8377
5200	1	-59.8377
5300	1	-59.8377
5400	1	-59.8377
5500	1	-59.8377
5600	1	-59.8377
5700	1	-59.8377
5800	1	-59.8377
5900	1	-59.8377
6000	1	-59.8377
6100	1	-60.1202
6200	1	-60.1202
6300	1	-60.1202
6400	1	-60.1202
6500	1	-60.1202
6600	1	-60.1202
6700	1	-60.1202
6800	1	-60.1202
6900	1	-60.1202
7000	1	-60.1202
7100	1	-60.1202
7200	1	-60.1202
7300	1	-60.1202
7400	1	-60.1202
7500	1	-60.1202
7600	1	-60.1202
7700	1	-60.1202
7800	1	-60.1202
7900	1	-60.1202
8000	1	-60.1202
8100	1	-60.1202
8200	1	-60.1202
8300	1	-60.1202
8400	1	-60.1202
8500	1	-60.1202
8600	1	-60.1202
8700	1	-60.1202
8800	1	-60.1202
8900	1	-60.1202
9000	1	-60.1202
9100	1	-60.1202
9200	1	-60.1202
9300	1	-60.1202
9400	1	-60.1202
9500	1	-60.1202
9600	1	-60.1202
9700	1	-60.1202
9800	1	-60.1202
9900	1	-60.1202
10000	1	-60.1202
2600	0.903921	-59.4618
2700	0.903921	-59.4618
2800	0.903921	-59.4618
2900	0.903921	-59.4618
3000	0.903921	-59.4618
3100	0.903921	-59.4618
3200	0.903921	-59.4618
3300	0.903921	-59.4618
3400	0.903921	-59.4618
3500	0.903921	-59.4618
3600	0.903921	-59.4618
3700	0.903921	-59.4618
3800	0.903921	-59.4618
3900	0.903921	-59.4618
4000	0.903921	-59.4618
4100	0.903921	-59.4618
4200	0.903921	-59.4618
4300	0.903921	-59.4618
4400	0.903921	-59.4618
4500	0.903921	-59.4618
4600	0.903921	-59.4618
4700	0.903921	-59.4618
4800	0.903921	-59.4618
4900	0.903921	-59.4618
5000	0.903921	-59.4618
5100	0.903921	-59.4618
5200	0.903921	-59.4618
5300	0.903921	-59.4618
5400	0.903921	-59.4618
5500	0.903921	-59.4618
5600	0.903921	-59.4618
5700	0.903921	-59.4618
5800	0.903921	-59.4618
5900	0.903921	-59.4618
6000	0.903921	-59.4618
6100	0.903921	-59.4618
6200	0.903921	-59.4618
6300	0.903921	-59.4618
6400	0.903921	-59.4618
6500	0.903921	-59.4618
6600	0.903921	-59.4618
6700	0.903921	-59.4618
6800	0.903921	-59.4618
6900	0.903921	-59.4618
7000	0.903921	-59.4618
7100	0.903921	-59.4618
7200	0.903921	-59.4618
7300	0.903921	-59.4618
7400	0.903921	-59.4618
7500	0.903921	-59.4618
7600	0.903921	-59.4618
7700	0.903921	-59.4618
7800	0.903921	-59.4618
7900	0.903921	-59.4618
8000	0.903921	-59.4618
8100	0.903921	-59.4618
8200	0.903921	-59.4618
8300	0.903921	-59.4618
8400	0.903921	-59.4618
8500	0.903921	-59.4618
8600	0.903921	-59.4618
8700	0.903921	-59.4618
8800	0.903921	-59.4618
8900	0.903921	-59.4618
9000	0.903921	-59.4618
9100	0.903921	-59.4618
9200	0.903921	-59.4618
9300	0.903921	-59.4618
9400	0.903921	-59.4618
9500	0.903921	-59.4618
9600	0.903921	-59.4618
9700	0.903921	-59.4618
9800	0.903921	-59.4618
9900	0.903921	-59.4618
10000	0.903921	-59.4618
2600	0.815373	-59.4618
2700	0.815373	-59.4618
2800	0.815373	-59.4618
2900	0.815373	-59.4618
3000	0.815373	-59.4618
3100	0.815373	-59.4618
3200	0.815373	-59.4618
3300	0.815373	-59.4618
3400	0.815373	-59.4618
3500	0.815373	-59.4618
3600	0.815373	-59.4618
3700	0.815373	-59.4618
3800	0.815373	-59.4618
3900	0.815373	-59.4618
4000	0.815373	-59.4618
4100	0.815373	-59.4618
4200	0.815373	-59.4618
4300	0.815373	-59.4618
4400	0.815373	-59.4618
4500	0.815373	-59.4618
4600	0.815373	-59.4618
4700	0.815373	-59.4618
4800	0.815373	-59.4618
4900	0.815373	-59.4618
5000	0.815373	-59.4618
5100	0.815373	-59.4618
5200	0.815373	-59.4618
5300	0.815373	-59.4618
5400	0.815373	-59.4618
5500	0.815373	-59.4618
5600	0.815373	-59.7301
5700	0.815373	-59.7301
5800	0.815373	-59.7301
5900	0.815373	-59.7301
6000	0.815373	-59.7301
6100	0.815373	-59.7301
6200	0.815373	-59.7301
6300	0.815373	-59.7301
6400	0.815373	-59.7301
6500	0.815373	-59.7301
6600	0.815373	-59.7301
6700	0.815373	-59.7301
6800	0.815373	-59.7301
6900	0.815373	-59.7301
7000	0.815373	-59.7301
7100	0.815373	-59.7301
7200	0.815373	-59.7301
7300	0.815373	-59.7301
7400	0.815373	-59.7301
7500	0.815373	-59.7301
7600	0.815373	-59.7301
7700	0.815373	-59.7301
7800	0.815373	-59.7301
7900	0.815373	-59.7301
8000	0.815373	-59.7301
8100	0.815373	-59.8377
8200	0.815373	-59.8377
8300	0.815373	-59.8377
8400	0.815373	-59.8377
8500	0.815373	-59.8377
8600	0.815373	-59.8377
8700	0.815373	-59.8377
8800	0.815373	-59.8377
8900	0.815373	-59.8377
9000	0.815373	-59.8377
9100	0.815373	-59.8377
9200	0.815373	-59.8377
9300	0.815373	-59.8377
9400	0.815373	-59.8377
9500	0.815373	-59.8377
9600	0.815373	-59.8377
9700	0.815373	-59.8377
9800	0.815373	-59.8377
9900	0.815373	-59.8377
10000	0.815373	-59.8377
2600	0.733904	-59.8377
2700	0.733904	-59.8377
2800	0.733904	-59.8377
2900	0.733904	-59.8377
3000	0.733904	-59.8377
3100	0.733904	-59.8377
3200	0.733904	-59.8377
3300	0.733904	-59.8377
3400	0.733904	-59.8377
3500	0.733904	-59.8377
3600	0.733904	-59.8377
3700	0.733904	-59.8377
3800	0.733904	-59.8377
3900	0.733904	-59.8377
4000	0.733904	-59.8377
4100	0.733904	-59.8377
4200	0.733904	-59.8377
4300	0.733904	-59.8377
4400	0.733904	-59.8377
4500	0.733904	-59.8377
4600	0.733904	-59.8377
4700	0.733904	-59.8377
4800	0.733904	-59.8377
4900	0.733904	-59.8377
5000	0.733904	-59.8377
5100	0.733904	-59.8377
5200	0.733904	-59.8377
5300	0.733904	-59.8377
5400	0.733904	-59.8377
5500	0.733904	-59.8377
5600	0.733904	-59.8377
5700	0.733904	-59.8377
5800	0.733904	-59.8377
5900	0.733904	-59.8377
6000	0.733904	-59.8377
6100	0.733904	-59.8377
6200	0.733904	-59.8377
6300	0.733904	-59.8377
6400	0.733904	-59.8377
6500	0.733904	-59.8377
6600	0.733904	-59.8377
6700	0.733904	-59.8377
6800	0.733904	-59.8377
6900	0.733904	-59.8377
7000	0.733904	-59.8377
7100	0.733904	-59.8377
7200	0.733904	-59.8377
7300	0.733904	-59.8377
7400	0.733904	-59.8377
7500	0.733904	-59.8377
7600	0.733904	-59.8377
7700	0.733904	-59.8377
7800	0.733904	-59.8377
7900	0.733904	-59.8377
8000	0.733904	-59.8377
8100	0.733904	-59.8377
8200	0.733904	-59.8377
8300	0.733904	-59.8377
8400	0.733904	-59.8377
8500	0.733904	-59.8377
8600	0.733904	-59.8377
8700	0.733904	-59.8377
8800	0.733904	-59.8377
8900	0.733904	-59.8377
9000	0.733904	-59.8377
9100	0.733904	-59.8377
9200	0.733904	-59.8377
9300	0.733904	-59.8377
9400	0.733904	-59.8377
9500	0.733904	-59.8377
9600	0.733904	-59.8377
9700	0.733904	-59.8377
9800	0.733904	-59.8377
9900	0.733904	-59.8377
10000	0.733904	-59.8377
2600	0.659082	-59.7158
2700	0.659082	-59.7158
2800	0.659082	-59.7158
2900	0.659082	-59.7158
3000	0.659082	-59.7158
3100	0.659082	-59.7158
3200	0.659082	-59.7158
3300	0.659082	-59.7158
3400	0.659082	-59.7158
3500	0.659082	-59.7158
3600	0.659082	-59.7158
3700	0.659082	-59.7158
3800	0.659082	-59.7158
3900	0.659082	-59.7158
4000	0.659082	-59.7158
4100	0.659082	-59.7158
4200	0.659082	-59.7158
4300	0.659082	-59.7158
4400	0.659082	-59.7158
4500	0.659082	-59.7158
4600	0.659082	-59.7158
4700	0.659082	-59.7158
4800	0.659082	-59.7158
4900	0.659082	-59.7158
5000	0.659082	-59.7158
5100	0.659082	-59.7158
5200	0.659082	-59.7158
5300	0.659082	-59.7158
5400	0.659082	-59.7158
5500	0.659082	-59.7158
5600	0.659082	-59.7158
5700	0.659082	-59.7158
5800	0.659082	-59.7158
5900	0.659082	-59.7158
6000	0.659082	-59.7158
6100	0.659082	-59.7158
6200	0.659082	-59.7158
6300	0.659082	-59.7158
6400	0.659082	-59.7158
6500	0.659082	-59.7158
6600	0.659082	-59.7158
6700	0.659082	-59.7158
6800	0.659082	-59.7158
6900	0.659082	-59.7158
7000	0.659082	-62.252
7100	0.659082	-62.252
7200	0.659082	-62.252
7300	0.659082	-62.252
7400	0.659082	-62.252
7500	0.659082	-62.252
7600	0.659082	-62.252
7700	0.659082	-62.252
7800	0.659082	-62.252
7900	0.659082	-62.252
8000	0.659082	-62.252
8100	0.659082	-62.252
8200	0.659082	-62.252
8300	0.659082	-62.252
8400	0.659082	-62.252
8500	0.659082	-62.252
8600	0.659082	-62.252
8700	0.659082	-62.252
8800	0.659082	-62.252
8900	0.659082	-62.252
9000	0.659082	-62.252
9100	0.659082	-62.252
9200	0.659082	-62.252
9300	0.659082	-62.252
9400	0.659082	-62.252
9500	0.659082	-62.252
9600	0.659082	-62.252
9700	0.659082	-62.252
9800	0.659082	-62.252
9900	0.659082	-62.252
10000	0.659082	-62.252
2600	0.59049	-59.6708
2700	0.59049	-59.6708
2800	0.59049	-59.6708
2900	0.59049	-59.6708
3000	0.59049	-59.6708
3100	0.59049	-59.6708
3200	0.59049	-59.7301
3300	0.59049	-59.6555
3400	0.59049	-59.6555
3500	0.59049	-59.6555
3600	0.59049	-59.6555
3700	0.59049	-59.6555
3800	0.59049	-59.6555
3900	0.59049	-59.6555
4000	0.59049	-59.6555
4100	0.59049	-59.6555
4200	0.59049	-59.6555
4300	0.59049	-59.6555
4400	0.59049	-59.6555
4500	0.59049	-59.6555
4600	0.59049	-59.6555
4700	0.59049	-59.6555
4800	0.59049	-59.6555
4900	0.59049	-59.6555
5000	0.59049	-59.6555
5100	0.59049	-59.6555
5200	0.59049	-59.6555
5300	0.59049	-59.6555
5400	0.59049	-59.6555
5500	0.59049	-59.6555
5600	0.59049	-59.6555
5700	0.59049	-59.6555
5800	0.59049	-59.6555
5900	0.59049	-59.6555
6000	0.59049	-59.6555
6100	0.59049	-59.6555
6200	0.59049	-59.6555
6300	0.59049	-59.6555
6400	0.59049	-59.6555
6500	0.59049	-59.6555
6600	0.59049	-59.6555
6700	0.59049	-59.6555
6800	0.59049	-59.6555
6900	0.59049	-59.6555
7000	0.59049	-59.6555
7100	0.59049	-59.6555
7200	0.59049	-59.6555
7300	0.59049	-59.6555
7400	0.59049	-59.6555
7500	0.59049	-59.6555
7600	0.59049	-59.6555
7700	0.59049	-59.6555
7800	0.59049	-59.6555
7900	0.59049	-59.6555
8000	0.59049	-59.6555
8100	0.59049	-59.6555
8200	0.59049	-59.6555
8300	0.59049	-59.6555
8400	0.59049	-59.6555
8500	0.59049	-59.6555
8600	0.59049	-59.6555
8700	0.59049	-59.6555
8800	0.59049	-59.6555
8900	0.59049	-59.6555
9000	0.59049	-59.6555
9100	0.59049	-59.6555
9200	0.59049	-59.6555
9300	0.59049	-59.6555
9400	0.59049	-59.6555
9500	0.59049	-59.6555
9600	0.59049	-59.6555
9700	0.59049	-59.6555
9800	0.59049	-59.6555
9900	0.59049	-59.6555
10000	0.59049	-59.6555
2600	0.527732	-60.1911
2700	0.527732	-60.1911
2800	0.527732	-60.1911
2900	0.527732	-60.1911
3000	0.527732	-60.1911
3100	0.527732	-60.1911
3200	0.527732	-60.1911
3300	0.527732	-60.1911
3400	0.527732	-60.1911
3500	0.527732	-60.1911
3600	0.527732	-60.1911
3700	0.527732	-60.1911
3800	0.527732	-60.1911
3900	0.527732	-60.1911
4000	0.527732	-60.1911
4100	0.527732	-60.1911
4200	0.527732	-60.1911
4300	0.527732	-60.1911
4400	0.527732	-60.1911
4500	0.527732	-60.1911
4600	0.527732	-60.1911
4700	0.527732	-60.1911
4800	0.527732	-60.1911
4900	0.527732	-60.1911
5000	0.527732	-60.1911
5100	0.527732	-60.1911
5200	0.527732	-60.1911
5300	0.527732	-60.1911
5400	0.527732	-60.1911
5500	0.527732	-60.1911
5600	0.527732	-60.1911
5700	0.527732	-60.1911
5800	0.527732	-60.1911
5900	0.527732	-60.1911
6000	0.527732	-60.1911
6100	0.527732	-60.1911
6200	0.527732	-60.1911
6300	0.527732	-60.1911
6400	0.527732	-60.1911
6500	0.527732	-60.1911
6600	0.527732	-60.1911
6700	0.527732	-60.1911
6800	0.527732	-60.1911
6900	0.527732	-60.1911
7000	0.527732	-60.1911
7100	0.527732	-60.1911
7200	0.527732	-60.1911
7300	0.527732	-60.1911
7400	0.527732	-60.1911
7500	0.527732	-60.1911
7600	0.527732	-60.1911
7700	0.527732	-60.1911
7800	0.527732	-60.1911
7900	0.527732	-60.1911
8000	0.527732	-60.1911
8100	0.527732	-60.1911
8200	0.527732	-60.1911
8300	0.527732	-60.1911
8400	0.527732	-60.1911
8500	0.527732	-60.1911
8600	0.527732	-60.1911
8700	0.527732	-60.1911
8800	0.527732	-60.1911
8900	0.527732	-60.1911
9000	0.527732	-60.1911
9100	0.527732	-60.1911
9200	0.527732	-60.1911
9300	0.527732	-60.1911
9400	0.527732	-69.7239
9500	0.527732	-78.3373
9600	0.527732	-78.3373
9700	0.527732	-78.3373
9800	0.527732	-72.7875
9900	0.527732	-70.7024
10000	0.527732	-70.7024
2600	0.470427	-72.8087
2700	0.470427	-72.8087
2800	0.470427	-72.8087
2900	0.470427	-74.1938
3000	0.470427	-64.2465
3100	0.470427	-64.2465
3200	0.470427	-64.2465
3300	0.470427	-64.2465
3400	0.470427	-64.2465
3500	0.470427	-64.2465
3600	0.470427	-64.2465
3700	0.470427	-64.2465
3800	0.470427	-64.2465
3900	0.470427	-64.2465
4000	0.470427	-64.2465
4100	0.470427	-64.2465
4200	0.470427	-64.2465
4300	0.470427	-64.2465
4400	0.470427	-64.2465
4500	0.470427	-64.2465
4600	0.470427	-64.2465
4700	0.470427	-64.2465
4800	0.470427	-64.2465
4900	0.470427	-64.2465
5000	0.470427	-64.2465
5100	0.470427	-64.2465
5200	0.470427	-64.2465
5300	0.470427	-64.2465
5400	0.470427	-64.2465
5500	0.470427	-64.2465
5600	0.470427	-64.2465
5700	0.470427	-64.2465
5800	0.470427	-67.8568
5900	0.470427	-67.8568
6000	0.470427	-67.8568
6100	0.470427	-67.8568
6200	0.470427	-67.8568
6300	0.470427	-67.8568
6400	0.470427	-67.8568
6500	0.470427	-67.8568
6600	0.470427	-67.8568
6700	0.470427	-67.8568
6800	0.470427	-67.8568
6900	0.470427	-67.8568
7000	0.470427	-67.8568
7100	0.470427	-67.8568
7200	0.470427	-67.8568
7300	0.470427	-67.8568
7400	0.470427	-67.8568
7500	0.470427	-67.8568
7600	0.470427	-67.8568
7700	0.470427	-67.8568
7800	0.470427	-69.0382
7900	0.470427	-69.0382
8000	0.470427	-69.0382
8100	0.470427	-82.8538
8200	0.470427	-82.8538
8300	0.470427	-76.8916
8400	0.470427	-77.7694
8500	0.470427	-77.7694
8600	0.470427	-83.699
8700	0.470427	-60.1128
8800	0.470427	-60.1128
8900	0.470427	-60.1128
9000	0.470427	-60.1128
9100	0.470427	-60.1128
9200	0.470427	-60.1128
9300	0.470427	-60.1128
9400	0.470427	-60.1128
9500	0.470427	-60.1128
9600	0.470427	-60.1128
9700	0.470427	-60.1128
9800	0.470427	-60.1128
9900	0.470427	-60.1128
10000	0.470427	-60.1128
2600	0.418212	-73.1162
2700	0.418212	-73.1162
2800	0.418212	-73.1162
2900	0.418212	-73.1162
3000	0.418212	-73.1162
3100	0.418212	-73.1162
3200	0.418212	-73.1162
3300	0.418212	-73.1162
3400	0.418212	-73.1162
3500	0.418212	-73.1162
3600	0.418212	-73.1162
3700	0.418212	-70.6073
3800	0.418212	-70.6073
3900	0.418212	-70.6073
4000	0.418212	-70.6073
4100	0.418212	-70.6073
4200	0.418212	-70.6073
4300	0.418212	-70.6073
4400	0.418212	-70.6073
4500	0.418212	-70.6073
4600	0.418212	-70.6073
4700	0.418212	-70.6073
4800	0.418212	-70.6073
4900	0.418212	-67.261
5000	0.418212	-67.261
5100	0.418212	-67.261
5200	0.418212	-67.261
5300	0.418212	-67.261
5400	0.418212	-67.261
5500	0.418212	-67.261
5600	0.418212	-67.261
5700	0.418212	-67.261
5800	0.418212	-67.261
5900	0.418212	-67.261
6000	0.418212	-73.753
6100	0.418212	-73.753
6200	0.418212	-73.753
6300	0.418212	-73.753
6400	0.418212	-73.753
6500	0.418212	-73.753
6600	0.418212	-73.753
6700	0.418212	-73.753
6800	0.418212	-73.753
6900	0.418212	-73.1633
7000	0.418212	-73.1633
7100	0.418212	-73.1633
7200	0.418212	-73.1633
7300	0.418212	-71.8797
7400	0.418212	-71.8797
7500	0.418212	-71.8797
7600	0.418212	-71.8797
7700	0.418212	-71.8797
7800	0.418212	-71.8797
7900	0.418212	-71.8797
8000	0.418212	-71.8797
8100	0.418212	-71.8797
8200	0.418212	-59.0078
8300	0.418212	-59.0078
8400	0.418212	-59.0078
8500	0.418212	-59.0078
8600	0.418212	-59.0078
8700	0.418212	-59.0078
8800	0.418212	-59.0078
8900	0.418212	-59.0078
9000	0.418212	-59.0078
9100	0.418212	-59.0078
9200	0.418212	-59.0078
9300	0.418212	-59.0078
9400	0.418212	-59.7871
9500	0.418212	-59.7871
9600	0.418212	-59.7871
9700	0.418212	-59.7871
9800	0.418212	-59.7871
9900	0.418212	-59.7871
10000	0.418212	-59.7871
2600	0.37074	-71.84
2700	0.37074	-59.264
2800	0.37074	-59.264
2900	0.37074	-59.264
3000	0.37074	-59.264
3100	0.37074	-59.264
3200	0.37074	-59.264
3300	0.37074	-59.264
3400	0.37074	-59.264
3500	0.37074	-59.264
3600	0.37074	-59.264
3700	0.37074	-59.264
3800	0.37074	-59.264
3900	0.37074	-59.264
4000	0.37074	-59.264
4100	0.37074	-59.264
4200	0.37074	-65.5289
4300	0.37074	-65.5289
4400	0.37074	-65.5289
4500	0.37074	-65.5289
4600	0.37074	-65.5289
4700	0.37074	-63.334
4800	0.37074	-89.3615
4900	0.37074	-76.2072
5000	0.37074	-76.2072
5100	0.37074	-65.9336
5200	0.37074	-65.9336
5300	0.37074	-65.9336
5400	0.37074	-77.0727
5500	0.37074	-74.5349
5600	0.37074	-74.5349
5700	0.37074	-74.5349
5800	0.37074	-91.8001
5900	0.37074	-76.0761
6000	0.37074	-76.0761
6100	0.37074	-81.1229
6200	0.37074	-79.9395
6300	0.37074	-79.9395
6400	0.37074	-79.9395
6500	0.37074	-76.5611
6600	0.37074	-85.4821
6700	0.37074	-74.4377
6800	0.37074	-68.5193
6900	0.37074	-81.8294
7000	0.37074	-81.8294
7100	0.37074	-81.8294
7200	0.37074	-85.8806
7300	0.37074	-91.7551
7400	0.37074	-91.7551
7500	0.37074	-81.5275
7600	0.37074	-81.2558
7700	0.37074	-75.9808
7800	0.37074	-90.9552
7900	0.37074	-79.9812
8000	0.37074	-86.1147
8100	0.37074	-99.2805
8200	0.37074	-90.0006
8300	0.37074	-90.0006
8400	0.37074	-94.7682
8500	0.37074	-86.8684
8600	0.37074	-90.4107
8700	0.37074	-88.3853
8800	0.37074	-88.3853
8900	0.37074	-79.8334
9000	0.37074	-79.8334
9100	0.37074	-93.6831
9200	0.37074	-75.2459
9300	0.37074	-86.3613
9400	0.37074	-87.6725
9500	0.37074	-87.6725
9600	0.37074	-87.6725
9700	0.37074	-83.1024
9800	0.37074	-72.233
9900	0.37074	-72.233
10000	0.37074	-70.5821
2600	0.32768	-76.63
2700	0.32768	-73.5268
2800	0.32768	-74.0301
2900	0.32768	-74.0301
3000	0.32768	-74.0301
3100	0.32768	-82.9744
3200	0.32768	-82.9744
3300	0.32768	-82.9744
3400	0.32768	-80.87
3500	0.32768	-80.87
3600	0.32768	-90.157
3700	0.32768	-80.7779
3800	0.32768	-78.5701
3900	0.32768	-78.5701
4000	0.32768	-78.5701
4100	0.32768	-94.8609
4200	0.32768	-95.8941
4300	0.32768	-95.8941
4400	0.32768	-75.1516
4500	0.32768	-68.0986
4600	0.32768	-68.0986
4700	0.32768	-68.0986
4800	0.32768	-68.0986
4900	0.32768	-68.0986
5000	0.32768	-81.6117
5100	0.32768	-81.6117
5200	0.32768	-81.6117
5300	0.32768	-81.6117
5400	0.32768	-93.4934
5500	0.32768	-93.4934
5600	0.32768	-93.4934
5700	0.32768	-83.672
5800	0.32768	-88.7042
5900	0.32768	-88.7042
6000	0.32768	-88.8686
6100	0.32768	-88.8686
6200	0.32768	-78.1734
6300	0.32768	-67.3017
6400	0.32768	-73.6954
6500	0.32768	-66.2992
6600	0.32768	-66.2992
6700	0.32768	-66.2992
6800	0.32768	-66.2992
6900	0.32768	-66.2992
7000	0.32768	-66.2992
7100	0.32768	-66.2992
7200	0.32768	-66.2992
7300	0.32768	-66.2992
7400	0.32768	-66.2992
7500	0.32768	-66.2992
7600	0.32768	-66.2992
7700	0.32768	-66.2992
7800	0.32768	-66.2992
7900	0.32768	-62.5814
8000	0.32768	-62.5814
8100	0.32768	-62.5814
8200	0.32768	-62.5814
8300	0.32768	-62.5814
8400	0.32768	-80.1569
8500	0.32768	-68.43
8600	0.32768	-68.43
8700	0.32768	-68.43
8800	0.32768	-68.43
8900	0.32768	-68.43
9000	0.32768	-68.43
9100	0.32768	-68.43
