state	power	likelihood
2600	0.01024	-776.321
2700	0.01024	-762.657
2800	0.01024	-637.919
2900	0.01024	-716.068
3000	0.01024	-927.578
3100	0.01024	-391.917
3200	0.01024	-479.831
3300	0.01024	-501.286
3400	0.01024	-362.901
3500	0.01024	-938.953
3600	0.01024	-400.46
3700	0.01024	-547.053
3800	0.01024	-999.985
3900	0.01024	-854.059
4000	0.01024	-338.609
4100	0.01024	-881.885
4200	0.01024	-643.301
4300	0.01024	-486.366
4400	0.01024	-1053.85
4500	0.01024	-432.583
4600	0.01024	-409.593
4700	0.01024	-784.205
4800	0.01024	-480.59
4900	0.01024	-386.443
5000	0.01024	-955.356
5100	0.01024	-932.744
5200	0.01024	-403.235
5300	0.01024	-532.47
5400	0.01024	-393.499
5500	0.01024	-1000.71
5600	0.01024	-805.69
5700	0.01024	-384.739
5800	0.01024	-566.369
5900	0.01024	-770.5
6000	0.01024	-596.907
6100	0.01024	-461.094
6200	0.01024	-450.537
6300	0.01024	-768.281
6400	0.01024	-1005.76
6500	0.01024	-429.681
6600	0.01024	-1000.84
6700	0.01024	-513.644
6800	0.01024	-400.474
6900	0.01024	-815.055
7000	0.01024	-965.374
7100	0.01024	-531.991
7200	0.01024	-427.969
7300	0.01024	-799.593
7400	0.01024	-674.101
7500	0.01024	-428.772
7600	0.01024	-607.161
7700	0.01024	-461.976
7800	0.01024	-980.328
7900	0.01024	-442.84
8000	0.01024	-1045.93
8100	0.01024	-439.88
8200	0.01024	-968.811
8300	0.01024	-447.58
8400	0.01024	-456.338
8500	0.01024	-742.208
8600	0.01024	-559.681
8700	0.01024	-468.79
8800	0.01024	-422.977
8900	0.01024	-480.926
9000	0.01024	-415.121
9100	0.01024	-634.542
9200	0.01024	-1039.44
9300	0.01024	-753.25
9400	0.01024	-463.772
9500	0.01024	-418.779
9600	0.01024	-692.349
9700	0.01024	-424.99
9800	0.01024	-575.713
9900	0.01024	-688.583
10000	0.01024	-408.429
