state	power	likelihood
2600	1	-38.0897
2700	1	-38.0899
2800	1	-39.6683
2900	1	-31.9216
3000	1	-34.5445
3100	1	-41.6285
3200	1	-35.1289
3300	1	-38.0899
3400	1	-41.6285
3500	1	-41.6285
3600	1	-32.1197
3700	1	-39.883
3800	1	-38.0899
3900	1	-41.6284
4000	1	-40.7317
4100	1	-41.6285
4200	1	-29.6142
4300	1	-41.5781
4400	1	-41.2854
4500	1	-41.6285
4600	1	-30.8251
4700	1	-38.0899
4800	1	-32.6507
4900	1	-41.6199
5000	1	-38.5672
5100	1	-31.9786
5200	1	-31.9789
5300	1	-38.0897
5400	1	-41.6282
5500	1	-32.4632
5600	1	-42.101
5700	1	-36.5622
5800	1	-41.6285
5900	1	-30.2093
6000	1	-38.0899
6100	1	-41.6285
6200	1	-38.0896
6300	1	-41.6756
6400	1	-36.862
6500	1	-41.6285
6600	1	-38.0897
6700	1	-38.1582
6800	1	-37.1788
6900	1	-35.0022
7000	1	-41.6285
7100	1	-38.0899
7200	1	-31.1441
7300	1	-40.5189
7400	1	-41.6254
7500	1	-38.0898
7600	1	-38.0898
7700	1	-40.6428
7800	1	-28.6175
7900	1	-38.0898
8000	1	-41.6285
8100	1	-41.6285
8200	1	-38.3618
8300	1	-31.0522
8400	1	-31.0531
8500	1	-31.053
8600	1	-38.0899
8700	1	-40.5748
8800	1	-39.4514
8900	1	-30.4158
9000	1	-30.4143
9100	1	-30.4143
9200	1	-30.4145
9300	1	-37.6579
9400	1	-40.3152
9500	1	-32.3223
9600	1	-36.3304
9700	1	-41.9243
9800	1	-35.5028
9900	1	-41.6272
10000	1	-41.6285
2600	0.903921	-38.0899
2700	0.903921	-36.5695
2800	0.903921	-31.1135
2900	0.903921	-40.7396
3000	0.903921	-41.6285
3100	0.903921	-41.6284
3200	0.903921	-31.1348
3300	0.903921	-31.1348
3400	0.903921	-41.6284
3500	0.903921	-41.6281
3600	0.903921	-41.6285
3700	0.903921	-41.6059
3800	0.903921	-31.3488
3900	0.903921	-31.3484
4000	0.903921	-33.3823
4100	0.903921	-37.5241
4200	0.903921	-34.3057
4300	0.903921	-29.0098
4400	0.903921	-29.0087
4500	0.903921	-29.0096
4600	0.903921	-29.009
4700	0.903921	-29.0097
4800	0.903921	-34.3058
4900	0.903921	-29.0098
5000	0.903921	-34.3058
5100	0.903921	-29.0076
5200	0.903921	-34.3058
5300	0.903921	-29.0091
5400	0.903921	-32.0201
5500	0.903921	-41.6285
5600	0.903921	-38.0899
5700	0.903921	-41.6285
5800	0.903921	-38.0899
5900	0.903921	-38.7058
6000	0.903921	-41.6285
6100	0.903921	-38.0899
6200	0.903921	-41.6285
6300	0.903921	-41.6285
6400	0.903921	-41.6282
6500	0.903921	-38.0892
6600	0.903921	-41.6285
6700	0.903921	-41.6278
6800	0.903921	-32.858
6900	0.903921	-32.858
7000	0.903921	-41.6285
7100	0.903921	-38.8568
7200	0.903921	-37.8792
7300	0.903921	-41.6285
7400	0.903921	-41.6285
7500	0.903921	-32.9104
7600	0.903921	-32.9104
7700	0.903921	-41.6285
7800	0.903921	-34.8116
7900	0.903921	-37.631
8000	0.903921	-40.4568
8100	0.903921	-41.6285
8200	0.903921	-41.6284
8300	0.903921	-39.4919
8400	0.903921	-40.5259
8500	0.903921	-41.6285
8600	0.903921	-41.6285
8700	0.903921	-41.6285
8800	0.903921	-41.6277
8900	0.903921	-38.0897
9000	0.903921	-42.4553
9100	0.903921	-40.7453
9200	0.903921	-41.6285
9300	0.903921	-38.0899
9400	0.903921	-38.0897
9500	0.903921	-41.6285
9600	0.903921	-35.1895
9700	0.903921	-29.8348
9800	0.903921	-29.9527
9900	0.903921	-41.6285
10000	0.903921	-32.4988
2600	0.815373	-41.6285
2700	0.815373	-41.6285
2800	0.815373	-41.6285
2900	0.815373	-39.8369
3000	0.815373	-38.0898
3100	0.815373	-41.3802
3200	0.815373	-38.0897
3300	0.815373	-41.6285
3400	0.815373	-36.7929
3500	0.815373	-37.3354
3600	0.815373	-41.6285
3700	0.815373	-34.5916
3800	0.815373	-37.1319
3900	0.815373	-41.6278
4000	0.815373	-41.6285
4100	0.815373	-41.6285
4200	0.815373	-41.6284
4300	0.815373	-38.0898
4400	0.815373	-35.2346
4500	0.815373	-30.0727
4600	0.815373	-31.3296
4700	0.815373	-41.6285
4800	0.815373	-41.6285
4900	0.815373	-41.6285
5000	0.815373	-41.6285
5100	0.815373	-41.6285
5200	0.815373	-41.6285
5300	0.815373	-41.6285
5400	0.815373	-38.0897
5500	0.815373	-29.5099
5600	0.815373	-38.0898
5700	0.815373	-41.6278
5800	0.815373	-41.6253
5900	0.815373	-33.5837
6000	0.815373	-37.2441
6100	0.815373	-34.436
6200	0.815373	-41.0658
6300	0.815373	-41.6285
6400	0.815373	-38.0899
6500	0.815373	-41.6284
6600	0.815373	-41.6285
6700	0.815373	-41.6285
6800	0.815373	-41.6285
6900	0.815373	-38.0899
7000	0.815373	-37.8152
7100	0.815373	-41.6284
7200	0.815373	-41.062
7300	0.815373	-41.6285
7400	0.815373	-41.4653
7500	0.815373	-38.706
7600	0.815373	-38.0892
7700	0.815373	-38.0899
7800	0.815373	-40.0168
7900	0.815373	-36.9249
8000	0.815373	-41.6285
8100	0.815373	-41.6285
8200	0.815373	-41.6285
8300	0.815373	-38.0899
8400	0.815373	-41.6285
8500	0.815373	-37.4427
8600	0.815373	-32.1098
8700	0.815373	-41.6285
8800	0.815373	-40.4568
8900	0.815373	-41.6285
9000	0.815373	-40.4793
9100	0.815373	-41.6285
9200	0.815373	-38.0892
9300	0.815373	-38.0897
9400	0.815373	-30.3587
9500	0.815373	-30.0751
9600	0.815373	-39.7708
9700	0.815373	-31.8792
9800	0.815373	-35.7707
9900	0.815373	-41.6285
10000	0.815373	-41.5845
2600	0.733904	-35.6261
2700	0.733904	-30.0731
2800	0.733904	-41.6285
2900	0.733904	-41.6285
3000	0.733904	-41.6285
3100	0.733904	-41.6285
3200	0.733904	-41.6285
3300	0.733904	-41.7166
3400	0.733904	-41.6285
3500	0.733904	-41.6285
3600	0.733904	-37.1896
3700	0.733904	-41.7902
3800	0.733904	-41.6285
3900	0.733904	-41.3098
4000	0.733904	-40.4568
4100	0.733904	-41.6276
4200	0.733904	-38.0898
4300	0.733904	-41.6285
4400	0.733904	-41.6285
4500	0.733904	-38.0899
4600	0.733904	-41.6285
4700	0.733904	-41.6284
4800	0.733904	-41.6285
4900	0.733904	-29.0871
5000	0.733904	-41.6285
5100	0.733904	-41.6285
5200	0.733904	-41.6284
5300	0.733904	-38.0896
5400	0.733904	-38.0895
5500	0.733904	-41.6285
5600	0.733904	-38.0897
5700	0.733904	-41.2633
5800	0.733904	-41.6022
5900	0.733904	-41.6285
6000	0.733904	-41.6285
6100	0.733904	-38.0899
6200	0.733904	-41.6285
6300	0.733904	-41.6285
6400	0.733904	-41.6285
6500	0.733904	-41.6278
6600	0.733904	-39.7286
6700	0.733904	-41.6285
6800	0.733904	-38.0896
6900	0.733904	-41.6284
7000	0.733904	-28.7999
7100	0.733904	-37.6341
7200	0.733904	-37.3237
7300	0.733904	-41.6285
7400	0.733904	-31.5235
7500	0.733904	-36.3919
7600	0.733904	-37.8676
7700	0.733904	-41.6283
7800	0.733904	-41.6285
7900	0.733904	-37.234
8000	0.733904	-38.0899
8100	0.733904	-41.6285
8200	0.733904	-41.6269
8300	0.733904	-38.0897
8400	0.733904	-41.6285
8500	0.733904	-41.6285
8600	0.733904	-32.0065
8700	0.733904	-41.6285
8800	0.733904	-41.627
8900	0.733904	-38.8644
9000	0.733904	-41.6285
9100	0.733904	-38.0897
9200	0.733904	-38.0898
9300	0.733904	-39.7845
9400	0.733904	-38.0894
9500	0.733904	-41.6285
9600	0.733904	-41.6285
9700	0.733904	-38.296
9800	0.733904	-41.628
9900	0.733904	-38.0899
10000	0.733904	-41.6285
2600	0.659082	-41.6285
2700	0.659082	-37.3317
2800	0.659082	-41.6285
2900	0.659082	-41.6285
3000	0.659082	-41.6285
3100	0.659082	-37.6894
3200	0.659082	-38.0895
3300	0.659082	-31.7966
3400	0.659082	-40.835
3500	0.659082	-35.9323
3600	0.659082	-41.6285
3700	0.659082	-41.6285
3800	0.659082	-41.6285
3900	0.659082	-41.6285
4000	0.659082	-36.5309
4100	0.659082	-41.6282
4200	0.659082	-41.6285
4300	0.659082	-41.6285
4400	0.659082	-41.6284
4500	0.659082	-41.6285
4600	0.659082	-37.6282
4700	0.659082	-41.6285
4800	0.659082	-38.0898
4900	0.659082	-41.6285
5000	0.659082	-41.6285
5100	0.659082	-41.6285
5200	0.659082	-41.6285
5300	0.659082	-41.6285
5400	0.659082	-38.0897
5500	0.659082	-41.6253
5600	0.659082	-34.5386
5700	0.659082	-41.1804
5800	0.659082	-40.4568
5900	0.659082	-40.1768
6000	0.659082	-38.0898
6100	0.659082	-32.6187
6200	0.659082	-41.6285
6300	0.659082	-41.6285
6400	0.659082	-38.0897
6500	0.659082	-41.6285
6600	0.659082	-41.6285
6700	0.659082	-40.3155
6800	0.659082	-41.6285
6900	0.659082	-35.254
7000	0.659082	-41.6284
7100	0.659082	-41.6285
7200	0.659082	-41.6285
7300	0.659082	-31.0978
7400	0.659082	-41.6285
7500	0.659082	-41.2928
7600	0.659082	-38.0899
7700	0.659082	-41.0937
7800	0.659082	-38.0897
7900	0.659082	-38.0898
8000	0.659082	-41.6285
8100	0.659082	-41.6285
8200	0.659082	-41.6285
8300	0.659082	-42.0187
8400	0.659082	-41.6285
8500	0.659082	-41.6285
8600	0.659082	-41.6285
8700	0.659082	-38.0897
8800	0.659082	-41.6285
8900	0.659082	-37.2562
9000	0.659082	-41.6285
9100	0.659082	-41.6285
9200	0.659082	-41.6285
9300	0.659082	-41.6285
9400	0.659082	-41.628
9500	0.659082	-41.6285
9600	0.659082	-38.0899
9700	0.659082	-41.6285
9800	0.659082	-40.4568
9900	0.659082	-41.6285
10000	0.659082	-41.6285
2600	0.59049	-38.0897
2700	0.59049	-40.4395
2800	0.59049	-41.6285
2900	0.59049	-41.6285
3000	0.59049	-41.6285
3100	0.59049	-41.6278
3200	0.59049	-41.4684
3300	0.59049	-38.0897
3400	0.59049	-41.6285
3500	0.59049	-41.6282
3600	0.59049	-41.6285
3700	0.59049	-40.3686
3800	0.59049	-41.6285
3900	0.59049	-41.6285
4000	0.59049	-41.6285
4100	0.59049	-41.6183
4200	0.59049	-38.0882
4300	0.59049	-41.6285
4400	0.59049	-41.6285
4500	0.59049	-41.6283
4600	0.59049	-38.7522
4700	0.59049	-41.6956
4800	0.59049	-40.4568
4900	0.59049	-41.6285
5000	0.59049	-38.0899
5100	0.59049	-41.6283
5200	0.59049	-41.6285
5300	0.59049	-41.6281
5400	0.59049	-41.6285
5500	0.59049	-41.6282
5600	0.59049	-37.4187
5700	0.59049	-34.1937
5800	0.59049	-37.672
5900	0.59049	-38.6181
6000	0.59049	-41.6285
6100	0.59049	-41.6284
6200	0.59049	-41.6285
6300	0.59049	-38.0899
6400	0.59049	-41.6005
6500	0.59049	-41.6285
6600	0.59049	-41.6285
6700	0.59049	-41.296
6800	0.59049	-38.0897
6900	0.59049	-41.6845
7000	0.59049	-41.6285
7100	0.59049	-41.6285
7200	0.59049	-41.6285
7300	0.59049	-41.6285
7400	0.59049	-40.4568
7500	0.59049	-41.6285
7600	0.59049	-42.4773
7700	0.59049	-40.4568
7800	0.59049	-41.333
7900	0.59049	-37.1213
8000	0.59049	-41.6285
8100	0.59049	-41.6285
8200	0.59049	-38.1128
8300	0.59049	-41.6285
8400	0.59049	-41.6285
8500	0.59049	-44.1552
8600	0.59049	-37.6396
8700	0.59049	-41.5212
8800	0.59049	-38.0897
8900	0.59049	-38.0882
9000	0.59049	-42.0235
9100	0.59049	-41.6284
9200	0.59049	-41.6285
9300	0.59049	-40.4568
9400	0.59049	-38.0899
9500	0.59049	-39.0016
9600	0.59049	-41.5229
9700	0.59049	-41.628
9800	0.59049	-41.6285
9900	0.59049	-41.6285
10000	0.59049	-42.9086
2600	0.527732	-41.6284
2700	0.527732	-40.2403
2800	0.527732	-41.6285
2900	0.527732	-41.6285
3000	0.527732	-38.0898
3100	0.527732	-38.0898
3200	0.527732	-38.0898
3300	0.527732	-41.3859
3400	0.527732	-41.6285
3500	0.527732	-41.6285
3600	0.527732	-41.6278
3700	0.527732	-41.6285
3800	0.527732	-41.6285
3900	0.527732	-41.6284
4000	0.527732	-41.6285
4100	0.527732	-41.6285
4200	0.527732	-41.6285
4300	0.527732	-41.6285
4400	0.527732	-41.6285
4500	0.527732	-40.4568
4600	0.527732	-37.7917
4700	0.527732	-41.6285
4800	0.527732	-41.6285
4900	0.527732	-41.6285
5000	0.527732	-41.6285
5100	0.527732	-41.6285
5200	0.527732	-37.3897
5300	0.527732	-41.6285
5400	0.527732	-38.0898
5500	0.527732	-41.6285
5600	0.527732	-38.0899
5700	0.527732	-41.6285
5800	0.527732	-41.2368
5900	0.527732	-41.6281
6000	0.527732	-42.144
6100	0.527732	-38.0897
6200	0.527732	-41.6281
6300	0.527732	-39.3443
6400	0.527732	-40.0903
6500	0.527732	-41.6285
6600	0.527732	-41.6284
6700	0.527732	-41.6285
6800	0.527732	-38.0882
6900	0.527732	-40.9105
7000	0.527732	-40.9112
7100	0.527732	-41.6242
7200	0.527732	-38.0897
7300	0.527732	-37.9454
7400	0.527732	-41.6136
7500	0.527732	-41.6285
7600	0.527732	-38.0899
7700	0.527732	-41.6285
7800	0.527732	-38.0899
7900	0.527732	-38.6026
8000	0.527732	-42.2118
8100	0.527732	-39.5352
8200	0.527732	-41.6285
8300	0.527732	-41.6285
8400	0.527732	-41.6626
8500	0.527732	-41.6285
8600	0.527732	-41.626
8700	0.527732	-41.6285
8800	0.527732	-41.6285
8900	0.527732	-41.6285
9000	0.527732	-41.6284
9100	0.527732	-39.7731
9200	0.527732	-40.5042
9300	0.527732	-42.1862
