state	power	likelihood
2600	5.37824e-05	-371.434
2700	5.37824e-05	-371.602
2800	5.37824e-05	-371.554
2900	5.37824e-05	-371.659
3000	5.37824e-05	-371.707
3100	5.37824e-05	-371.617
3200	5.37824e-05	-371.613
3300	5.37824e-05	-371.719
3400	5.37824e-05	-371.711
3500	5.37824e-05	-370.885
3600	5.37824e-05	-371.637
3700	5.37824e-05	-370.794
3800	5.37824e-05	-371.252
3900	5.37824e-05	-371.607
4000	5.37824e-05	-371.258
4100	5.37824e-05	-371.642
4200	5.37824e-05	-371.58
4300	5.37824e-05	-371.339
4400	5.37824e-05	-371.65
4500	5.37824e-05	-371.977
4600	5.37824e-05	-370.379
4700	5.37824e-05	-371.693
4800	5.37824e-05	-371.675
4900	5.37824e-05	-371.786
5000	5.37824e-05	-371.712
5100	5.37824e-05	-371.586
5200	5.37824e-05	-371.773
5300	5.37824e-05	-370.419
5400	5.37824e-05	-371.544
5500	5.37824e-05	-370.933
5600	5.37824e-05	-371.602
5700	5.37824e-05	-371.657
5800	5.37824e-05	-371.687
5900	5.37824e-05	-371.705
6000	5.37824e-05	-371.667
6100	5.37824e-05	-371.668
6200	5.37824e-05	-371.555
6300	5.37824e-05	-371.692
6400	5.37824e-05	-371.315
6500	5.37824e-05	-371.208
6600	5.37824e-05	-371.737
6700	5.37824e-05	-370.219
6800	5.37824e-05	-371.657
6900	5.37824e-05	-371.672
7000	5.37824e-05	-371.707
7100	5.37824e-05	-371.653
7200	5.37824e-05	-371.595
7300	5.37824e-05	-371.71
7400	5.37824e-05	-370.002
7500	5.37824e-05	-371.789
7600	5.37824e-05	-371.616
7700	5.37824e-05	-366.254
7800	5.37824e-05	-371.68
7900	5.37824e-05	-371.628
8000	5.37824e-05	-371.677
8100	5.37824e-05	-371.776
8200	5.37824e-05	-371.341
8300	5.37824e-05	-371.347
8400	5.37824e-05	-371.3
8500	5.37824e-05	-371.947
8600	5.37824e-05	-370.129
8700	5.37824e-05	-371.661
8800	5.37824e-05	-371.697
8900	5.37824e-05	-371.636
9000	5.37824e-05	-366.237
9100	5.37824e-05	-371.665
9200	5.37824e-05	-371.666
9300	5.37824e-05	-371.674
9400	5.37824e-05	-371.438
9500	5.37824e-05	-371.643
9600	5.37824e-05	-371.5
9700	5.37824e-05	-371.69
9800	5.37824e-05	-371.61
9900	5.37824e-05	-371.657
10000	5.37824e-05	-370.305
