state	power	likelihood
2600	1	-61.8735
2700	1	-61.8735
2800	1	-61.8735
2900	1	-61.8735
3000	1	-61.8735
3100	1	-61.8735
3200	1	-61.8735
3300	1	-61.8735
3400	1	-61.8735
3500	1	-61.8735
3600	1	-61.8735
3700	1	-61.8735
3800	1	-61.8735
3900	1	-61.8735
4000	1	-61.8735
4100	1	-61.8735
4200	1	-61.8735
4300	1	-61.8735
4400	1	-61.8735
4500	1	-61.8735
4600	1	-61.8735
4700	1	-61.8735
4800	1	-61.8735
4900	1	-61.8735
5000	1	-61.8735
5100	1	-61.8735
5200	1	-57.8815
5300	1	-57.8815
5400	1	-57.8815
5500	1	-57.8815
5600	1	-57.8815
5700	1	-57.8815
5800	1	-57.8815
5900	1	-57.8815
6000	1	-57.8815
6100	1	-57.8815
6200	1	-57.8815
6300	1	-57.8815
6400	1	-57.8815
6500	1	-57.8815
6600	1	-57.8815
6700	1	-57.8815
6800	1	-57.8815
6900	1	-57.8815
7000	1	-57.8815
7100	1	-57.8815
7200	1	-57.8815
7300	1	-57.8815
7400	1	-57.8815
7500	1	-57.8815
7600	1	-57.8815
7700	1	-57.8815
7800	1	-57.8815
7900	1	-57.8815
8000	1	-57.8815
8100	1	-57.8815
8200	1	-57.8815
8300	1	-57.8815
8400	1	-57.8815
8500	1	-57.8815
8600	1	-57.8815
8700	1	-57.8815
8800	1	-57.8815
8900	1	-57.8815
9000	1	-57.8815
9100	1	-57.8815
9200	1	-57.8815
9300	1	-57.8815
9400	1	-57.8815
9500	1	-57.8815
9600	1	-57.8815
9700	1	-57.8815
9800	1	-57.8815
9900	1	-57.8815
10000	1	-57.8815
2600	0.903921	-60.2481
2700	0.903921	-60.2481
2800	0.903921	-60.2481
2900	0.903921	-60.2481
3000	0.903921	-60.2481
3100	0.903921	-60.2481
3200	0.903921	-60.2481
3300	0.903921	-60.2481
3400	0.903921	-60.2481
3500	0.903921	-60.2481
3600	0.903921	-60.2481
3700	0.903921	-60.2481
3800	0.903921	-60.2481
3900	0.903921	-60.2481
4000	0.903921	-60.2481
4100	0.903921	-60.2481
4200	0.903921	-60.2481
4300	0.903921	-60.2481
4400	0.903921	-60.2481
4500	0.903921	-60.2481
4600	0.903921	-60.2481
4700	0.903921	-60.2481
4800	0.903921	-60.2481
4900	0.903921	-60.2481
5000	0.903921	-60.2481
5100	0.903921	-60.2481
5200	0.903921	-60.2481
5300	0.903921	-60.2481
5400	0.903921	-60.2481
5500	0.903921	-60.2481
5600	0.903921	-60.2481
5700	0.903921	-60.2481
5800	0.903921	-60.2481
5900	0.903921	-60.2481
6000	0.903921	-60.2481
6100	0.903921	-60.2481
6200	0.903921	-60.2481
6300	0.903921	-60.2481
6400	0.903921	-60.2481
6500	0.903921	-60.2481
6600	0.903921	-60.2481
6700	0.903921	-60.2481
6800	0.903921	-60.2481
6900	0.903921	-60.2481
7000	0.903921	-60.2481
7100	0.903921	-60.2481
7200	0.903921	-60.2481
7300	0.903921	-60.2481
7400	0.903921	-60.2481
7500	0.903921	-60.2481
7600	0.903921	-60.2481
7700	0.903921	-60.2481
7800	0.903921	-60.2481
7900	0.903921	-60.2481
8000	0.903921	-60.2481
8100	0.903921	-60.2481
8200	0.903921	-60.2481
8300	0.903921	-60.2481
8400	0.903921	-60.2481
8500	0.903921	-60.2481
8600	0.903921	-60.2481
8700	0.903921	-60.2481
8800	0.903921	-60.2481
8900	0.903921	-60.2481
9000	0.903921	-60.2481
9100	0.903921	-60.2481
9200	0.903921	-60.2481
9300	0.903921	-60.2481
9400	0.903921	-60.2481
9500	0.903921	-55.6539
9600	0.903921	-55.6539
9700	0.903921	-55.6539
9800	0.903921	-55.6539
9900	0.903921	-55.6539
10000	0.903921	-55.6539
2600	0.815373	-65.5855
2700	0.815373	-65.5855
2800	0.815373	-65.5855
2900	0.815373	-65.5855
3000	0.815373	-65.5855
3100	0.815373	-65.5855
3200	0.815373	-65.5855
3300	0.815373	-65.5855
3400	0.815373	-65.5855
3500	0.815373	-69.073
3600	0.815373	-69.073
3700	0.815373	-63.3283
3800	0.815373	-63.3283
3900	0.815373	-63.3283
4000	0.815373	-63.3283
4100	0.815373	-63.3283
4200	0.815373	-63.3283
4300	0.815373	-63.3283
4400	0.815373	-63.3283
4500	0.815373	-63.3283
4600	0.815373	-63.3283
4700	0.815373	-63.3283
4800	0.815373	-63.3283
4900	0.815373	-63.3283
5000	0.815373	-63.3283
5100	0.815373	-63.3283
5200	0.815373	-63.3283
