state	power	likelihood
2600	0.288717	-94.4076
2700	0.288717	-94.8325
2800	0.288717	-80.0975
2900	0.288717	-105.19
3000	0.288717	-94.2322
3100	0.288717	-96.5489
3200	0.288717	-103.098
3300	0.288717	-94.1386
3400	0.288717	-106.321
3500	0.288717	-94.505
3600	0.288717	-88.217
3700	0.288717	-79.5128
3800	0.288717	-93.5887
3900	0.288717	-95.6825
4000	0.288717	-85.104
4100	0.288717	-94.1872
4200	0.288717	-96.9653
4300	0.288717	-93.2132
4400	0.288717	-94.1201
4500	0.288717	-99.1875
4600	0.288717	-98.1799
4700	0.288717	-96.5722
4800	0.288717	-94.9234
4900	0.288717	-94.6175
5000	0.288717	-93.7546
5100	0.288717	-94.65
5200	0.288717	-87.1056
5300	0.288717	-94.213
5400	0.288717	-92.5602
5500	0.288717	-94.6072
5600	0.288717	-108.103
5700	0.288717	-84.6786
5800	0.288717	-94.6374
5900	0.288717	-92.4365
6000	0.288717	-94.3029
6100	0.288717	-94.0714
6200	0.288717	-92.1139
6300	0.288717	-103.647
6400	0.288717	-89.0959
6500	0.288717	-93.2629
6600	0.288717	-99.8708
6700	0.288717	-94.3175
6800	0.288717	-103.235
6900	0.288717	-95.0606
7000	0.288717	-95.0961
7100	0.288717	-93.8655
7200	0.288717	-93.4979
7300	0.288717	-88.6695
7400	0.288717	-94.2953
7500	0.288717	-53.6979
7600	0.288717	-53.6979
7700	0.288717	-98.4181
7800	0.288717	-93.7319
7900	0.288717	-94.1466
8000	0.288717	-80.6488
8100	0.288717	-96.704
8200	0.288717	-92.403
8300	0.288717	-93.7616
8400	0.288717	-92.8961
8500	0.288717	-94.3921
8600	0.288717	-89.1187
8700	0.288717	-92.8526
8800	0.288717	-97.9223
8900	0.288717	-94.5934
9000	0.288717	-63.8609
9100	0.288717	-95.1017
9200	0.288717	-94.4115
9300	0.288717	-93.7791
9400	0.288717	-94.4984
9500	0.288717	-90.8948
9600	0.288717	-98.6333
9700	0.288717	-99.3962
9800	0.288717	-101.345
9900	0.288717	-90.1722
10000	0.288717	-93.7991
