state	power	likelihood
2600	1	-16.3645
2700	1	-17.1755
2800	1	-16.0928
2900	1	-14.6537
3000	1	-16.3486
3100	1	-16.9839
3200	1	-16.3371
3300	1	-16.3371
3400	1	-18.0413
3500	1	-20.2826
3600	1	-17.4902
3700	1	-15.6147
3800	1	-18.3807
3900	1	-16.7439
4000	1	-17.0846
4100	1	-18.8673
4200	1	-17.0457
4300	1	-17.2513
4400	1	-17.2513
4500	1	-17.9282
4600	1	-18.4046
4700	1	-20.8472
4800	1	-18.7712
4900	1	-19.4003
5000	1	-16.4359
5100	1	-15.5376
5200	1	-17.3528
5300	1	-18.6899
5400	1	-25.19
5500	1	-15.4181
5600	1	-14.5271
5700	1	-12.4764
5800	1	-11.6455
5900	1	-11.6455
6000	1	-12.9774
6100	1	-11.0165
6200	1	-15.1829
6300	1	-11.8304
6400	1	-14.6476
6500	1	-12.5104
6600	1	-14.0354
6700	1	-12.9781
6800	1	-11.9719
6900	1	-10.9191
7000	1	-14.9884
7100	1	-11.0035
7200	1	-10.8393
7300	1	-13.234
7400	1	-13.3802
7500	1	-11.5163
7600	1	-13.2822
7700	1	-12.0318
7800	1	-13.741
7900	1	-12.7591
8000	1	-12.8926
8100	1	-14.2318
8200	1	-11.4141
8300	1	-12.3315
8400	1	-11.9856
8500	1	-11.2173
8600	1	-11.2173
8700	1	-11.2173
8800	1	-11.2173
8900	1	-13.1297
9000	1	-10.7996
9100	1	-10.7996
9200	1	-14.6927
9300	1	-13.1443
9400	1	-13.1714
9500	1	-12.1121
9600	1	-17.0601
9700	1	-14.3591
9800	1	-13.3752
9900	1	-13.1796
10000	1	-13.8121
2600	0.903921	-14.0672
2700	0.903921	-12.017
2800	0.903921	-12.5454
2900	0.903921	-13.2902
3000	0.903921	-12.5577
3100	0.903921	-12.5577
3200	0.903921	-15.6663
3300	0.903921	-13.1853
3400	0.903921	-13.8127
3500	0.903921	-14.5605
3600	0.903921	-13.9301
3700	0.903921	-15.4664
3800	0.903921	-11.0053
3900	0.903921	-12.0976
4000	0.903921	-11.9136
4100	0.903921	-15.2295
4200	0.903921	-13.9089
4300	0.903921	-14.7808
4400	0.903921	-11.7309
4500	0.903921	-11.5859
4600	0.903921	-14.8445
4700	0.903921	-11.7262
4800	0.903921	-11.7262
4900	0.903921	-11.8348
5000	0.903921	-16.2945
5100	0.903921	-11.9952
5200	0.903921	-13.7173
5300	0.903921	-15.5591
5400	0.903921	-15.6997
5500	0.903921	-16.221
5600	0.903921	-14.1237
5700	0.903921	-13.9863
5800	0.903921	-15.6983
5900	0.903921	-12.1092
6000	0.903921	-12.8713
6100	0.903921	-11.5812
6200	0.903921	-12.0204
6300	0.903921	-12.6985
6400	0.903921	-11.9038
6500	0.903921	-11.309
6600	0.903921	-10.8974
6700	0.903921	-10.838
6800	0.903921	-11.5925
6900	0.903921	-14.37
7000	0.903921	-11.4625
7100	0.903921	-13.6425
7200	0.903921	-15.7266
7300	0.903921	-13.4689
7400	0.903921	-14.1004
7500	0.903921	-14.0548
7600	0.903921	-15.0639
7700	0.903921	-12.0198
7800	0.903921	-13.8211
7900	0.903921	-12.3184
8000	0.903921	-12.2676
8100	0.903921	-11.1419
8200	0.903921	-13.0577
8300	0.903921	-11.7615
8400	0.903921	-12.9525
8500	0.903921	-12.878
8600	0.903921	-13.0812
8700	0.903921	-11.3591
8800	0.903921	-11.3591
8900	0.903921	-11.3676
9000	0.903921	-13.9798
9100	0.903921	-19.9505
9200	0.903921	-13.7134
9300	0.903921	-12.0802
9400	0.903921	-11.4824
9500	0.903921	-11.1187
9600	0.903921	-13.6232
9700	0.903921	-14.2627
9800	0.903921	-15.3745
9900	0.903921	-13.2195
10000	0.903921	-11.1011
2600	0.815373	-11.5114
2700	0.815373	-13.5749
2800	0.815373	-11.6992
2900	0.815373	-14.1554
3000	0.815373	-14.7901
3100	0.815373	-11.502
3200	0.815373	-11.4015
3300	0.815373	-14.5301
3400	0.815373	-15.8393
3500	0.815373	-17.0263
3600	0.815373	-14.0065
3700	0.815373	-13.9474
3800	0.815373	-13.0749
3900	0.815373	-17.5844
4000	0.815373	-16.1516
4100	0.815373	-17.2094
4200	0.815373	-12.2595
4300	0.815373	-12.4589
4400	0.815373	-11.3397
4500	0.815373	-13.3566
4600	0.815373	-13.8308
4700	0.815373	-10.6944
4800	0.815373	-12.2523
4900	0.815373	-17.8044
5000	0.815373	-14.1181
5100	0.815373	-16.1964
5200	0.815373	-14.4098
5300	0.815373	-16.8161
5400	0.815373	-17.1192
5500	0.815373	-17.5857
5600	0.815373	-16.7182
5700	0.815373	-13.8814
5800	0.815373	-15.5469
5900	0.815373	-15.4173
6000	0.815373	-12.0995
6100	0.815373	-11.7187
6200	0.815373	-12.2823
6300	0.815373	-11.4223
6400	0.815373	-11.636
6500	0.815373	-13.1055
6600	0.815373	-11.2538
