state	power	likelihood
2600	1.16658e-302	-607.938
2700	1.16658e-302	-616.742
2800	1.16658e-302	-611.496
2900	1.16658e-302	-624.426
3000	1.16658e-302	-612.689
3100	1.16658e-302	-622.058
3200	1.16658e-302	-611.6
3300	1.16658e-302	-597.016
3400	1.16658e-302	-613.312
3500	1.16658e-302	-615.846
3600	1.16658e-302	-611.47
3700	1.16658e-302	-598.654
3800	1.16658e-302	-610.26
3900	1.16658e-302	-621.784
4000	1.16658e-302	-611.506
4100	1.16658e-302	-610.044
4200	1.16658e-302	-602.646
4300	1.16658e-302	-605.557
4400	1.16658e-302	-616.343
4500	1.16658e-302	-612.191
4600	1.16658e-302	-615.865
4700	1.16658e-302	-614.054
4800	1.16658e-302	-609.252
4900	1.16658e-302	-614.981
5000	1.16658e-302	-613.623
5100	1.16658e-302	-614.13
5200	1.16658e-302	-618.065
5300	1.16658e-302	-615.855
5400	1.16658e-302	-611.815
5500	1.16658e-302	-617.763
5600	1.16658e-302	-615.539
5700	1.16658e-302	-615.531
5800	1.16658e-302	-617.143
5900	1.16658e-302	-518.517
6000	1.16658e-302	-613.552
6100	1.16658e-302	-614.081
6200	1.16658e-302	-624.492
6300	1.16658e-302	-612.296
6400	1.16658e-302	-605.689
6500	1.16658e-302	-614.666
6600	1.16658e-302	-611.029
6700	1.16658e-302	-613.893
6800	1.16658e-302	-613.458
6900	1.16658e-302	-613.504
7000	1.16658e-302	-605.77
7100	1.16658e-302	-616.491
7200	1.16658e-302	-615.42
7300	1.16658e-302	-616.314
7400	1.16658e-302	-559.989
7500	1.16658e-302	-614.535
7600	1.16658e-302	-613.46
7700	1.16658e-302	-612.586
7800	1.16658e-302	-492.756
7900	1.16658e-302	-614.69
8000	1.16658e-302	-612.7
8100	1.16658e-302	-599.619
8200	1.16658e-302	-608.038
8300	1.16658e-302	-616.38
8400	1.16658e-302	-608.124
8500	1.16658e-302	-612.996
8600	1.16658e-302	-585.532
8700	1.16658e-302	-614.403
8800	1.16658e-302	-591.999
8900	1.16658e-302	-625.623
9000	1.16658e-302	-614.396
9100	1.16658e-302	-611.475
9200	1.16658e-302	-611.357
9300	1.16658e-302	-577.919
9400	1.16658e-302	-612.964
9500	1.16658e-302	-614.348
9600	1.16658e-302	-615.355
9700	1.16658e-302	-614.264
9800	1.16658e-302	-613.648
9900	1.16658e-302	-611.951
10000	1.16658e-302	-612.675
