state	power	likelihood
12600	1	-212.747
12700	1	-215.374
12800	1	-217.676
12900	1	-218.565
13000	1	-206.145
13100	1	-217.835
13200	1	-216.229
13300	1	-215.312
13400	1	-207.958
13500	1	-210.357
13600	1	-215.802
13700	1	-201.937
13800	1	-214.184
13900	1	-216.588
14000	1	-212.523
14100	1	-207.62
14200	1	-206.811
14300	1	-215.752
14400	1	-216.95
14500	1	-206.488
14600	1	-212.214
14700	1	-215.745
14800	1	-217.27
14900	1	-214.27
15000	1	-213.532
15100	1	-212.003
15200	1	-214.406
15300	1	-214.367
15400	1	-215.197
15500	1	-205.231
15600	1	-206.566
15700	1	-215.832
15800	1	-215.055
15900	1	-209.613
16000	1	-211.902
16100	1	-215.123
16200	1	-220.733
16300	1	-205.915
16400	1	-219.311
16500	1	-209.899
16600	1	-214.544
16700	1	-211.524
16800	1	-217.699
16900	1	-216.87
17000	1	-213.856
17100	1	-214.473
17200	1	-204.383
17300	1	-209.46
17400	1	-210.556
17500	1	-214.428
17600	1	-219.033
17700	1	-208.511
17800	1	-214.273
17900	1	-207.452
18000	1	-218.853
18100	1	-213.588
18200	1	-215.61
18300	1	-215.329
18400	1	-221.162
18500	1	-216.029
18600	1	-214.239
18700	1	-212.066
18800	1	-218.61
18900	1	-213.049
19000	1	-208.612
19100	1	-215.689
19200	1	-221.899
19300	1	-214.478
19400	1	-213.252
19500	1	-208.563
19600	1	-216.851
19700	1	-206.802
19800	1	-221.217
19900	1	-210.715
20000	1	-210.958
20100	1	-213.807
20200	1	-212.087
20300	1	-217.873
20400	1	-217.684
20500	1	-218.633
20600	1	-206.995
20700	1	-215.433
20800	1	-210.079
20900	1	-215.784
21000	1	-219.104
21100	1	-208.234
21200	1	-214.649
21300	1	-213.468
21400	1	-209.185
21500	1	-213.136
21600	1	-212.221
21700	1	-215.979
21800	1	-207.807
21900	1	-211.126
22000	1	-214.569
22100	1	-203.069
22200	1	-216.597
22300	1	-217.017
22400	1	-213.233
22500	1	-206.291
22600	1	-217.68
22700	1	-212.147
22800	1	-213.123
22900	1	-218.028
23000	1	-219.244
23100	1	-214.555
23200	1	-210.695
23300	1	-217.967
23400	1	-216.575
23500	1	-215.7
23600	1	-207.294
23700	1	-204.343
23800	1	-212.435
23900	1	-209.496
24000	1	-208.719
24100	1	-213.364
24200	1	-214.29
24300	1	-208.825
24400	1	-211.114
24500	1	-210.098
24600	1	-205.362
24700	1	-224.944
24800	1	-213.98
24900	1	-212.689
25000	1	-212.033
25100	1	-215.271
25200	1	-211.003
25300	1	-211.962
25400	1	-208.637
25500	1	-212.521
25600	1	-215.693
25700	1	-214.985
25800	1	-215.04
25900	1	-205.502
26000	1	-204.856
26100	1	-208.835
26200	1	-214.954
26300	1	-215.246
26400	1	-206.692
26500	1	-212.345
26600	1	-216.295
26700	1	-209.176
26800	1	-212.809
26900	1	-216.2
27000	1	-218.728
27100	1	-215.388
27200	1	-218.998
27300	1	-213.815
27400	1	-216.585
27500	1	-219.182
27600	1	-215.867
27700	1	-211.357
27800	1	-216.204
27900	1	-207.916
28000	1	-213.277
28100	1	-214.922
28200	1	-219.732
28300	1	-216.659
28400	1	-211.223
28500	1	-214.894
28600	1	-210.895
28700	1	-209.668
28800	1	-209.242
28900	1	-215.252
29000	1	-210.213
29100	1	-214.323
29200	1	-213.888
29300	1	-207.13
29400	1	-219.933
29500	1	-207.763
29600	1	-214.043
29700	1	-203.293
29800	1	-201.771
29900	1	-218.72
30000	1	-210.756
30100	1	-219.137
30200	1	-217.86
30300	1	-213.512
30400	1	-204.411
30500	1	-211.784
30600	1	-214.749
30700	1	-212.233
30800	1	-208.81
30900	1	-204.349
31000	1	-209.268
31100	1	-212.052
31200	1	-212.922
31300	1	-214.36
31400	1	-208.762
31500	1	-213.737
31600	1	-207.001
31700	1	-209.467
31800	1	-211.015
31900	1	-213.485
32000	1	-217.394
32100	1	-215.006
32200	1	-212.641
32300	1	-216.139
32400	1	-214.14
32500	1	-215.205
32600	1	-216.563
32700	1	-212.361
32800	1	-215.838
32900	1	-215.412
33000	1	-207.815
33100	1	-213.724
33200	1	-215.578
33300	1	-209.93
33400	1	-215.669
33500	1	-217.549
33600	1	-210.497
33700	1	-216.789
33800	1	-215.451
33900	1	-206.38
34000	1	-212.238
34100	1	-211.701
34200	1	-216.111
34300	1	-206.109
34400	1	-208.188
34500	1	-211.687
34600	1	-208.882
34700	1	-219.444
34800	1	-209.271
34900	1	-211.103
35000	1	-210.383
35100	1	-211.957
35200	1	-214.257
35300	1	-220.063
35400	1	-215.312
35500	1	-213.934
35600	1	-217.389
35700	1	-220.284
35800	1	-217.725
35900	1	-211.56
36000	1	-216.812
36100	1	-212.888
36200	1	-214.058
36300	1	-212.459
36400	1	-210.089
36500	1	-209.424
36600	1	-207.206
36700	1	-214.471
36800	1	-212.818
36900	1	-217.829
37000	1	-214.2
37100	1	-215.105
37200	1	-207.148
37300	1	-207.47
37400	1	-209.338
37500	1	-203.882
37600	1	-217.454
37700	1	-209.802
37800	1	-221.986
37900	1	-210.998
38000	1	-216.427
38100	1	-210.075
38200	1	-211.26
38300	1	-213.146
38400	1	-218.73
38500	1	-213.289
38600	1	-213.551
38700	1	-214.026
38800	1	-215.749
38900	1	-207.314
39000	1	-210.193
39100	1	-208.586
39200	1	-203.955
39300	1	-215.01
39400	1	-215.371
39500	1	-210.941
39600	1	-215.403
39700	1	-204.272
39800	1	-216.299
39900	1	-212.17
40000	1	-217.654
40100	1	-219.446
40200	1	-211.719
40300	1	-212.172
40400	1	-209.034
40500	1	-214.662
40600	1	-215.08
40700	1	-213.023
40800	1	-215.671
40900	1	-209.65
41000	1	-215.301
41100	1	-211.007
41200	1	-209.331
41300	1	-215.616
41400	1	-213.32
41500	1	-211.563
41600	1	-212.7
41700	1	-208.582
41800	1	-220.174
41900	1	-211.382
42000	1	-213.71
42100	1	-216.749
42200	1	-215.925
42300	1	-214.118
42400	1	-219.075
42500	1	-213.523
42600	1	-205.444
42700	1	-214.87
42800	1	-211.789
42900	1	-206.188
43000	1	-208.753
43100	1	-213.233
43200	1	-206.344
43300	1	-214.202
43400	1	-212.471
43500	1	-212.826
43600	1	-208.647
