state	power	likelihood
12600	0.32768	-209.005
12700	0.32768	-221.762
12800	0.32768	-225.81
12900	0.32768	-225.418
13000	0.32768	-211.776
13100	0.32768	-211.281
13200	0.32768	-219.428
13300	0.32768	-207.762
13400	0.32768	-214.516
13500	0.32768	-206.684
13600	0.32768	-206.236
13700	0.32768	-221.756
13800	0.32768	-216.967
13900	0.32768	-230.719
14000	0.32768	-213.36
14100	0.32768	-221.232
14200	0.32768	-218.768
14300	0.32768	-217.188
14400	0.32768	-210.088
14500	0.32768	-214.173
14600	0.32768	-224.438
14700	0.32768	-238.121
14800	0.32768	-220.951
14900	0.32768	-217.055
15000	0.32768	-226.284
15100	0.32768	-218.569
15200	0.32768	-229.472
15300	0.32768	-224.408
15400	0.32768	-225.735
15500	0.32768	-211.184
15600	0.32768	-227.546
15700	0.32768	-213.853
15800	0.32768	-221.196
15900	0.32768	-210.531
16000	0.32768	-219.356
16100	0.32768	-201.165
16200	0.32768	-229.112
16300	0.32768	-231.153
16400	0.32768	-232.607
16500	0.32768	-227.543
16600	0.32768	-209.275
16700	0.32768	-223.232
16800	0.32768	-219.08
16900	0.32768	-221.495
17000	0.32768	-210.731
17100	0.32768	-224.663
17200	0.32768	-229.37
17300	0.32768	-217.124
17400	0.32768	-210.023
17500	0.32768	-224.988
17600	0.32768	-215.008
17700	0.32768	-211.373
17800	0.32768	-210.763
17900	0.32768	-223.852
18000	0.32768	-222.324
18100	0.32768	-225.596
18200	0.32768	-225.959
18300	0.32768	-224.34
18400	0.32768	-227.634
18500	0.32768	-225.023
18600	0.32768	-219.12
18700	0.32768	-214.014
18800	0.32768	-217.984
18900	0.32768	-213.945
19000	0.32768	-220.472
19100	0.32768	-217.782
19200	0.32768	-227.143
19300	0.32768	-221.591
19400	0.32768	-217.214
19500	0.32768	-227.557
19600	0.32768	-211.686
19700	0.32768	-215.942
19800	0.32768	-228.961
19900	0.32768	-203.731
20000	0.32768	-216.03
20100	0.32768	-209.656
20200	0.32768	-216.868
20300	0.32768	-202.384
20400	0.32768	-212.143
20500	0.32768	-226.668
20600	0.32768	-213.484
20700	0.32768	-221.669
20800	0.32768	-224.712
20900	0.32768	-219.133
21000	0.32768	-207.126
21100	0.32768	-226.41
21200	0.32768	-223.79
21300	0.32768	-227.909
