state	power	likelihood
12600	0.145393	-237.508
12700	0.145393	-230.457
12800	0.145393	-247.17
12900	0.145393	-222.024
13000	0.145393	-220.665
13100	0.145393	-237.743
13200	0.145393	-225.784
13300	0.145393	-231.96
13400	0.145393	-235.557
13500	0.145393	-222.819
13600	0.145393	-236.02
13700	0.145393	-239.326
13800	0.145393	-235.94
13900	0.145393	-229.24
14000	0.145393	-232.124
14100	0.145393	-234.751
14200	0.145393	-250.726
14300	0.145393	-236.224
14400	0.145393	-244.59
14500	0.145393	-239.034
14600	0.145393	-236.091
14700	0.145393	-230.214
14800	0.145393	-236.028
14900	0.145393	-232.169
15000	0.145393	-230.989
15100	0.145393	-225.345
15200	0.145393	-230.098
15300	0.145393	-253.553
15400	0.145393	-240.224
15500	0.145393	-231.519
15600	0.145393	-238.76
15700	0.145393	-231.294
15800	0.145393	-239.562
15900	0.145393	-253.659
16000	0.145393	-225.607
16100	0.145393	-230.291
16200	0.145393	-233.1
16300	0.145393	-231.996
16400	0.145393	-231.016
16500	0.145393	-229.451
16600	0.145393	-229.224
16700	0.145393	-255.714
16800	0.145393	-227.805
16900	0.145393	-242.131
17000	0.145393	-240.687
17100	0.145393	-234.735
17200	0.145393	-236.147
17300	0.145393	-228.855
17400	0.145393	-235.67
17500	0.145393	-231.247
17600	0.145393	-233.72
17700	0.145393	-238.65
17800	0.145393	-235.228
17900	0.145393	-224.772
18000	0.145393	-225.007
18100	0.145393	-236.063
18200	0.145393	-243.794
18300	0.145393	-240.771
18400	0.145393	-237.182
18500	0.145393	-232.387
18600	0.145393	-239
18700	0.145393	-227.039
18800	0.145393	-238.522
18900	0.145393	-221.125
19000	0.145393	-234.186
19100	0.145393	-235.323
19200	0.145393	-234.716
19300	0.145393	-236.673
19400	0.145393	-259.414
19500	0.145393	-234.14
19600	0.145393	-229.438
19700	0.145393	-238.995
19800	0.145393	-245.621
19900	0.145393	-237.474
20000	0.145393	-230.688
20100	0.145393	-232.474
20200	0.145393	-232.724
20300	0.145393	-234.988
20400	0.145393	-227.197
20500	0.145393	-249.322
20600	0.145393	-229.943
20700	0.145393	-231.814
20800	0.145393	-234.005
20900	0.145393	-235.621
21000	0.145393	-229.592
21100	0.145393	-232.2
21200	0.145393	-239.814
21300	0.145393	-252.639
21400	0.145393	-242.611
21500	0.145393	-224.125
21600	0.145393	-234.386
21700	0.145393	-247.147
21800	0.145393	-235.375
21900	0.145393	-230.772
22000	0.145393	-238.42
22100	0.145393	-231.235
22200	0.145393	-238.588
22300	0.145393	-224.31
22400	0.145393	-231.087
22500	0.145393	-239.772
22600	0.145393	-229.592
22700	0.145393	-239.899
22800	0.145393	-223.805
22900	0.145393	-226.343
23000	0.145393	-234.368
23100	0.145393	-234.376
23200	0.145393	-250.001
23300	0.145393	-234.82
23400	0.145393	-229.944
23500	0.145393	-266.472
23600	0.145393	-239.92
23700	0.145393	-225.858
23800	0.145393	-229.897
23900	0.145393	-224.66
24000	0.145393	-230.818
24100	0.145393	-226.469
24200	0.145393	-231.417
24300	0.145393	-237.808
24400	0.145393	-228.016
24500	0.145393	-227.757
24600	0.145393	-239.917
24700	0.145393	-227.216
24800	0.145393	-250.556
24900	0.145393	-229.082
25000	0.145393	-229.92
25100	0.145393	-232.138
25200	0.145393	-227.648
25300	0.145393	-231.224
25400	0.145393	-235.126
25500	0.145393	-233.368
25600	0.145393	-225.836
25700	0.145393	-224.362
25800	0.145393	-235.491
25900	0.145393	-234.915
26000	0.145393	-242.727
26100	0.145393	-230.427
26200	0.145393	-227.778
26300	0.145393	-240.977
26400	0.145393	-232.218
26500	0.145393	-232.388
26600	0.145393	-229.757
26700	0.145393	-240.592
26800	0.145393	-235.796
26900	0.145393	-234.39
27000	0.145393	-239.144
27100	0.145393	-228.618
27200	0.145393	-225.859
27300	0.145393	-237.075
27400	0.145393	-235.854
27500	0.145393	-232.433
27600	0.145393	-233.337
27700	0.145393	-236.228
27800	0.145393	-236.685
27900	0.145393	-227.557
28000	0.145393	-260.912
28100	0.145393	-235.368
28200	0.145393	-227.605
