state	power	likelihood
2600	1	-32.2778
2700	1	-32.2778
2800	1	-32.2778
2900	1	-32.2778
3000	1	-32.2778
3100	1	-32.2778
3200	1	-32.2778
3300	1	-32.2778
3400	1	-32.2778
3500	1	-32.2778
3600	1	-32.2778
3700	1	-32.2778
3800	1	-32.2778
3900	1	-32.2778
4000	1	-32.2778
4100	1	-32.2778
4200	1	-32.2778
4300	1	-32.2778
4400	1	-32.2778
4500	1	-33.0465
4600	1	-33.0465
4700	1	-33.0465
4800	1	-33.0465
4900	1	-33.0465
5000	1	-33.0465
5100	1	-33.0465
5200	1	-33.0465
5300	1	-33.0465
5400	1	-33.0465
5500	1	-33.0466
5600	1	-33.0466
5700	1	-33.0465
5800	1	-33.0465
5900	1	-33.0465
6000	1	-33.0465
6100	1	-33.0465
6200	1	-33.0465
6300	1	-33.0465
6400	1	-33.0465
6500	1	-33.0466
6600	1	-33.0466
6700	1	-33.0466
6800	1	-33.0466
6900	1	-33.0466
7000	1	-33.0466
7100	1	-33.0466
7200	1	-33.0466
7300	1	-33.0466
7400	1	-33.0466
7500	1	-33.0466
7600	1	-33.0466
7700	1	-33.0466
7800	1	-33.0466
7900	1	-33.0466
8000	1	-33.0466
8100	1	-33.0466
8200	1	-33.0466
8300	1	-33.0466
8400	1	-32.2778
8500	1	-32.2778
8600	1	-32.2778
8700	1	-32.2778
8800	1	-32.2778
8900	1	-32.2778
9000	1	-32.2778
9100	1	-32.2778
9200	1	-32.2778
9300	1	-32.2778
9400	1	-32.2778
9500	1	-32.2778
9600	1	-32.2778
9700	1	-32.2778
9800	1	-32.2778
9900	1	-32.2778
10000	1	-32.2778
2600	0.903921	-33.0465
2700	0.903921	-33.0466
2800	0.903921	-33.0466
2900	0.903921	-33.0466
3000	0.903921	-33.0466
3100	0.903921	-33.0466
3200	0.903921	-33.0466
3300	0.903921	-33.0466
3400	0.903921	-33.0466
3500	0.903921	-33.0466
3600	0.903921	-33.0466
3700	0.903921	-33.0466
3800	0.903921	-33.0466
3900	0.903921	-33.0466
4000	0.903921	-33.0466
4100	0.903921	-33.0466
4200	0.903921	-33.0466
4300	0.903921	-33.0466
4400	0.903921	-33.0466
4500	0.903921	-33.0466
4600	0.903921	-33.0466
4700	0.903921	-33.0466
4800	0.903921	-33.0466
4900	0.903921	-33.0466
5000	0.903921	-33.0466
5100	0.903921	-33.0466
5200	0.903921	-33.0466
5300	0.903921	-33.0466
5400	0.903921	-33.0466
5500	0.903921	-33.0466
5600	0.903921	-33.0465
5700	0.903921	-33.0465
5800	0.903921	-33.0465
5900	0.903921	-33.0465
6000	0.903921	-33.0466
6100	0.903921	-33.0466
6200	0.903921	-33.0465
6300	0.903921	-33.0465
6400	0.903921	-33.0465
6500	0.903921	-33.0465
6600	0.903921	-33.0465
6700	0.903921	-33.0465
6800	0.903921	-33.0465
6900	0.903921	-33.0465
7000	0.903921	-33.0465
7100	0.903921	-33.0465
7200	0.903921	-33.0465
7300	0.903921	-33.0466
7400	0.903921	-33.0466
7500	0.903921	-33.0466
7600	0.903921	-33.0466
7700	0.903921	-33.0466
7800	0.903921	-33.0466
7900	0.903921	-33.0466
8000	0.903921	-33.0466
8100	0.903921	-33.0466
8200	0.903921	-33.0466
8300	0.903921	-33.0466
8400	0.903921	-33.0466
8500	0.903921	-32.2778
8600	0.903921	-32.2778
8700	0.903921	-32.2778
8800	0.903921	-32.2778
8900	0.903921	-32.2778
9000	0.903921	-32.2778
9100	0.903921	-32.2778
9200	0.903921	-32.2778
9300	0.903921	-32.2778
9400	0.903921	-32.2778
9500	0.903921	-32.2778
9600	0.903921	-32.2778
9700	0.903921	-32.2778
9800	0.903921	-32.2778
9900	0.903921	-32.2778
10000	0.903921	-32.2778
2600	0.815373	-33.0465
2700	0.815373	-33.0465
2800	0.815373	-33.0465
2900	0.815373	-33.0465
3000	0.815373	-33.0465
3100	0.815373	-33.0465
3200	0.815373	-35.1931
3300	0.815373	-35.1931
3400	0.815373	-35.1931
3500	0.815373	-35.1931
3600	0.815373	-35.1931
3700	0.815373	-35.1931
3800	0.815373	-35.1931
3900	0.815373	-35.1931
4000	0.815373	-35.1931
4100	0.815373	-35.1931
4200	0.815373	-35.1931
4300	0.815373	-35.1931
4400	0.815373	-35.1931
4500	0.815373	-35.1931
4600	0.815373	-35.1931
4700	0.815373	-35.1931
4800	0.815373	-33.0465
4900	0.815373	-33.0465
5000	0.815373	-33.0466
5100	0.815373	-33.0466
5200	0.815373	-33.0466
5300	0.815373	-33.0466
5400	0.815373	-33.0466
5500	0.815373	-33.0466
5600	0.815373	-33.0466
5700	0.815373	-33.0466
5800	0.815373	-33.0466
5900	0.815373	-33.0466
6000	0.815373	-33.0466
6100	0.815373	-33.0466
6200	0.815373	-33.0466
6300	0.815373	-33.0466
6400	0.815373	-33.0466
6500	0.815373	-33.0466
6600	0.815373	-33.0466
6700	0.815373	-33.0466
6800	0.815373	-33.0466
6900	0.815373	-33.0466
7000	0.815373	-33.0466
7100	0.815373	-33.0466
7200	0.815373	-33.0466
7300	0.815373	-33.0466
7400	0.815373	-33.0466
7500	0.815373	-33.0466
7600	0.815373	-33.0466
7700	0.815373	-33.0466
7800	0.815373	-33.0466
7900	0.815373	-33.0466
8000	0.815373	-33.0466
8100	0.815373	-33.0466
8200	0.815373	-33.0466
8300	0.815373	-33.0466
8400	0.815373	-33.0466
8500	0.815373	-33.0466
8600	0.815373	-33.0466
8700	0.815373	-33.0466
8800	0.815373	-33.0466
8900	0.815373	-33.0466
9000	0.815373	-35.0979
9100	0.815373	-35.0979
9200	0.815373	-35.0979
9300	0.815373	-33.0449
9400	0.815373	-33.0449
9500	0.815373	-33.0466
9600	0.815373	-33.0466
9700	0.815373	-35.1931
9800	0.815373	-35.1931
9900	0.815373	-35.1931
10000	0.815373	-35.1931
2600	0.733904	-33.0466
2700	0.733904	-33.0466
2800	0.733904	-33.0466
2900	0.733904	-33.0466
3000	0.733904	-33.0466
3100	0.733904	-33.0466
3200	0.733904	-33.0466
3300	0.733904	-33.0466
3400	0.733904	-33.0466
3500	0.733904	-33.0466
3600	0.733904	-33.0466
3700	0.733904	-32.2778
3800	0.733904	-32.2778
3900	0.733904	-32.2778
4000	0.733904	-32.2778
4100	0.733904	-33.0466
4200	0.733904	-33.0466
4300	0.733904	-33.0466
4400	0.733904	-33.0466
4500	0.733904	-33.0466
4600	0.733904	-33.0466
4700	0.733904	-33.0466
4800	0.733904	-33.0466
4900	0.733904	-33.0466
5000	0.733904	-33.0466
5100	0.733904	-33.0466
5200	0.733904	-32.2778
5300	0.733904	-32.2778
5400	0.733904	-32.2778
5500	0.733904	-32.2778
5600	0.733904	-32.2778
5700	0.733904	-32.2778
5800	0.733904	-32.2778
5900	0.733904	-32.2778
6000	0.733904	-32.2778
6100	0.733904	-32.2778
6200	0.733904	-32.2778
6300	0.733904	-32.2778
6400	0.733904	-32.2778
6500	0.733904	-33.0465
6600	0.733904	-32.2778
6700	0.733904	-32.2778
6800	0.733904	-32.2778
6900	0.733904	-32.2778
7000	0.733904	-33.0466
7100	0.733904	-33.0466
7200	0.733904	-33.0466
7300	0.733904	-32.2778
7400	0.733904	-32.2778
7500	0.733904	-32.2778
7600	0.733904	-32.2778
7700	0.733904	-32.2778
7800	0.733904	-32.2778
7900	0.733904	-32.2778
8000	0.733904	-35.1931
8100	0.733904	-35.1931
8200	0.733904	-35.1931
8300	0.733904	-35.1931
8400	0.733904	-35.1931
8500	0.733904	-35.1931
8600	0.733904	-35.1931
8700	0.733904	-35.1931
8800	0.733904	-33.0466
8900	0.733904	-35.1931
9000	0.733904	-35.1931
9100	0.733904	-35.1931
9200	0.733904	-35.1931
9300	0.733904	-35.1931
9400	0.733904	-35.1931
9500	0.733904	-35.1931
9600	0.733904	-35.1931
9700	0.733904	-35.1931
9800	0.733904	-35.1931
9900	0.733904	-35.1931
10000	0.733904	-35.1931
2600	0.659082	-33.0465
2700	0.659082	-33.0465
2800	0.659082	-33.0465
2900	0.659082	-33.0465
3000	0.659082	-33.0465
3100	0.659082	-33.0465
3200	0.659082	-33.0465
3300	0.659082	-33.0465
3400	0.659082	-33.0465
3500	0.659082	-33.0465
3600	0.659082	-33.0465
3700	0.659082	-33.0465
3800	0.659082	-35.0979
3900	0.659082	-35.0979
4000	0.659082	-35.0979
4100	0.659082	-35.1931
4200	0.659082	-35.1931
4300	0.659082	-35.1931
4400	0.659082	-33.0466
4500	0.659082	-33.0466
4600	0.659082	-33.0466
4700	0.659082	-33.0466
4800	0.659082	-33.0466
4900	0.659082	-33.0466
5000	0.659082	-33.0466
5100	0.659082	-33.0466
5200	0.659082	-33.0466
5300	0.659082	-33.0466
5400	0.659082	-33.0466
5500	0.659082	-33.0465
5600	0.659082	-35.1931
5700	0.659082	-35.1931
5800	0.659082	-35.1931
5900	0.659082	-35.1931
6000	0.659082	-35.1931
6100	0.659082	-35.1931
6200	0.659082	-35.1931
6300	0.659082	-35.1931
6400	0.659082	-35.1931
6500	0.659082	-35.1931
6600	0.659082	-35.1931
6700	0.659082	-35.1931
6800	0.659082	-35.1931
6900	0.659082	-35.1931
7000	0.659082	-35.1931
7100	0.659082	-35.1931
7200	0.659082	-35.1931
7300	0.659082	-35.1931
7400	0.659082	-35.1931
7500	0.659082	-35.1931
7600	0.659082	-35.1931
7700	0.659082	-35.1931
7800	0.659082	-35.1931
7900	0.659082	-35.1931
8000	0.659082	-35.1931
8100	0.659082	-35.1931
8200	0.659082	-33.0465
8300	0.659082	-33.0465
8400	0.659082	-33.0465
8500	0.659082	-33.0465
8600	0.659082	-33.0465
8700	0.659082	-33.0465
8800	0.659082	-33.0465
8900	0.659082	-33.0465
9000	0.659082	-33.0465
9100	0.659082	-33.0465
9200	0.659082	-33.0465
9300	0.659082	-33.0465
9400	0.659082	-33.0465
9500	0.659082	-33.0465
9600	0.659082	-33.0465
9700	0.659082	-33.0465
9800	0.659082	-33.0465
9900	0.659082	-33.0465
10000	0.659082	-33.0465
2600	0.59049	-32.2778
2700	0.59049	-32.2778
2800	0.59049	-32.2778
2900	0.59049	-32.2778
3000	0.59049	-32.2778
3100	0.59049	-33.0465
3200	0.59049	-33.0465
3300	0.59049	-33.0465
3400	0.59049	-33.0465
3500	0.59049	-33.0465
3600	0.59049	-33.0465
3700	0.59049	-33.0466
3800	0.59049	-33.0466
3900	0.59049	-49.2789
4000	0.59049	-33.0466
4100	0.59049	-33.0466
4200	0.59049	-33.0465
4300	0.59049	-33.0465
4400	0.59049	-33.0465
4500	0.59049	-33.0465
4600	0.59049	-33.0465
4700	0.59049	-33.0465
4800	0.59049	-33.0465
4900	0.59049	-33.0465
5000	0.59049	-33.0465
5100	0.59049	-35.1931
5200	0.59049	-35.1931
5300	0.59049	-33.0465
5400	0.59049	-33.0465
5500	0.59049	-33.0465
5600	0.59049	-33.0465
5700	0.59049	-33.0465
5800	0.59049	-33.0465
5900	0.59049	-33.0465
6000	0.59049	-33.0465
6100	0.59049	-33.0465
6200	0.59049	-33.0465
6300	0.59049	-33.0465
6400	0.59049	-33.0465
6500	0.59049	-33.0465
6600	0.59049	-33.0465
6700	0.59049	-32.2778
6800	0.59049	-35.1931
6900	0.59049	-35.1931
7000	0.59049	-35.1931
7100	0.59049	-33.0465
7200	0.59049	-33.0465
7300	0.59049	-33.0465
7400	0.59049	-33.0465
7500	0.59049	-33.0465
7600	0.59049	-33.0448
7700	0.59049	-33.0448
7800	0.59049	-33.0448
7900	0.59049	-33.0448
8000	0.59049	-33.0448
8100	0.59049	-33.0448
8200	0.59049	-33.0448
8300	0.59049	-33.0448
8400	0.59049	-33.0448
8500	0.59049	-33.0448
8600	0.59049	-33.0448
8700	0.59049	-33.0448
8800	0.59049	-33.0448
8900	0.59049	-33.0448
9000	0.59049	-33.0448
9100	0.59049	-32.2778
9200	0.59049	-32.2778
9300	0.59049	-32.2778
9400	0.59049	-32.2778
9500	0.59049	-32.2778
9600	0.59049	-32.2778
9700	0.59049	-33.0466
9800	0.59049	-33.0466
9900	0.59049	-33.0466
10000	0.59049	-33.0466
2600	0.527732	-47.1506
2700	0.527732	-49.185
2800	0.527732	-47.1506
2900	0.527732	-49.185
3000	0.527732	-49.185
3100	0.527732	-47.1506
3200	0.527732	-49.373
3300	0.527732	-47.1506
3400	0.527732	-47.1506
3500	0.527732	-47.1506
3600	0.527732	-47.1506
3700	0.527732	-49.185
3800	0.527732	-49.2789
3900	0.527732	-49.185
4000	0.527732	-47.1506
4100	0.527732	-56.1802
4200	0.527732	-47.1506
4300	0.527732	-49.185
4400	0.527732	-47.1506
4500	0.527732	-47.1506
4600	0.527732	-47.1506
4700	0.527732	-49.2789
4800	0.527732	-33.0465
4900	0.527732	-33.0465
5000	0.527732	-33.0465
5100	0.527732	-33.0465
5200	0.527732	-33.0465
5300	0.527732	-33.0465
5400	0.527732	-33.0466
5500	0.527732	-33.0466
5600	0.527732	-33.0466
5700	0.527732	-33.0466
5800	0.527732	-33.0466
5900	0.527732	-35.0979
6000	0.527732	-35.0979
6100	0.527732	-35.0979
6200	0.527732	-35.0979
6300	0.527732	-35.0979
6400	0.527732	-35.1931
6500	0.527732	-35.1931
6600	0.527732	-47.1506
6700	0.527732	-47.1506
6800	0.527732	-49.2789
6900	0.527732	-49.2789
7000	0.527732	-47.1506
