state	power	likelihood
2600	0.37074	-33.0466
2700	0.37074	-33.0466
2800	0.37074	-33.0465
2900	0.37074	-33.0465
3000	0.37074	-33.0465
3100	0.37074	-33.0465
3200	0.37074	-33.0465
3300	0.37074	-33.0465
3400	0.37074	-47.1506
3500	0.37074	-47.1506
3600	0.37074	-47.1506
3700	0.37074	-47.1506
3800	0.37074	-39.1554
3900	0.37074	-49.373
4000	0.37074	-49.185
4100	0.37074	-47.1506
4200	0.37074	-47.1506
4300	0.37074	-49.2789
4400	0.37074	-56.1802
4500	0.37074	-47.1506
4600	0.37074	-68.2321
4700	0.37074	-56.1802
4800	0.37074	-49.373
4900	0.37074	-47.1506
5000	0.37074	-49.185
5100	0.37074	-49.185
5200	0.37074	-49.185
5300	0.37074	-49.185
5400	0.37074	-47.1506
5500	0.37074	-49.2789
5600	0.37074	-49.2789
5700	0.37074	-47.1506
5800	0.37074	-47.1506
5900	0.37074	-47.1506
6000	0.37074	-61.1427
6100	0.37074	-61.1427
6200	0.37074	-49.2789
6300	0.37074	-49.2787
6400	0.37074	-49.185
6500	0.37074	-47.1506
6600	0.37074	-47.1506
6700	0.37074	-49.185
6800	0.37074	-47.1506
6900	0.37074	-32.2778
7000	0.37074	-32.2778
7100	0.37074	-35.1931
7200	0.37074	-47.1506
7300	0.37074	-49.373
7400	0.37074	-47.1506
7500	0.37074	-47.1506
7600	0.37074	-49.185
7700	0.37074	-49.185
7800	0.37074	-47.1506
7900	0.37074	-56.1802
8000	0.37074	-47.1504
8100	0.37074	-47.1506
8200	0.37074	-47.1506
8300	0.37074	-47.1506
8400	0.37074	-44.2109
8500	0.37074	-49.373
8600	0.37074	-61.1427
8700	0.37074	-49.185
8800	0.37074	-49.2789
8900	0.37074	-49.1804
9000	0.37074	-49.185
9100	0.37074	-49.185
9200	0.37074	-47.1506
9300	0.37074	-49.185
9400	0.37074	-49.3768
9500	0.37074	-49.2789
9600	0.37074	-47.1506
9700	0.37074	-49.2789
9800	0.37074	-49.2789
9900	0.37074	-61.1427
10000	0.37074	-49.3088
