state	power	likelihood
12600	1	-212.578
12700	1	-209.495
12800	1	-219.262
12900	1	-216.721
13000	1	-211.094
13100	1	-212.351
13200	1	-203.024
13300	1	-212.483
13400	1	-212.812
13500	1	-213.003
13600	1	-218.824
13700	1	-206.751
13800	1	-208.898
13900	1	-208.631
14000	1	-209.598
14100	1	-209.954
14200	1	-208.626
14300	1	-213.982
14400	1	-211.411
14500	1	-206.941
14600	1	-217.499
14700	1	-203.711
14800	1	-210.968
14900	1	-215.331
15000	1	-215.392
15100	1	-219.256
15200	1	-215.497
15300	1	-216.062
15400	1	-222.452
15500	1	-206.064
15600	1	-210.374
15700	1	-211.219
15800	1	-211.303
15900	1	-214.375
16000	1	-212.374
16100	1	-207.79
16200	1	-208.861
16300	1	-201.982
16400	1	-209.57
16500	1	-219.896
16600	1	-209.128
16700	1	-215.841
16800	1	-212.837
16900	1	-210.923
17000	1	-222.008
17100	1	-211.747
17200	1	-216.799
17300	1	-206.289
17400	1	-213.661
17500	1	-212.621
17600	1	-208.378
17700	1	-203.988
17800	1	-206.572
17900	1	-214.807
18000	1	-210.902
18100	1	-208.615
18200	1	-212.537
18300	1	-215.621
18400	1	-215.532
18500	1	-212.781
18600	1	-211.681
18700	1	-214.954
18800	1	-213.294
18900	1	-213.978
19000	1	-222.15
19100	1	-209.297
19200	1	-213.598
19300	1	-211.328
19400	1	-207.842
19500	1	-209.927
19600	1	-212.72
19700	1	-209.925
19800	1	-213.906
19900	1	-211.664
20000	1	-210.73
20100	1	-208.532
20200	1	-217.436
20300	1	-224.382
20400	1	-228.669
20500	1	-211.063
20600	1	-206.85
20700	1	-218.685
20800	1	-220.297
20900	1	-213.705
21000	1	-214.616
21100	1	-216.062
21200	1	-220.024
21300	1	-214.978
21400	1	-213.112
21500	1	-211.479
21600	1	-203.125
21700	1	-211.138
21800	1	-218.042
21900	1	-206.546
22000	1	-213.663
22100	1	-212.536
22200	1	-214.977
22300	1	-222.274
22400	1	-208.84
22500	1	-208.496
22600	1	-211.041
22700	1	-211.857
22800	1	-206.951
22900	1	-212.876
23000	1	-209.071
23100	1	-209.801
23200	1	-213.323
23300	1	-207.481
23400	1	-213.165
23500	1	-208.541
23600	1	-210.322
23700	1	-210.239
23800	1	-207.321
23900	1	-203.5
24000	1	-204.72
24100	1	-216.281
24200	1	-212.593
24300	1	-204.366
24400	1	-214.109
24500	1	-209.644
24600	1	-212.979
24700	1	-212.071
24800	1	-205.321
24900	1	-208.233
25000	1	-217.806
25100	1	-216.344
25200	1	-215.622
25300	1	-214.682
25400	1	-209.602
25500	1	-213.313
25600	1	-220.031
25700	1	-214.679
25800	1	-213.529
25900	1	-207.796
26000	1	-208.891
26100	1	-214.429
26200	1	-216.286
26300	1	-216.577
26400	1	-205.742
26500	1	-207.666
26600	1	-204.931
26700	1	-209.336
26800	1	-222.837
26900	1	-212.026
27000	1	-210.337
27100	1	-215.154
27200	1	-209.72
27300	1	-213.662
27400	1	-214.385
27500	1	-212.056
27600	1	-214.198
27700	1	-211.261
27800	1	-212.27
27900	1	-213.528
28000	1	-218.583
28100	1	-213.482
28200	1	-211.758
28300	1	-213.73
28400	1	-217.914
28500	1	-214.969
28600	1	-215.309
28700	1	-213.696
28800	1	-208.352
28900	1	-223.009
29000	1	-204.214
29100	1	-219.668
29200	1	-215.585
29300	1	-208.715
29400	1	-207.882
29500	1	-210.189
29600	1	-214.916
29700	1	-207.649
29800	1	-209.564
29900	1	-214.279
30000	1	-214.164
30100	1	-211.733
30200	1	-212.575
30300	1	-212.166
30400	1	-219.038
30500	1	-210.145
30600	1	-214.562
30700	1	-213.206
30800	1	-218.849
30900	1	-210.955
31000	1	-215.819
31100	1	-203.56
31200	1	-198.92
31300	1	-209.306
31400	1	-207.219
31500	1	-223.303
31600	1	-221.345
31700	1	-210.16
31800	1	-204.063
31900	1	-217.528
32000	1	-217.965
32100	1	-214.394
32200	1	-213.269
32300	1	-208.669
32400	1	-212.654
32500	1	-213.953
32600	1	-216.138
32700	1	-205.199
32800	1	-210.386
32900	1	-214.87
33000	1	-213.325
33100	1	-208.511
33200	1	-208.69
33300	1	-218.427
33400	1	-212.043
33500	1	-213.629
33600	1	-214.109
33700	1	-209.044
33800	1	-212.465
33900	1	-213.451
34000	1	-209.972
34100	1	-202.113
34200	1	-211.658
34300	1	-211.852
34400	1	-211.134
34500	1	-210.315
34600	1	-209.803
34700	1	-211.228
34800	1	-215.224
34900	1	-210.009
35000	1	-215.684
35100	1	-212.161
35200	1	-213.935
35300	1	-210.658
35400	1	-214.946
35500	1	-211.723
35600	1	-212.525
35700	1	-209.739
35800	1	-219.552
35900	1	-211.493
36000	1	-212
36100	1	-215.627
36200	1	-213.265
36300	1	-221.58
36400	1	-215.872
36500	1	-214.217
36600	1	-216.048
36700	1	-212.801
36800	1	-211.634
36900	1	-212.54
37000	1	-212.771
37100	1	-212.666
37200	1	-218.117
37300	1	-209.018
37400	1	-207.103
37500	1	-213.022
37600	1	-208.778
37700	1	-211.131
37800	1	-210.936
37900	1	-217.646
38000	1	-206.241
38100	1	-218.54
38200	1	-209.891
38300	1	-213.253
38400	1	-207.666
38500	1	-213.458
38600	1	-209.226
38700	1	-221.276
38800	1	-206.903
38900	1	-207.036
39000	1	-214.337
39100	1	-210.887
39200	1	-215.422
39300	1	-213.003
39400	1	-206.785
39500	1	-222.093
39600	1	-216.65
39700	1	-208.281
39800	1	-218.699
39900	1	-214.507
40000	1	-216.527
40100	1	-221.294
40200	1	-212.389
40300	1	-214.565
40400	1	-213.366
40500	1	-216.443
40600	1	-208.536
40700	1	-211.98
40800	1	-208.515
40900	1	-214.5
41000	1	-211.54
41100	1	-212.721
41200	1	-210.395
41300	1	-209.391
41400	1	-211
41500	1	-210.649
41600	1	-201.697
41700	1	-211.427
41800	1	-208.477
41900	1	-215.488
42000	1	-213.689
42100	1	-218.671
42200	1	-212.9
42300	1	-213.812
42400	1	-213.251
42500	1	-215.973
42600	1	-205.549
42700	1	-210.38
42800	1	-210.939
42900	1	-206.756
43000	1	-211.385
43100	1	-216.975
43200	1	-215.024
43300	1	-212.757
43400	1	-211.609
43500	1	-216.849
43600	1	-216.132
43700	1	-216.051
43800	1	-212.923
43900	1	-208.22
44000	1	-215.091
44100	1	-208.132
44200	1	-213.264
44300	1	-212.315
44400	1	-215.661
44500	1	-223.805
44600	1	-222.898
44700	1	-217.085
44800	1	-205.763
44900	1	-206.955
45000	1	-215.372
45100	1	-218.688
45200	1	-213.892
45300	1	-215.746
45400	1	-217.543
45500	1	-210.373
45600	1	-213.704
45700	1	-217.806
45800	1	-215.747
45900	1	-214.92
46000	1	-210.992
46100	1	-215.09
46200	1	-215.965
46300	1	-212.71
46400	1	-214.393
46500	1	-211.863
46600	1	-214.213
46700	1	-209.486
46800	1	-212.115
46900	1	-212.431
47000	1	-212.953
47100	1	-210.787
47200	1	-213.661
47300	1	-213.575
47400	1	-208.648
47500	1	-212.543
47600	1	-217.196
47700	1	-210.238
47800	1	-216.426
47900	1	-216.099
48000	1	-211.1
48100	1	-211.709
48200	1	-209.38
48300	1	-208.773
48400	1	-215.744
48500	1	-206.11
48600	1	-216.566
48700	1	-208.937
48800	1	-218.206
48900	1	-218.812
49000	1	-215.834
49100	1	-204.591
49200	1	-215.108
49300	1	-216.72
49400	1	-212.18
49500	1	-215.074
49600	1	-216.284
49700	1	-213.476
49800	1	-213.326
49900	1	-209.354
50000	1	-214.559
12600	0.815373	-208.106
12700	0.815373	-208.215
12800	0.815373	-211.771
12900	0.815373	-209.032
13000	0.815373	-210.097
13100	0.815373	-209.386
13200	0.815373	-206.389
13300	0.815373	-206.44
13400	0.815373	-207.635
13500	0.815373	-213.785
13600	0.815373	-209.204
13700	0.815373	-209.417
13800	0.815373	-215.348
13900	0.815373	-208.36
14000	0.815373	-206.478
14100	0.815373	-202.074
14200	0.815373	-206.162
