state	power	likelihood
2600	1	-54.0923
2700	1	-53.8805
2800	1	-52.7418
2900	1	-51.9271
3000	1	-52.0605
3100	1	-50.6871
3200	1	-44.1335
3300	1	-44.1335
3400	1	-44.1335
3500	1	-44.1335
3600	1	-44.1335
3700	1	-44.1556
3800	1	-44.1556
3900	1	-44.1556
4000	1	-51.3683
4100	1	-43.2548
4200	1	-43.2548
4300	1	-43.2548
4400	1	-43.2548
4500	1	-43.2548
4600	1	-43.2548
4700	1	-43.2548
4800	1	-43.2548
4900	1	-43.2548
5000	1	-43.2548
5100	1	-43.2548
5200	1	-43.2548
5300	1	-43.2548
5400	1	-43.2548
5500	1	-43.2548
5600	1	-43.2548
5700	1	-43.2548
5800	1	-43.2548
5900	1	-43.2548
6000	1	-43.2548
6100	1	-43.2548
6200	1	-43.2548
6300	1	-43.2548
6400	1	-43.2548
6500	1	-43.2548
6600	1	-43.2548
6700	1	-43.2548
6800	1	-43.2548
6900	1	-43.2548
7000	1	-43.2548
7100	1	-50.7624
7200	1	-53.4819
7300	1	-44.5089
7400	1	-44.5089
7500	1	-44.5089
7600	1	-44.5089
7700	1	-44.5089
7800	1	-44.5089
7900	1	-44.5089
8000	1	-46.2319
8100	1	-41.3703
8200	1	-41.3703
8300	1	-41.3703
8400	1	-41.3703
8500	1	-41.3703
8600	1	-41.3703
8700	1	-41.3703
8800	1	-41.3703
8900	1	-41.3703
9000	1	-41.3703
9100	1	-41.3703
9200	1	-41.3703
9300	1	-41.0318
9400	1	-41.0318
9500	1	-41.0318
9600	1	-40.4129
9700	1	-40.4129
9800	1	-40.4129
9900	1	-40.4129
10000	1	-40.4129
2600	0.903921	-43.3412
2700	0.903921	-43.3412
2800	0.903921	-43.3412
2900	0.903921	-43.3412
3000	0.903921	-43.3412
3100	0.903921	-43.3412
3200	0.903921	-43.3412
3300	0.903921	-43.3412
3400	0.903921	-43.3412
3500	0.903921	-43.3412
3600	0.903921	-43.3412
3700	0.903921	-43.3412
3800	0.903921	-43.3412
3900	0.903921	-43.3412
4000	0.903921	-42.5497
4100	0.903921	-42.5497
4200	0.903921	-42.5497
4300	0.903921	-42.5497
4400	0.903921	-42.5497
4500	0.903921	-42.5497
4600	0.903921	-42.5497
4700	0.903921	-42.5497
4800	0.903921	-42.5497
4900	0.903921	-42.5497
5000	0.903921	-42.5497
5100	0.903921	-42.5497
5200	0.903921	-42.5497
5300	0.903921	-42.5497
5400	0.903921	-42.5497
5500	0.903921	-42.5497
5600	0.903921	-42.5497
5700	0.903921	-42.5497
5800	0.903921	-42.5497
5900	0.903921	-42.5497
6000	0.903921	-40.8537
6100	0.903921	-40.8537
6200	0.903921	-40.8537
6300	0.903921	-40.8537
6400	0.903921	-52.019
6500	0.903921	-52.999
6600	0.903921	-51.8712
6700	0.903921	-52.0364
6800	0.903921	-56.3037
6900	0.903921	-53.2401
7000	0.903921	-47.7761
7100	0.903921	-47.7761
7200	0.903921	-47.7761
7300	0.903921	-47.7761
7400	0.903921	-47.7761
7500	0.903921	-48.3719
7600	0.903921	-45.349
7700	0.903921	-45.349
7800	0.903921	-45.349
7900	0.903921	-45.349
8000	0.903921	-45.349
8100	0.903921	-45.349
8200	0.903921	-45.349
8300	0.903921	-45.349
8400	0.903921	-45.349
8500	0.903921	-45.349
8600	0.903921	-45.349
8700	0.903921	-45.349
8800	0.903921	-45.349
8900	0.903921	-45.349
9000	0.903921	-45.349
9100	0.903921	-45.349
9200	0.903921	-45.349
9300	0.903921	-45.349
9400	0.903921	-45.349
9500	0.903921	-54.4459
9600	0.903921	-56.7132
9700	0.903921	-55.1303
9800	0.903921	-49.2983
9900	0.903921	-48.5845
10000	0.903921	-48.5845
2600	0.815373	-36.9326
2700	0.815373	-36.9326
2800	0.815373	-36.9326
2900	0.815373	-36.9326
3000	0.815373	-36.9326
3100	0.815373	-36.9326
3200	0.815373	-36.9326
3300	0.815373	-36.9326
3400	0.815373	-36.9326
3500	0.815373	-36.9326
3600	0.815373	-36.9326
3700	0.815373	-36.9326
3800	0.815373	-36.9326
3900	0.815373	-36.9326
4000	0.815373	-36.9326
4100	0.815373	-36.9326
4200	0.815373	-36.9326
4300	0.815373	-36.9326
4400	0.815373	-36.9326
4500	0.815373	-36.9326
4600	0.815373	-36.9326
4700	0.815373	-36.9326
4800	0.815373	-36.9326
4900	0.815373	-36.9326
5000	0.815373	-36.9326
5100	0.815373	-36.9326
5200	0.815373	-36.9326
5300	0.815373	-36.9326
5400	0.815373	-36.9326
5500	0.815373	-36.9326
5600	0.815373	-36.9326
5700	0.815373	-36.9326
5800	0.815373	-36.9326
5900	0.815373	-36.9326
6000	0.815373	-36.9326
6100	0.815373	-36.9326
6200	0.815373	-36.9326
6300	0.815373	-36.9326
6400	0.815373	-36.9326
