state	power	likelihood
2600	1.16658e-302	-391.83
2700	1.16658e-302	-390.256
2800	1.16658e-302	-378.659
2900	1.16658e-302	-421.783
3000	1.16658e-302	-388.634
3100	1.16658e-302	-383.758
3200	1.16658e-302	-394.98
3300	1.16658e-302	-388.162
3400	1.16658e-302	-389.193
3500	1.16658e-302	-394.533
3600	1.16658e-302	-391.075
3700	1.16658e-302	-370.91
3800	1.16658e-302	-391.268
3900	1.16658e-302	-388.06
4000	1.16658e-302	-373.836
4100	1.16658e-302	-387.7
4200	1.16658e-302	-405.068
4300	1.16658e-302	-416.588
4400	1.16658e-302	-393.638
4500	1.16658e-302	-394.587
4600	1.16658e-302	-394.833
4700	1.16658e-302	-391.36
4800	1.16658e-302	-389.112
4900	1.16658e-302	-394.564
5000	1.16658e-302	-391.32
5100	1.16658e-302	-342.611
5200	1.16658e-302	-389.835
5300	1.16658e-302	-407.861
5400	1.16658e-302	-378.65
5500	1.16658e-302	-391.041
5600	1.16658e-302	-389.256
5700	1.16658e-302	-380.342
5800	1.16658e-302	-407.9
5900	1.16658e-302	-389.377
6000	1.16658e-302	-377.054
6100	1.16658e-302	-390.266
6200	1.16658e-302	-378.068
6300	1.16658e-302	-388.533
6400	1.16658e-302	-388.408
6500	1.16658e-302	-352.915
6600	1.16658e-302	-390.324
6700	1.16658e-302	-377.301
6800	1.16658e-302	-387.997
6900	1.16658e-302	-391.318
7000	1.16658e-302	-395.784
7100	1.16658e-302	-388.389
7200	1.16658e-302	-384.206
7300	1.16658e-302	-385.178
7400	1.16658e-302	-389.677
7500	1.16658e-302	-398.342
7600	1.16658e-302	-365.579
7700	1.16658e-302	-390.166
7800	1.16658e-302	-391.817
7900	1.16658e-302	-423.218
8000	1.16658e-302	-376.993
8100	1.16658e-302	-393.865
8200	1.16658e-302	-388.51
8300	1.16658e-302	-384.702
8400	1.16658e-302	-415.884
8500	1.16658e-302	-394.06
8600	1.16658e-302	-389.142
8700	1.16658e-302	-369.453
8800	1.16658e-302	-360.876
8900	1.16658e-302	-409.638
9000	1.16658e-302	-365.16
9100	1.16658e-302	-387.972
9200	1.16658e-302	-391.34
9300	1.16658e-302	-385.874
9400	1.16658e-302	-395.849
9500	1.16658e-302	-384.758
9600	1.16658e-302	-396.992
9700	1.16658e-302	-388.861
9800	1.16658e-302	-392.987
9900	1.16658e-302	-393.209
10000	1.16658e-302	-389.564
