state	power	likelihood
2600	1	-12.8197
2700	1	-12.8197
2800	1	-12.8197
2900	1	-12.8197
3000	1	-12.8197
3100	1	-12.8197
3200	1	-12.8197
3300	1	-12.8197
3400	1	-12.8197
3500	1	-12.8197
3600	1	-12.8197
3700	1	-12.8197
3800	1	-12.8197
3900	1	-12.8197
4000	1	-12.8197
4100	1	-12.8197
4200	1	-12.8197
4300	1	-12.8197
4400	1	-11.8583
4500	1	-12.8197
4600	1	-12.8197
4700	1	-12.8197
4800	1	-12.8197
4900	1	-14.7784
5000	1	-12.8197
5100	1	-12.8197
5200	1	-12.8197
5300	1	-12.8197
5400	1	-12.8197
5500	1	-12.8197
5600	1	-12.8197
5700	1	-12.8197
5800	1	-12.8197
5900	1	-14.7784
6000	1	-12.8197
6100	1	-12.8197
6200	1	-12.8197
6300	1	-12.8197
6400	1	-12.8197
6500	1	-12.8197
6600	1	-12.8197
6700	1	-12.8197
6800	1	-12.8197
6900	1	-12.8197
7000	1	-12.8197
7100	1	-12.8197
7200	1	-12.8197
7300	1	-12.8197
7400	1	-14.7784
7500	1	-12.8197
7600	1	-12.8197
7700	1	-12.8197
7800	1	-12.8197
7900	1	-12.8197
8000	1	-12.8197
8100	1	-12.8197
8200	1	-16.0247
8300	1	-12.8197
8400	1	-12.8197
8500	1	-12.8197
8600	1	-12.8197
8700	1	-12.8197
8800	1	-12.8197
8900	1	-12.8197
9000	1	-12.8197
9100	1	-12.8197
9200	1	-12.8197
9300	1	-12.8197
9400	1	-14.7784
9500	1	-12.8197
9600	1	-11.8583
9700	1	-12.8197
9800	1	-12.8197
9900	1	-12.8197
10000	1	-12.8197
2600	0.903921	-12.8197
2700	0.903921	-12.8197
2800	0.903921	-12.8197
2900	0.903921	-14.7784
3000	0.903921	-12.8197
3100	0.903921	-12.8197
3200	0.903921	-12.8197
3300	0.903921	-12.8197
3400	0.903921	-12.8197
3500	0.903921	-12.8197
3600	0.903921	-12.8197
3700	0.903921	-12.8197
3800	0.903921	-16.0247
3900	0.903921	-16.0247
4000	0.903921	-16.0247
4100	0.903921	-12.8197
4200	0.903921	-12.8197
4300	0.903921	-12.8197
4400	0.903921	-12.8197
4500	0.903921	-12.8197
4600	0.903921	-12.8197
4700	0.903921	-12.8197
4800	0.903921	-12.8197
4900	0.903921	-12.8197
5000	0.903921	-12.8197
5100	0.903921	-12.8197
5200	0.903921	-12.8197
5300	0.903921	-12.8197
5400	0.903921	-12.8197
5500	0.903921	-12.8197
5600	0.903921	-12.8197
5700	0.903921	-12.8197
5800	0.903921	-12.8197
5900	0.903921	-12.8197
6000	0.903921	-12.8197
6100	0.903921	-12.8197
6200	0.903921	-12.8197
6300	0.903921	-12.8197
6400	0.903921	-12.8197
6500	0.903921	-12.8197
6600	0.903921	-12.8197
6700	0.903921	-12.8197
6800	0.903921	-16.0247
6900	0.903921	-12.8197
7000	0.903921	-12.8197
7100	0.903921	-12.8197
7200	0.903921	-12.8197
7300	0.903921	-12.8197
7400	0.903921	-12.8197
7500	0.903921	-12.8197
7600	0.903921	-12.8197
7700	0.903921	-12.8197
7800	0.903921	-12.8197
7900	0.903921	-14.7784
8000	0.903921	-12.8197
8100	0.903921	-12.8197
8200	0.903921	-12.8197
8300	0.903921	-12.8197
8400	0.903921	-12.8197
8500	0.903921	-12.8197
8600	0.903921	-12.8197
8700	0.903921	-12.8197
8800	0.903921	-12.8197
8900	0.903921	-12.8197
9000	0.903921	-12.8197
9100	0.903921	-14.7784
9200	0.903921	-12.8197
9300	0.903921	-14.7784
9400	0.903921	-12.8197
9500	0.903921	-12.8197
9600	0.903921	-12.8197
9700	0.903921	-12.8197
9800	0.903921	-12.8197
9900	0.903921	-12.8197
10000	0.903921	-12.8197
2600	0.815373	-12.8197
2700	0.815373	-12.8197
2800	0.815373	-12.8197
2900	0.815373	-12.8197
3000	0.815373	-12.8197
3100	0.815373	-12.8197
3200	0.815373	-12.8197
3300	0.815373	-12.8197
3400	0.815373	-12.8197
3500	0.815373	-12.8197
3600	0.815373	-12.8197
3700	0.815373	-12.8197
3800	0.815373	-12.8197
3900	0.815373	-12.8197
4000	0.815373	-12.8197
4100	0.815373	-16.0247
4200	0.815373	-12.8197
4300	0.815373	-12.8197
4400	0.815373	-18.9448
4500	0.815373	-12.8197
4600	0.815373	-12.8197
4700	0.815373	-12.8197
4800	0.815373	-12.8197
4900	0.815373	-12.8197
5000	0.815373	-12.8197
5100	0.815373	-12.8197
5200	0.815373	-12.8197
5300	0.815373	-12.8197
5400	0.815373	-12.8197
5500	0.815373	-12.8197
5600	0.815373	-12.8197
5700	0.815373	-12.8197
5800	0.815373	-12.8197
5900	0.815373	-12.8197
6000	0.815373	-12.8197
6100	0.815373	-12.8197
6200	0.815373	-12.8197
6300	0.815373	-12.8197
6400	0.815373	-12.8197
6500	0.815373	-12.8197
6600	0.815373	-12.8197
6700	0.815373	-14.7784
6800	0.815373	-12.8197
6900	0.815373	-12.8197
7000	0.815373	-12.8197
7100	0.815373	-12.8197
7200	0.815373	-12.8197
7300	0.815373	-12.8197
7400	0.815373	-14.7784
7500	0.815373	-12.8197
7600	0.815373	-12.8197
7700	0.815373	-12.8197
7800	0.815373	-12.8197
7900	0.815373	-12.8197
8000	0.815373	-12.8197
8100	0.815373	-12.8197
8200	0.815373	-12.8197
8300	0.815373	-12.8197
8400	0.815373	-12.8197
8500	0.815373	-12.8197
8600	0.815373	-12.8197
8700	0.815373	-12.8197
8800	0.815373	-12.8197
8900	0.815373	-12.8197
9000	0.815373	-12.8197
9100	0.815373	-12.8197
9200	0.815373	-12.8197
9300	0.815373	-12.8197
9400	0.815373	-12.8197
9500	0.815373	-12.8197
9600	0.815373	-12.8197
9700	0.815373	-12.8197
9800	0.815373	-12.8197
9900	0.815373	-12.8197
10000	0.815373	-12.8197
2600	0.733904	-12.8197
2700	0.733904	-12.8197
2800	0.733904	-12.8197
2900	0.733904	-12.8197
3000	0.733904	-12.8197
3100	0.733904	-12.8197
3200	0.733904	-12.8197
3300	0.733904	-12.8197
3400	0.733904	-12.8197
3500	0.733904	-12.8197
3600	0.733904	-12.8197
3700	0.733904	-12.8197
3800	0.733904	-12.8197
3900	0.733904	-12.8197
4000	0.733904	-16.0247
4100	0.733904	-16.0247
4200	0.733904	-12.8197
4300	0.733904	-12.8197
4400	0.733904	-12.8197
4500	0.733904	-12.8197
4600	0.733904	-18.66
4700	0.733904	-12.8197
4800	0.733904	-12.8197
4900	0.733904	-12.8197
5000	0.733904	-12.8197
5100	0.733904	-12.8197
5200	0.733904	-12.8197
5300	0.733904	-12.8197
5400	0.733904	-12.8197
5500	0.733904	-12.8197
5600	0.733904	-12.8197
5700	0.733904	-12.8197
5800	0.733904	-12.8197
5900	0.733904	-12.8197
6000	0.733904	-12.8197
6100	0.733904	-12.8197
6200	0.733904	-12.8197
6300	0.733904	-12.8197
6400	0.733904	-12.8197
6500	0.733904	-12.8197
6600	0.733904	-12.8197
6700	0.733904	-12.8197
6800	0.733904	-12.8197
6900	0.733904	-12.8197
7000	0.733904	-12.8197
7100	0.733904	-12.8197
7200	0.733904	-12.8197
7300	0.733904	-12.8197
7400	0.733904	-12.8197
7500	0.733904	-12.8197
7600	0.733904	-12.8197
7700	0.733904	-12.8197
7800	0.733904	-12.8197
7900	0.733904	-12.8197
8000	0.733904	-12.8197
8100	0.733904	-12.8197
8200	0.733904	-12.8197
8300	0.733904	-12.8197
8400	0.733904	-12.8197
8500	0.733904	-12.8197
8600	0.733904	-12.8197
8700	0.733904	-12.8197
8800	0.733904	-12.8197
8900	0.733904	-12.8197
9000	0.733904	-12.8197
9100	0.733904	-12.8197
9200	0.733904	-12.8197
9300	0.733904	-12.8197
9400	0.733904	-12.8197
9500	0.733904	-12.8197
9600	0.733904	-12.8197
9700	0.733904	-12.8197
9800	0.733904	-12.8197
9900	0.733904	-12.8197
10000	0.733904	-12.8197
2600	0.659082	-12.8197
2700	0.659082	-12.8197
2800	0.659082	-12.8197
2900	0.659082	-14.7784
3000	0.659082	-12.8197
3100	0.659082	-12.8197
3200	0.659082	-12.8197
3300	0.659082	-12.8197
3400	0.659082	-12.8197
3500	0.659082	-16.0247
3600	0.659082	-12.8197
3700	0.659082	-16.0247
3800	0.659082	-12.8197
3900	0.659082	-12.8197
4000	0.659082	-12.8197
4100	0.659082	-12.8197
4200	0.659082	-12.8197
4300	0.659082	-12.8197
4400	0.659082	-14.7784
4500	0.659082	-12.8197
4600	0.659082	-12.8197
4700	0.659082	-14.7784
4800	0.659082	-12.8197
4900	0.659082	-12.8197
5000	0.659082	-12.8197
5100	0.659082	-12.8197
5200	0.659082	-12.8197
5300	0.659082	-12.8197
5400	0.659082	-12.8197
5500	0.659082	-12.8197
5600	0.659082	-12.8197
5700	0.659082	-12.8197
5800	0.659082	-11.8583
5900	0.659082	-12.8197
6000	0.659082	-12.8197
6100	0.659082	-12.8197
6200	0.659082	-12.8197
6300	0.659082	-12.8197
6400	0.659082	-12.8197
6500	0.659082	-12.8197
6600	0.659082	-12.8197
6700	0.659082	-12.8197
6800	0.659082	-12.8197
6900	0.659082	-12.8197
7000	0.659082	-12.8197
7100	0.659082	-16.998
7200	0.659082	-12.8197
7300	0.659082	-11.8583
7400	0.659082	-12.8197
7500	0.659082	-12.8197
7600	0.659082	-12.8197
7700	0.659082	-12.8197
7800	0.659082	-12.8197
7900	0.659082	-12.8197
8000	0.659082	-12.8197
8100	0.659082	-12.8197
8200	0.659082	-16.0247
8300	0.659082	-12.8197
8400	0.659082	-12.8197
8500	0.659082	-12.8197
8600	0.659082	-12.8197
8700	0.659082	-12.8197
8800	0.659082	-12.8197
8900	0.659082	-12.8197
9000	0.659082	-12.8197
9100	0.659082	-12.8197
9200	0.659082	-12.8197
9300	0.659082	-12.8197
9400	0.659082	-12.8197
9500	0.659082	-12.8197
9600	0.659082	-12.8197
9700	0.659082	-15.7517
9800	0.659082	-12.8197
9900	0.659082	-12.8197
10000	0.659082	-12.8197
2600	0.59049	-12.8197
2700	0.59049	-12.8197
2800	0.59049	-12.8197
2900	0.59049	-12.8197
3000	0.59049	-12.8197
3100	0.59049	-12.8197
3200	0.59049	-12.8197
3300	0.59049	-14.7784
3400	0.59049	-12.8197
3500	0.59049	-14.7784
3600	0.59049	-12.8197
3700	0.59049	-12.8197
3800	0.59049	-12.8197
3900	0.59049	-12.8197
4000	0.59049	-12.8197
4100	0.59049	-12.8197
4200	0.59049	-16.0247
4300	0.59049	-12.8197
4400	0.59049	-12.8197
4500	0.59049	-12.8197
4600	0.59049	-12.8197
4700	0.59049	-14.7784
4800	0.59049	-12.8197
4900	0.59049	-12.8197
5000	0.59049	-12.8197
5100	0.59049	-12.8197
5200	0.59049	-12.8197
5300	0.59049	-12.8197
5400	0.59049	-12.8197
5500	0.59049	-12.8197
5600	0.59049	-12.8197
5700	0.59049	-12.8197
5800	0.59049	-12.8197
5900	0.59049	-12.8197
6000	0.59049	-12.8197
6100	0.59049	-12.8197
6200	0.59049	-12.8197
6300	0.59049	-12.8197
6400	0.59049	-12.8197
6500	0.59049	-12.8197
6600	0.59049	-12.8197
6700	0.59049	-12.8197
6800	0.59049	-12.8197
6900	0.59049	-12.8197
7000	0.59049	-12.8197
7100	0.59049	-12.8197
7200	0.59049	-12.8197
7300	0.59049	-12.8197
7400	0.59049	-12.8197
7500	0.59049	-12.8197
7600	0.59049	-12.8197
7700	0.59049	-12.8197
7800	0.59049	-16.0247
7900	0.59049	-12.8197
8000	0.59049	-12.8197
8100	0.59049	-11.8583
8200	0.59049	-12.8197
8300	0.59049	-12.8197
8400	0.59049	-12.8197
8500	0.59049	-12.8197
8600	0.59049	-12.8197
8700	0.59049	-12.8197
8800	0.59049	-14.7784
8900	0.59049	-12.8197
9000	0.59049	-12.8197
9100	0.59049	-12.8197
9200	0.59049	-12.8197
9300	0.59049	-12.8197
9400	0.59049	-12.8197
9500	0.59049	-12.8197
9600	0.59049	-12.8197
9700	0.59049	-12.8197
9800	0.59049	-16.0247
9900	0.59049	-14.7784
10000	0.59049	-14.7784
2600	0.527732	-12.8197
2700	0.527732	-12.8197
2800	0.527732	-12.8197
2900	0.527732	-12.8197
3000	0.527732	-12.8197
3100	0.527732	-12.8197
3200	0.527732	-11.8583
3300	0.527732	-12.8197
3400	0.527732	-12.8197
3500	0.527732	-12.8197
3600	0.527732	-12.8197
3700	0.527732	-12.8197
3800	0.527732	-12.8197
3900	0.527732	-12.8197
4000	0.527732	-12.8197
4100	0.527732	-12.8197
4200	0.527732	-12.8197
4300	0.527732	-12.8197
4400	0.527732	-16.0247
4500	0.527732	-12.8197
4600	0.527732	-12.8197
4700	0.527732	-12.8197
4800	0.527732	-12.8197
4900	0.527732	-12.8197
5000	0.527732	-12.8197
5100	0.527732	-12.8197
5200	0.527732	-12.8197
5300	0.527732	-12.8197
5400	0.527732	-12.8197
5500	0.527732	-12.8197
5600	0.527732	-12.8197
5700	0.527732	-12.8197
5800	0.527732	-12.8197
5900	0.527732	-12.8197
6000	0.527732	-12.8197
6100	0.527732	-12.8197
6200	0.527732	-16.0247
6300	0.527732	-12.8197
6400	0.527732	-12.8197
6500	0.527732	-17.9833
6600	0.527732	-16.0247
6700	0.527732	-16.0247
6800	0.527732	-12.8197
6900	0.527732	-12.8197
7000	0.527732	-12.8197
7100	0.527732	-14.7784
7200	0.527732	-12.8197
7300	0.527732	-12.8197
7400	0.527732	-12.8197
7500	0.527732	-12.8197
7600	0.527732	-12.8197
7700	0.527732	-12.8197
7800	0.527732	-12.8197
7900	0.527732	-12.8197
8000	0.527732	-12.8197
8100	0.527732	-12.8197
8200	0.527732	-16.0247
8300	0.527732	-12.8197
8400	0.527732	-12.8197
8500	0.527732	-12.8197
8600	0.527732	-12.8197
8700	0.527732	-12.8197
8800	0.527732	-14.7784
8900	0.527732	-18.66
9000	0.527732	-12.8197
9100	0.527732	-12.8197
9200	0.527732	-12.8197
9300	0.527732	-18.66
9400	0.527732	-12.8197
9500	0.527732	-12.8197
9600	0.527732	-12.8197
9700	0.527732	-12.8197
9800	0.527732	-12.8197
9900	0.527732	-12.8197
10000	0.527732	-12.8197
2600	0.470427	-12.8197
2700	0.470427	-14.7784
2800	0.470427	-12.8197
2900	0.470427	-12.8197
3000	0.470427	-12.8197
3100	0.470427	-12.8197
3200	0.470427	-12.8197
3300	0.470427	-12.8197
3400	0.470427	-12.8197
3500	0.470427	-11.8583
3600	0.470427	-12.8197
3700	0.470427	-12.8197
3800	0.470427	-12.8197
3900	0.470427	-12.8197
4000	0.470427	-12.8197
4100	0.470427	-12.8197
4200	0.470427	-12.8197
4300	0.470427	-12.8197
4400	0.470427	-12.8197
4500	0.470427	-12.8197
4600	0.470427	-12.8197
4700	0.470427	-12.8197
4800	0.470427	-12.8197
4900	0.470427	-12.8197
5000	0.470427	-12.8197
5100	0.470427	-12.8197
5200	0.470427	-12.8197
5300	0.470427	-12.8197
5400	0.470427	-12.8197
5500	0.470427	-12.8197
5600	0.470427	-12.8197
5700	0.470427	-12.8197
5800	0.470427	-12.8197
5900	0.470427	-12.8197
6000	0.470427	-12.8197
6100	0.470427	-12.8197
6200	0.470427	-12.8197
6300	0.470427	-12.8197
6400	0.470427	-12.8197
6500	0.470427	-16.0247
6600	0.470427	-12.8197
6700	0.470427	-14.7784
6800	0.470427	-12.8197
6900	0.470427	-12.8197
7000	0.470427	-12.8197
7100	0.470427	-12.8197
7200	0.470427	-12.8197
7300	0.470427	-12.8197
7400	0.470427	-12.8197
7500	0.470427	-12.8197
7600	0.470427	-12.8197
7700	0.470427	-12.8197
7800	0.470427	-12.8197
7900	0.470427	-14.7784
8000	0.470427	-12.8197
8100	0.470427	-12.8197
8200	0.470427	-12.8197
8300	0.470427	-12.8197
8400	0.470427	-12.8197
8500	0.470427	-12.8197
8600	0.470427	-12.8197
8700	0.470427	-12.8197
8800	0.470427	-12.8197
8900	0.470427	-12.8197
9000	0.470427	-12.8197
9100	0.470427	-18.66
9200	0.470427	-12.8197
9300	0.470427	-12.8197
