state	power	likelihood
2600	0.00172104	-283.383
2700	0.00172104	-290.666
2800	0.00172104	-290.666
2900	0.00172104	-290.668
3000	0.00172104	-290.666
3100	0.00172104	-290.636
3200	0.00172104	-290.645
3300	0.00172104	-302.22
3400	0.00172104	-290.648
3500	0.00172104	-290.666
3600	0.00172104	-287.3
3700	0.00172104	-290.666
3800	0.00172104	-302.31
3900	0.00172104	-287.276
4000	0.00172104	-290.897
4100	0.00172104	-290.666
4200	0.00172104	-290.642
4300	0.00172104	-290.417
4400	0.00172104	-301.999
4500	0.00172104	-290.66
4600	0.00172104	-290.666
4700	0.00172104	-287.891
4800	0.00172104	-290.055
4900	0.00172104	-290.609
5000	0.00172104	-290.666
5100	0.00172104	-290.198
5200	0.00172104	-290.666
5300	0.00172104	-290.196
5400	0.00172104	-302.008
5500	0.00172104	-290.666
5600	0.00172104	-290.664
5700	0.00172104	-290.666
5800	0.00172104	-290.666
5900	0.00172104	-297.555
6000	0.00172104	-301.455
6100	0.00172104	-290.315
6200	0.00172104	-290.666
6300	0.00172104	-290.692
6400	0.00172104	-301.455
6500	0.00172104	-290.572
6600	0.00172104	-301.483
6700	0.00172104	-301.848
6800	0.00172104	-302.083
6900	0.00172104	-290.666
7000	0.00172104	-290.666
7100	0.00172104	-290.666
7200	0.00172104	-291.397
7300	0.00172104	-290.666
7400	0.00172104	-291.165
7500	0.00172104	-290.666
7600	0.00172104	-290.664
7700	0.00172104	-290.666
7800	0.00172104	-287.921
7900	0.00172104	-290.666
8000	0.00172104	-290.666
8100	0.00172104	-290.666
8200	0.00172104	-290.315
8300	0.00172104	-290.645
8400	0.00172104	-301.626
8500	0.00172104	-290.443
8600	0.00172104	-290.513
8700	0.00172104	-290.609
8800	0.00172104	-290.666
8900	0.00172104	-290.672
9000	0.00172104	-290.651
9100	0.00172104	-290.665
9200	0.00172104	-290.666
9300	0.00172104	-291.641
9400	0.00172104	-287.276
9500	0.00172104	-290.666
9600	0.00172104	-290.521
9700	0.00172104	-290.665
9800	0.00172104	-290.666
9900	0.00172104	-290.666
10000	0.00172104	-290.722
