state	power	likelihood
2600	1	-71.8971
2700	1	-71.8971
2800	1	-71.8971
2900	1	-71.8971
3000	1	-71.8971
3100	1	-71.8971
3200	1	-71.8971
3300	1	-71.8971
3400	1	-71.8971
3500	1	-71.8971
3600	1	-71.8971
3700	1	-71.8971
3800	1	-71.8971
3900	1	-71.8971
4000	1	-71.8971
4100	1	-71.8971
4200	1	-71.8971
4300	1	-71.8971
4400	1	-71.8971
4500	1	-71.8971
4600	1	-71.8971
4700	1	-71.8971
4800	1	-71.8971
4900	1	-71.8971
5000	1	-71.8971
5100	1	-71.8971
5200	1	-71.8971
5300	1	-71.8971
5400	1	-71.8971
5500	1	-71.8971
5600	1	-71.8971
5700	1	-71.8971
5800	1	-71.8971
5900	1	-71.8971
6000	1	-71.8971
6100	1	-71.8971
6200	1	-71.8971
6300	1	-71.8971
6400	1	-71.8971
6500	1	-71.8971
6600	1	-71.8971
6700	1	-71.8971
6800	1	-71.8971
6900	1	-71.8971
7000	1	-71.8971
7100	1	-71.8971
7200	1	-71.8971
7300	1	-71.8971
7400	1	-71.8971
7500	1	-71.8971
7600	1	-71.8971
7700	1	-71.8971
7800	1	-71.8971
7900	1	-71.8971
8000	1	-71.8971
8100	1	-71.8971
8200	1	-71.8971
8300	1	-71.8971
8400	1	-71.8971
8500	1	-71.8971
8600	1	-71.8971
8700	1	-71.8971
8800	1	-71.8971
8900	1	-71.8971
9000	1	-71.8971
9100	1	-71.8971
9200	1	-71.8971
9300	1	-71.8971
9400	1	-71.8971
9500	1	-71.8971
9600	1	-71.8971
9700	1	-71.8971
9800	1	-71.8971
9900	1	-71.8971
10000	1	-71.8971
2600	0.903921	-73.2065
2700	0.903921	-73.2065
2800	0.903921	-73.2065
2900	0.903921	-73.2065
3000	0.903921	-73.2065
3100	0.903921	-73.2065
3200	0.903921	-73.2065
3300	0.903921	-73.2065
3400	0.903921	-73.2065
3500	0.903921	-73.2065
3600	0.903921	-73.2065
3700	0.903921	-73.2065
3800	0.903921	-73.2065
3900	0.903921	-73.2065
4000	0.903921	-73.2065
4100	0.903921	-73.2065
4200	0.903921	-73.2065
4300	0.903921	-73.2065
4400	0.903921	-73.2065
4500	0.903921	-73.2065
4600	0.903921	-73.2065
4700	0.903921	-73.2065
4800	0.903921	-73.2065
4900	0.903921	-73.2065
5000	0.903921	-73.2065
5100	0.903921	-73.2065
5200	0.903921	-73.2065
5300	0.903921	-73.2065
5400	0.903921	-73.2065
5500	0.903921	-73.2065
5600	0.903921	-73.2065
5700	0.903921	-73.2065
5800	0.903921	-73.2065
5900	0.903921	-73.2065
6000	0.903921	-73.2065
6100	0.903921	-73.2065
6200	0.903921	-73.2065
6300	0.903921	-73.2065
6400	0.903921	-73.2065
6500	0.903921	-73.2065
6600	0.903921	-73.2065
6700	0.903921	-73.2065
6800	0.903921	-73.2065
6900	0.903921	-73.2065
7000	0.903921	-73.2065
7100	0.903921	-73.2065
7200	0.903921	-73.2065
7300	0.903921	-73.2065
7400	0.903921	-73.2065
7500	0.903921	-73.2065
7600	0.903921	-73.2065
7700	0.903921	-73.2065
7800	0.903921	-73.2065
7900	0.903921	-73.2065
8000	0.903921	-73.2065
8100	0.903921	-73.2065
8200	0.903921	-73.2065
8300	0.903921	-73.2065
8400	0.903921	-73.2065
8500	0.903921	-73.2065
8600	0.903921	-73.2065
8700	0.903921	-73.2065
8800	0.903921	-73.2065
8900	0.903921	-73.2065
9000	0.903921	-73.2065
9100	0.903921	-73.2065
9200	0.903921	-73.2065
9300	0.903921	-73.2065
9400	0.903921	-73.2065
9500	0.903921	-73.2065
9600	0.903921	-73.2065
9700	0.903921	-73.2065
9800	0.903921	-73.2065
9900	0.903921	-73.2065
10000	0.903921	-73.2065
2600	0.815373	-79.6804
2700	0.815373	-79.6804
2800	0.815373	-80.4988
2900	0.815373	-80.4988
3000	0.815373	-76.4034
3100	0.815373	-76.4034
3200	0.815373	-76.4034
3300	0.815373	-76.4034
3400	0.815373	-76.4034
3500	0.815373	-79.6804
3600	0.815373	-79.3531
3700	0.815373	-79.3531
3800	0.815373	-79.3531
3900	0.815373	-79.3531
4000	0.815373	-79.3531
4100	0.815373	-79.3531
4200	0.815373	-76.8945
4300	0.815373	-76.8945
4400	0.815373	-92.5847
4500	0.815373	-92.5847
4600	0.815373	-92.5847
4700	0.815373	-92.5847
4800	0.815373	-80.4988
4900	0.815373	-76.4034
5000	0.815373	-76.4034
5100	0.815373	-79.1894
5200	0.815373	-85.2924
5300	0.815373	-85.2924
5400	0.815373	-92.5847
5500	0.815373	-92.5847
5600	0.815373	-92.5847
5700	0.815373	-80.4988
5800	0.815373	-80.4988
5900	0.815373	-80.4988
6000	0.815373	-80.4988
6100	0.815373	-80.4988
6200	0.815373	-79.6804
6300	0.815373	-79.6804
6400	0.815373	-92.5847
6500	0.815373	-80.4988
6600	0.815373	-79.6804
6700	0.815373	-79.6804
6800	0.815373	-76.4034
6900	0.815373	-76.8945
7000	0.815373	-76.8945
7100	0.815373	-76.8945
7200	0.815373	-76.8945
7300	0.815373	-76.8945
7400	0.815373	-76.8945
7500	0.815373	-76.8945
7600	0.815373	-76.8945
7700	0.815373	-76.4034
7800	0.815373	-76.4034
7900	0.815373	-76.4034
8000	0.815373	-76.4034
8100	0.815373	-76.4034
8200	0.815373	-76.4034
8300	0.815373	-76.4034
8400	0.815373	-76.4034
8500	0.815373	-76.4034
8600	0.815373	-79.5168
8700	0.815373	-79.5168
8800	0.815373	-79.5168
8900	0.815373	-79.5168
9000	0.815373	-79.6804
9100	0.815373	-76.4034
9200	0.815373	-76.4034
9300	0.815373	-76.4034
9400	0.815373	-76.4034
9500	0.815373	-76.4034
9600	0.815373	-76.8945
9700	0.815373	-76.8945
9800	0.815373	-79.3531
9900	0.815373	-78.6984
10000	0.815373	-79.6804
2600	0.733904	-76.4034
2700	0.733904	-76.4034
2800	0.733904	-79.5168
2900	0.733904	-85.2924
3000	0.733904	-85.2924
3100	0.733904	-92.5847
3200	0.733904	-92.5847
3300	0.733904	-85.4067
3400	0.733904	-80.4988
3500	0.733904	-80.4988
3600	0.733904	-82.8773
3700	0.733904	-92.5847
3800	0.733904	-92.5847
3900	0.733904	-92.5847
4000	0.733904	-80.8262
4100	0.733904	-80.8262
4200	0.733904	-80.8262
4300	0.733904	-80.8262
4400	0.733904	-80.4988
4500	0.733904	-80.4988
4600	0.733904	-80.4988
4700	0.733904	-92.5847
4800	0.733904	-83.3684
4900	0.733904	-79.6804
5000	0.733904	-79.6804
5100	0.733904	-79.6804
5200	0.733904	-79.6804
5300	0.733904	-76.8945
5400	0.733904	-80.4988
5500	0.733904	-80.4988
5600	0.733904	-80.4988
5700	0.733904	-79.6804
5800	0.733904	-76.8945
5900	0.733904	-76.8945
6000	0.733904	-76.8945
6100	0.733904	-76.8945
6200	0.733904	-76.8945
6300	0.733904	-76.8945
6400	0.733904	-76.8945
6500	0.733904	-76.8945
6600	0.733904	-76.8945
6700	0.733904	-76.8945
6800	0.733904	-76.8945
6900	0.733904	-79.6804
7000	0.733904	-79.6804
7100	0.733904	-80.4988
7200	0.733904	-80.2548
7300	0.733904	-80.2548
7400	0.733904	-79.6804
7500	0.733904	-80.4988
7600	0.733904	-80.8262
7700	0.733904	-92.5847
7800	0.733904	-92.5847
7900	0.733904	-92.5847
8000	0.733904	-92.5847
8100	0.733904	-92.5847
8200	0.733904	-79.6804
8300	0.733904	-79.6804
8400	0.733904	-79.6804
8500	0.733904	-79.6804
8600	0.733904	-79.6804
8700	0.733904	-79.6804
8800	0.733904	-79.6804
8900	0.733904	-79.6804
9000	0.733904	-79.6804
9100	0.733904	-92.5847
9200	0.733904	-79.6804
9300	0.733904	-79.6804
9400	0.733904	-79.6804
9500	0.733904	-76.4034
9600	0.733904	-76.4034
9700	0.733904	-79.6804
9800	0.733904	-79.6804
9900	0.733904	-79.6804
10000	0.733904	-80.4988
2600	0.659082	-80.4988
2700	0.659082	-80.4988
2800	0.659082	-80.4988
2900	0.659082	-80.8262
3000	0.659082	-80.4988
3100	0.659082	-80.4988
3200	0.659082	-92.5847
3300	0.659082	-79.6804
3400	0.659082	-79.6804
3500	0.659082	-79.6804
3600	0.659082	-79.6804
3700	0.659082	-79.6804
3800	0.659082	-92.5847
3900	0.659082	-79.6804
4000	0.659082	-79.6804
4100	0.659082	-79.6804
4200	0.659082	-79.6804
4300	0.659082	-80.8262
4400	0.659082	-79.5168
4500	0.659082	-92.5847
4600	0.659082	-92.5847
4700	0.659082	-92.5847
4800	0.659082	-80.255
4900	0.659082	-79.6804
5000	0.659082	-79.6804
5100	0.659082	-79.6804
5200	0.659082	-85.2924
5300	0.659082	-92.5847
5400	0.659082	-92.5847
5500	0.659082	-92.5847
5600	0.659082	-92.5847
5700	0.659082	-92.5847
5800	0.659082	-92.5847
5900	0.659082	-92.5847
6000	0.659082	-92.5847
6100	0.659082	-92.5847
6200	0.659082	-92.5847
6300	0.659082	-79.6804
6400	0.659082	-79.6804
6500	0.659082	-79.6804
6600	0.659082	-79.6804
6700	0.659082	-79.6804
6800	0.659082	-80.255
6900	0.659082	-92.5847
7000	0.659082	-76.4034
7100	0.659082	-80.4988
7200	0.659082	-85.2924
7300	0.659082	-92.5847
7400	0.659082	-79.6804
7500	0.659082	-92.5847
7600	0.659082	-92.5847
7700	0.659082	-79.6804
7800	0.659082	-92.5847
7900	0.659082	-92.5847
8000	0.659082	-92.5847
8100	0.659082	-79.6804
8200	0.659082	-79.6804
8300	0.659082	-85.2924
8400	0.659082	-85.2924
8500	0.659082	-85.2924
8600	0.659082	-85.2924
8700	0.659082	-92.5847
8800	0.659082	-80.4988
8900	0.659082	-80.4988
9000	0.659082	-73.0429
9100	0.659082	-73.0429
9200	0.659082	-73.0429
9300	0.659082	-73.0429
9400	0.659082	-73.0429
9500	0.659082	-73.0429
9600	0.659082	-73.0429
9700	0.659082	-73.0429
9800	0.659082	-73.0429
9900	0.659082	-73.0429
10000	0.659082	-73.0429
2600	0.59049	-92.5847
2700	0.59049	-80.4988
2800	0.59049	-79.6804
2900	0.59049	-79.6804
3000	0.59049	-92.5847
3100	0.59049	-80.4988
3200	0.59049	-92.5847
3300	0.59049	-92.5847
3400	0.59049	-72.8792
3500	0.59049	-72.8792
3600	0.59049	-72.8792
3700	0.59049	-72.8792
3800	0.59049	-72.8792
3900	0.59049	-72.8792
4000	0.59049	-72.8792
4100	0.59049	-72.8792
4200	0.59049	-72.8792
4300	0.59049	-72.8792
4400	0.59049	-72.8792
4500	0.59049	-72.8792
4600	0.59049	-72.8792
4700	0.59049	-72.8792
4800	0.59049	-72.8792
4900	0.59049	-72.8792
5000	0.59049	-72.8792
5100	0.59049	-72.8792
5200	0.59049	-72.8792
5300	0.59049	-72.8792
5400	0.59049	-72.8792
5500	0.59049	-72.8792
5600	0.59049	-72.8792
5700	0.59049	-80.4988
5800	0.59049	-92.421
5900	0.59049	-92.5847
6000	0.59049	-92.5847
6100	0.59049	-92.5847
6200	0.59049	-76.4034
6300	0.59049	-80.8262
6400	0.59049	-78.6984
6500	0.59049	-80.255
6600	0.59049	-92.5847
6700	0.59049	-92.5847
6800	0.59049	-92.5847
6900	0.59049	-92.5847
7000	0.59049	-80.4988
7100	0.59049	-80.4988
7200	0.59049	-79.3531
7300	0.59049	-78.6984
7400	0.59049	-80.4988
7500	0.59049	-80.4988
7600	0.59049	-92.5847
7700	0.59049	-79.1894
7800	0.59049	-79.1894
7900	0.59049	-80.4988
8000	0.59049	-79.6804
8100	0.59049	-79.6804
8200	0.59049	-79.6804
8300	0.59049	-79.6804
8400	0.59049	-79.6804
8500	0.59049	-85.2924
8600	0.59049	-92.5847
8700	0.59049	-78.8621
8800	0.59049	-79.3531
8900	0.59049	-92.5847
9000	0.59049	-92.5847
9100	0.59049	-92.5847
9200	0.59049	-92.5847
9300	0.59049	-92.5847
9400	0.59049	-92.5847
9500	0.59049	-92.5847
9600	0.59049	-92.5847
9700	0.59049	-85.2924
9800	0.59049	-79.6804
9900	0.59049	-79.6804
10000	0.59049	-80.4988
2600	0.527732	-80.4988
2700	0.527732	-79.6804
2800	0.527732	-92.5847
2900	0.527732	-92.5847
3000	0.527732	-92.5847
3100	0.527732	-80.4988
3200	0.527732	-92.5847
3300	0.527732	-85.2924
3400	0.527732	-83.2997
3500	0.527732	-80.8262
3600	0.527732	-79.1894
3700	0.527732	-85.2924
3800	0.527732	-92.5847
3900	0.527732	-92.5847
4000	0.527732	-92.5847
4100	0.527732	-79.6804
4200	0.527732	-79.6804
4300	0.527732	-79.6804
4400	0.527732	-92.5847
4500	0.527732	-76.4034
4600	0.527732	-92.5847
4700	0.527732	-92.5847
4800	0.527732	-92.5847
4900	0.527732	-80.4988
5000	0.527732	-80.8262
5100	0.527732	-80.8262
5200	0.527732	-92.5847
5300	0.527732	-92.5847
5400	0.527732	-80.4988
5500	0.527732	-92.5847
5600	0.527732	-92.5847
5700	0.527732	-92.5847
5800	0.527732	-92.5847
5900	0.527732	-92.5847
6000	0.527732	-92.5847
6100	0.527732	-79.6804
6200	0.527732	-79.6804
6300	0.527732	-79.6804
6400	0.527732	-92.5847
6500	0.527732	-92.5847
6600	0.527732	-92.5847
6700	0.527732	-80.4988
6800	0.527732	-92.5847
6900	0.527732	-92.5847
7000	0.527732	-92.5847
7100	0.527732	-92.5847
7200	0.527732	-92.5847
7300	0.527732	-92.5847
7400	0.527732	-92.5847
7500	0.527732	-92.5847
7600	0.527732	-92.5847
7700	0.527732	-76.4034
7800	0.527732	-76.4034
7900	0.527732	-76.4034
8000	0.527732	-79.6804
8100	0.527732	-79.6804
8200	0.527732	-79.5168
8300	0.527732	-92.5847
8400	0.527732	-92.5847
8500	0.527732	-92.5847
8600	0.527732	-76.4034
8700	0.527732	-92.5847
8800	0.527732	-92.5847
8900	0.527732	-92.5847
9000	0.527732	-82.8773
9100	0.527732	-80.8262
9200	0.527732	-92.5847
9300	0.527732	-92.5847
9400	0.527732	-76.4034
9500	0.527732	-76.4034
9600	0.527732	-76.4034
9700	0.527732	-85.2924
9800	0.527732	-92.5847
9900	0.527732	-79.5168
10000	0.527732	-92.5847
2600	0.470427	-92.5847
2700	0.470427	-92.5847
2800	0.470427	-85.2924
2900	0.470427	-92.5847
3000	0.470427	-92.5847
3100	0.470427	-92.5847
3200	0.470427	-92.5847
3300	0.470427	-92.5847
3400	0.470427	-85.2924
3500	0.470427	-92.5847
3600	0.470427	-92.5847
3700	0.470427	-92.5847
3800	0.470427	-79.1894
3900	0.470427	-80.9898
4000	0.470427	-80.9898
4100	0.470427	-92.5847
4200	0.470427	-92.5847
4300	0.470427	-92.5847
4400	0.470427	-92.5847
4500	0.470427	-92.5847
4600	0.470427	-92.5847
4700	0.470427	-92.5847
4800	0.470427	-85.2924
4900	0.470427	-92.5847
5000	0.470427	-92.5847
5100	0.470427	-92.5847
5200	0.470427	-92.5847
5300	0.470427	-79.6804
5400	0.470427	-76.4034
5500	0.470427	-92.5847
5600	0.470427	-92.5847
5700	0.470427	-92.5847
5800	0.470427	-92.5847
5900	0.470427	-92.5847
6000	0.470427	-92.5847
6100	0.470427	-92.5847
6200	0.470427	-92.5847
6300	0.470427	-92.5847
6400	0.470427	-92.5847
6500	0.470427	-92.5847
6600	0.470427	-92.5847
6700	0.470427	-73.2065
6800	0.470427	-73.2065
6900	0.470427	-73.2065
7000	0.470427	-73.2065
7100	0.470427	-73.2065
7200	0.470427	-73.2065
7300	0.470427	-73.2065
7400	0.470427	-73.2065
7500	0.470427	-73.2065
7600	0.470427	-73.2065
7700	0.470427	-73.2065
7800	0.470427	-73.2065
7900	0.470427	-92.5847
8000	0.470427	-92.5847
8100	0.470427	-92.5847
8200	0.470427	-92.5847
8300	0.470427	-80.4988
8400	0.470427	-92.5847
8500	0.470427	-92.5847
8600	0.470427	-79.6804
8700	0.470427	-80.4988
8800	0.470427	-92.5847
8900	0.470427	-92.5847
9000	0.470427	-92.5847
9100	0.470427	-92.5847
9200	0.470427	-92.5847
9300	0.470427	-92.5847
9400	0.470427	-80.4988
9500	0.470427	-92.5847
9600	0.470427	-92.5847
9700	0.470427	-92.5847
9800	0.470427	-92.5847
9900	0.470427	-79.6804
10000	0.470427	-92.5847
2600	0.418212	-89.8422
2700	0.418212	-92.5847
2800	0.418212	-92.5847
2900	0.418212	-92.5847
3000	0.418212	-92.5847
3100	0.418212	-92.5847
3200	0.418212	-92.5847
3300	0.418212	-92.5847
3400	0.418212	-92.5847
3500	0.418212	-92.5847
3600	0.418212	-92.5847
3700	0.418212	-92.5847
3800	0.418212	-85.2924
3900	0.418212	-92.5847
4000	0.418212	-92.5847
4100	0.418212	-92.5847
4200	0.418212	-92.5847
4300	0.418212	-92.5847
4400	0.418212	-92.5847
4500	0.418212	-92.5847
4600	0.418212	-92.5847
4700	0.418212	-92.5847
