state	power	likelihood
2600	1	-26.0032
2700	1	-26.0032
2800	1	-26.0032
2900	1	-26.0032
3000	1	-26.0032
3100	1	-26.0032
3200	1	-26.0032
3300	1	-26.0032
3400	1	-26.0032
3500	1	-26.0032
3600	1	-26.0032
3700	1	-26.0032
3800	1	-26.0032
3900	1	-26.0032
4000	1	-26.0032
4100	1	-26.0032
4200	1	-26.0032
4300	1	-26.0032
4400	1	-26.0032
4500	1	-26.0032
4600	1	-26.0032
4700	1	-26.0032
4800	1	-26.0032
4900	1	-26.0032
5000	1	-26.0032
5100	1	-26.0032
5200	1	-26.0032
5300	1	-26.0032
5400	1	-26.0032
5500	1	-26.0032
5600	1	-26.0032
5700	1	-26.0032
5800	1	-26.0032
5900	1	-26.0032
6000	1	-26.0032
6100	1	-26.0032
6200	1	-26.0032
6300	1	-26.0032
6400	1	-26.0032
6500	1	-26.0032
6600	1	-26.0032
6700	1	-26.0032
6800	1	-26.0032
6900	1	-26.0032
7000	1	-26.0032
7100	1	-26.0032
7200	1	-26.0032
7300	1	-26.0032
7400	1	-26.0032
7500	1	-26.0032
7600	1	-26.0032
7700	1	-26.0032
7800	1	-26.0032
7900	1	-26.0032
8000	1	-26.0032
8100	1	-26.0032
8200	1	-26.0032
8300	1	-26.0032
8400	1	-26.0032
8500	1	-26.0032
8600	1	-26.0032
8700	1	-26.0032
8800	1	-26.0032
8900	1	-26.0032
9000	1	-26.0032
9100	1	-26.0032
9200	1	-26.0032
9300	1	-26.0032
9400	1	-26.0032
9500	1	-26.0032
9600	1	-26.0032
9700	1	-26.0032
9800	1	-26.0032
9900	1	-26.0032
10000	1	-26.0032
2600	0.903921	-32.8565
2700	0.903921	-34.9709
2800	0.903921	-34.9155
2900	0.903921	-32.8565
3000	0.903921	-35.0263
3100	0.903921	-35.0263
3200	0.903921	-32.8565
3300	0.903921	-35.0263
3400	0.903921	-35.0263
3500	0.903921	-35.0263
3600	0.903921	-34.7764
3700	0.903921	-35.0263
3800	0.903921	-35.0263
3900	0.903921	-34.9155
4000	0.903921	-35.0263
4100	0.903921	-39.8875
4200	0.903921	-35.0263
4300	0.903921	-30.5534
4400	0.903921	-35.0263
4500	0.903921	-32.8565
4600	0.903921	-35.0263
4700	0.903921	-34.9155
4800	0.903921	-34.9155
4900	0.903921	-32.8565
5000	0.903921	-32.8565
5100	0.903921	-32.8565
5200	0.903921	-32.8565
5300	0.903921	-34.9155
5400	0.903921	-35.0263
5500	0.903921	-35.0263
5600	0.903921	-32.8565
5700	0.903921	-32.8565
5800	0.903921	-30.5534
5900	0.903921	-30.5534
6000	0.903921	-34.9155
6100	0.903921	-32.8565
6200	0.903921	-32.8565
6300	0.903921	-34.9155
6400	0.903921	-35.0263
6500	0.903921	-34.9155
6600	0.903921	-34.9155
6700	0.903921	-35.0263
6800	0.903921	-32.8565
6900	0.903921	-35.0263
7000	0.903921	-34.9155
7100	0.903921	-32.8565
7200	0.903921	-34.9709
7300	0.903921	-35.0263
7400	0.903921	-35.0263
7500	0.903921	-34.9709
7600	0.903921	-35.0263
7700	0.903921	-32.8565
7800	0.903921	-33.4176
7900	0.903921	-32.8565
8000	0.903921	-35.0263
8100	0.903921	-32.8565
8200	0.903921	-35.0263
8300	0.903921	-35.0263
8400	0.903921	-34.9155
8500	0.903921	-35.0263
8600	0.903921	-34.9155
8700	0.903921	-35.0263
8800	0.903921	-34.9155
8900	0.903921	-34.9155
9000	0.903921	-35.0263
9100	0.903921	-35.0263
9200	0.903921	-34.9155
9300	0.903921	-32.8565
9400	0.903921	-34.9155
9500	0.903921	-35.0263
9600	0.903921	-32.8565
9700	0.903921	-35.0263
9800	0.903921	-35.0263
9900	0.903921	-35.0263
10000	0.903921	-34.9155
2600	0.815373	-35.0263
2700	0.815373	-34.9155
2800	0.815373	-34.9155
2900	0.815373	-35.0263
3000	0.815373	-34.9155
3100	0.815373	-34.9155
3200	0.815373	-34.9155
3300	0.815373	-35.0263
3400	0.815373	-34.9155
3500	0.815373	-34.9155
3600	0.815373	-35.0263
3700	0.815373	-35.0263
3800	0.815373	-32.8565
3900	0.815373	-35.0263
4000	0.815373	-32.8565
4100	0.815373	-34.9709
4200	0.815373	-35.0263
4300	0.815373	-35.0263
4400	0.815373	-35.0263
4500	0.815373	-35.0263
4600	0.815373	-35.0263
4700	0.815373	-34.9155
4800	0.815373	-34.9155
4900	0.815373	-35.0263
5000	0.815373	-34.9155
5100	0.815373	-35.0263
5200	0.815373	-34.9155
5300	0.815373	-32.8565
5400	0.815373	-34.7764
5500	0.815373	-34.9155
5600	0.815373	-35.0263
5700	0.815373	-32.8565
5800	0.815373	-35.0263
5900	0.815373	-32.8565
6000	0.815373	-35.0263
6100	0.815373	-34.9155
6200	0.815373	-35.0263
6300	0.815373	-35.0263
6400	0.815373	-34.9155
6500	0.815373	-32.8565
6600	0.815373	-34.9155
6700	0.815373	-34.9155
6800	0.815373	-35.0263
6900	0.815373	-35.0263
7000	0.815373	-35.0263
7100	0.815373	-35.0263
7200	0.815373	-35.0263
7300	0.815373	-34.9155
7400	0.815373	-35.0263
7500	0.815373	-32.8565
7600	0.815373	-35.0263
7700	0.815373	-35.0263
7800	0.815373	-35.0263
7900	0.815373	-34.9155
8000	0.815373	-34.9155
8100	0.815373	-30.5534
8200	0.815373	-35.0263
8300	0.815373	-32.8565
8400	0.815373	-34.9155
8500	0.815373	-32.8565
8600	0.815373	-35.0263
8700	0.815373	-35.0263
8800	0.815373	-35.0263
8900	0.815373	-35.0263
9000	0.815373	-34.9155
9100	0.815373	-34.9155
9200	0.815373	-39.8875
9300	0.815373	-34.9709
9400	0.815373	-35.0263
9500	0.815373	-41.8843
9600	0.815373	-35.0263
9700	0.815373	-32.8565
9800	0.815373	-32.8565
9900	0.815373	-34.9155
10000	0.815373	-34.9155
2600	0.733904	-35.0263
2700	0.733904	-35.0263
2800	0.733904	-32.8565
2900	0.733904	-35.0263
3000	0.733904	-35.0263
3100	0.733904	-34.9709
3200	0.733904	-35.0263
3300	0.733904	-35.0263
3400	0.733904	-34.9709
3500	0.733904	-34.9155
3600	0.733904	-35.0263
3700	0.733904	-35.0263
3800	0.733904	-32.8565
3900	0.733904	-34.9155
4000	0.733904	-35.0263
4100	0.733904	-34.9155
4200	0.733904	-35.0263
4300	0.733904	-32.8565
4400	0.733904	-35.0263
4500	0.733904	-35.0263
4600	0.733904	-32.8565
4700	0.733904	-34.9155
4800	0.733904	-35.0263
4900	0.733904	-39.8875
5000	0.733904	-39.8875
5100	0.733904	-46.8008
5200	0.733904	-35.0263
5300	0.733904	-35.0263
5400	0.733904	-35.0263
5500	0.733904	-32.8565
5600	0.733904	-34.9709
5700	0.733904	-35.0263
5800	0.733904	-35.0263
5900	0.733904	-35.0263
6000	0.733904	-34.9155
6100	0.733904	-34.9155
6200	0.733904	-34.9709
6300	0.733904	-35.0263
6400	0.733904	-35.0263
6500	0.733904	-35.0263
6600	0.733904	-35.0263
6700	0.733904	-34.9155
6800	0.733904	-35.0263
6900	0.733904	-35.0263
7000	0.733904	-35.0263
7100	0.733904	-32.8565
7200	0.733904	-39.8875
7300	0.733904	-34.9155
7400	0.733904	-35.0263
7500	0.733904	-35.0263
7600	0.733904	-35.0263
7700	0.733904	-35.0263
7800	0.733904	-34.9155
7900	0.733904	-34.9155
8000	0.733904	-35.0263
8100	0.733904	-35.0263
8200	0.733904	-35.0263
8300	0.733904	-32.8565
8400	0.733904	-35.0263
8500	0.733904	-35.0263
8600	0.733904	-34.9155
8700	0.733904	-35.0263
8800	0.733904	-35.0263
8900	0.733904	-32.8565
9000	0.733904	-35.0263
9100	0.733904	-34.9155
9200	0.733904	-34.9709
9300	0.733904	-35.0263
9400	0.733904	-34.9709
9500	0.733904	-35.0263
9600	0.733904	-35.0263
9700	0.733904	-35.0263
9800	0.733904	-35.0263
