state	power	likelihood
2600	0.00454354	-355.403
2700	0.00454354	-355.904
2800	0.00454354	-356.897
2900	0.00454354	-355.027
3000	0.00454354	-357.655
3100	0.00454354	-357.778
3200	0.00454354	-356.639
3300	0.00454354	-354.336
3400	0.00454354	-357.022
3500	0.00454354	-356.453
3600	0.00454354	-354.555
3700	0.00454354	-357.773
3800	0.00454354	-357.274
3900	0.00454354	-356.484
4000	0.00454354	-355.266
4100	0.00454354	-364.372
4200	0.00454354	-357.779
4300	0.00454354	-357.784
4400	0.00454354	-357.724
4500	0.00454354	-357.999
4600	0.00454354	-357.022
4700	0.00454354	-358.677
4800	0.00454354	-357.774
4900	0.00454354	-354.847
5000	0.00454354	-357.724
5100	0.00454354	-358.151
5200	0.00454354	-356.725
5300	0.00454354	-356.404
5400	0.00454354	-357.43
5500	0.00454354	-357.576
5600	0.00454354	-356.768
5700	0.00454354	-357.781
5800	0.00454354	-357.408
5900	0.00454354	-357.538
6000	0.00454354	-356.436
6100	0.00454354	-357.446
6200	0.00454354	-357.68
6300	0.00454354	-357.2
6400	0.00454354	-357.785
6500	0.00454354	-358.646
6600	0.00454354	-357.447
6700	0.00454354	-357.164
6800	0.00454354	-357.775
6900	0.00454354	-357.699
7000	0.00454354	-357.413
7100	0.00454354	-357.779
7200	0.00454354	-356.897
7300	0.00454354	-357.178
7400	0.00454354	-357.479
7500	0.00454354	-357.637
7600	0.00454354	-358.574
7700	0.00454354	-353.733
7800	0.00454354	-358.042
7900	0.00454354	-358.676
8000	0.00454354	-356.486
8100	0.00454354	-356.268
8200	0.00454354	-357.663
8300	0.00454354	-356.71
8400	0.00454354	-357.1
8500	0.00454354	-357.266
8600	0.00454354	-357.778
8700	0.00454354	-355.491
8800	0.00454354	-357.78
8900	0.00454354	-353.936
9000	0.00454354	-364.116
9100	0.00454354	-357.455
9200	0.00454354	-357.785
9300	0.00454354	-357.768
9400	0.00454354	-357.696
9500	0.00454354	-357.792
9600	0.00454354	-354.932
9700	0.00454354	-356.281
9800	0.00454354	-357.651
9900	0.00454354	-357.479
10000	0.00454354	-353.697
