state	power	likelihood
2600	1	-74.8118
2700	1	-74.8118
2800	1	-74.8118
2900	1	-74.8118
3000	1	-74.7526
3100	1	-74.7526
3200	1	-74.7526
3300	1	-74.7526
3400	1	-74.7526
3500	1	-74.7526
3600	1	-74.7526
3700	1	-74.7526
3800	1	-74.7526
3900	1	-74.7526
4000	1	-74.7526
4100	1	-74.7526
4200	1	-74.7526
4300	1	-74.7526
4400	1	-74.7526
4500	1	-74.7526
4600	1	-74.7526
4700	1	-74.7526
4800	1	-74.7526
4900	1	-74.7526
5000	1	-74.7526
5100	1	-74.7526
5200	1	-74.7526
5300	1	-74.8118
5400	1	-74.8118
5500	1	-74.8118
5600	1	-74.8118
5700	1	-74.8118
5800	1	-74.8118
5900	1	-74.8118
6000	1	-74.8118
6100	1	-74.8118
6200	1	-74.8118
6300	1	-74.8118
6400	1	-74.8118
6500	1	-74.8118
6600	1	-74.8118
6700	1	-74.8118
6800	1	-74.8118
6900	1	-74.8118
7000	1	-74.8118
7100	1	-74.8118
7200	1	-74.8118
7300	1	-74.8118
7400	1	-74.8118
7500	1	-74.8118
7600	1	-74.8118
7700	1	-74.8118
7800	1	-74.8118
7900	1	-74.8118
8000	1	-74.8118
8100	1	-74.8118
8200	1	-74.8118
8300	1	-74.8118
8400	1	-74.8118
8500	1	-74.8118
8600	1	-74.8118
8700	1	-74.8118
8800	1	-74.8118
8900	1	-74.8118
9000	1	-74.8118
9100	1	-74.8118
9200	1	-74.8118
9300	1	-74.8118
9400	1	-74.8118
9500	1	-74.8118
9600	1	-74.8118
9700	1	-74.8118
9800	1	-74.8118
9900	1	-74.8118
10000	1	-74.8118
2600	0.903921	-74.7526
2700	0.903921	-74.7526
2800	0.903921	-74.7526
2900	0.903921	-74.7526
3000	0.903921	-74.7526
3100	0.903921	-74.7526
3200	0.903921	-74.7526
3300	0.903921	-74.7526
3400	0.903921	-74.7526
3500	0.903921	-74.7526
3600	0.903921	-74.7526
3700	0.903921	-74.7526
3800	0.903921	-74.7526
3900	0.903921	-74.7526
4000	0.903921	-74.7526
4100	0.903921	-74.7526
4200	0.903921	-74.7526
4300	0.903921	-74.7526
4400	0.903921	-74.7526
4500	0.903921	-74.7526
4600	0.903921	-74.7526
4700	0.903921	-74.7526
4800	0.903921	-74.7526
4900	0.903921	-74.7526
5000	0.903921	-74.7526
5100	0.903921	-77.8634
5200	0.903921	-77.8634
5300	0.903921	-77.8634
5400	0.903921	-77.8634
5500	0.903921	-77.8634
5600	0.903921	-77.8634
5700	0.903921	-77.8634
5800	0.903921	-77.8634
5900	0.903921	-77.8634
6000	0.903921	-77.8634
6100	0.903921	-77.8634
6200	0.903921	-77.8634
6300	0.903921	-77.8634
6400	0.903921	-77.8634
6500	0.903921	-77.8634
6600	0.903921	-77.8634
6700	0.903921	-77.8634
6800	0.903921	-77.8634
6900	0.903921	-77.8634
7000	0.903921	-77.8634
7100	0.903921	-77.8634
7200	0.903921	-77.8634
7300	0.903921	-77.8634
7400	0.903921	-77.8634
7500	0.903921	-77.8634
7600	0.903921	-77.8634
7700	0.903921	-77.8634
7800	0.903921	-77.8634
7900	0.903921	-77.8634
8000	0.903921	-77.8634
8100	0.903921	-77.8634
8200	0.903921	-77.8634
8300	0.903921	-77.8634
8400	0.903921	-77.8634
8500	0.903921	-77.8634
8600	0.903921	-77.8634
8700	0.903921	-77.8634
8800	0.903921	-77.8634
8900	0.903921	-77.8634
9000	0.903921	-77.8634
9100	0.903921	-77.8634
9200	0.903921	-77.8634
9300	0.903921	-77.8634
9400	0.903921	-77.8634
9500	0.903921	-77.8634
9600	0.903921	-86.6651
9700	0.903921	-86.6651
9800	0.903921	-93.6365
9900	0.903921	-93.6365
10000	0.903921	-91.6455
2600	0.815373	-74.8118
2700	0.815373	-74.8118
2800	0.815373	-74.8118
2900	0.815373	-74.8118
3000	0.815373	-74.8118
3100	0.815373	-74.8118
3200	0.815373	-74.8118
3300	0.815373	-74.8118
3400	0.815373	-74.8118
3500	0.815373	-74.8118
3600	0.815373	-74.8118
3700	0.815373	-74.8118
3800	0.815373	-74.8118
3900	0.815373	-74.8118
4000	0.815373	-74.8118
4100	0.815373	-74.8118
4200	0.815373	-74.8118
4300	0.815373	-74.8118
4400	0.815373	-74.8118
4500	0.815373	-74.8118
4600	0.815373	-74.8118
4700	0.815373	-74.8118
4800	0.815373	-74.8118
4900	0.815373	-74.8118
5000	0.815373	-74.8118
5100	0.815373	-74.8118
5200	0.815373	-74.8118
5300	0.815373	-74.8118
5400	0.815373	-74.8118
5500	0.815373	-74.8118
5600	0.815373	-74.8118
5700	0.815373	-74.8118
5800	0.815373	-74.8118
5900	0.815373	-74.8118
6000	0.815373	-74.8118
6100	0.815373	-74.8118
6200	0.815373	-74.8118
6300	0.815373	-74.8118
6400	0.815373	-74.8118
6500	0.815373	-74.8118
6600	0.815373	-74.8118
6700	0.815373	-74.8118
6800	0.815373	-74.8118
6900	0.815373	-74.8118
7000	0.815373	-74.8118
7100	0.815373	-74.8118
7200	0.815373	-74.8118
7300	0.815373	-74.8118
7400	0.815373	-74.8118
7500	0.815373	-74.8118
7600	0.815373	-74.8118
7700	0.815373	-74.8118
7800	0.815373	-74.8118
7900	0.815373	-74.8118
8000	0.815373	-74.8118
8100	0.815373	-74.8118
8200	0.815373	-74.8118
8300	0.815373	-74.8118
8400	0.815373	-74.8118
8500	0.815373	-74.8118
8600	0.815373	-74.8118
8700	0.815373	-74.8118
8800	0.815373	-74.8118
8900	0.815373	-74.8118
9000	0.815373	-74.8118
9100	0.815373	-74.8118
9200	0.815373	-74.8118
9300	0.815373	-74.8118
9400	0.815373	-74.8118
9500	0.815373	-74.8118
9600	0.815373	-74.8118
9700	0.815373	-74.8118
9800	0.815373	-74.8118
9900	0.815373	-74.8118
10000	0.815373	-74.8118
2600	0.733904	-77.8634
2700	0.733904	-77.8634
2800	0.733904	-77.8634
2900	0.733904	-77.8634
3000	0.733904	-77.8634
3100	0.733904	-77.8634
3200	0.733904	-77.8634
3300	0.733904	-77.8634
3400	0.733904	-77.8634
3500	0.733904	-77.8634
3600	0.733904	-77.8634
3700	0.733904	-77.8634
3800	0.733904	-77.8634
3900	0.733904	-77.8634
4000	0.733904	-77.8634
4100	0.733904	-77.8634
4200	0.733904	-77.8634
4300	0.733904	-77.8634
4400	0.733904	-77.8634
4500	0.733904	-77.8634
4600	0.733904	-77.8634
4700	0.733904	-77.8634
4800	0.733904	-77.8634
4900	0.733904	-77.8634
5000	0.733904	-77.8634
5100	0.733904	-77.8634
5200	0.733904	-77.8634
5300	0.733904	-77.8634
5400	0.733904	-77.8634
5500	0.733904	-77.8634
5600	0.733904	-77.8634
5700	0.733904	-77.8634
5800	0.733904	-74.6541
5900	0.733904	-74.6541
6000	0.733904	-74.6541
6100	0.733904	-74.6541
6200	0.733904	-74.6541
6300	0.733904	-74.6541
6400	0.733904	-74.6541
6500	0.733904	-74.6541
6600	0.733904	-74.6541
6700	0.733904	-74.6541
6800	0.733904	-74.6541
6900	0.733904	-74.6541
7000	0.733904	-74.6541
7100	0.733904	-74.6541
7200	0.733904	-74.6541
7300	0.733904	-74.6541
7400	0.733904	-74.6541
7500	0.733904	-74.6541
7600	0.733904	-74.6541
7700	0.733904	-74.6541
7800	0.733904	-74.6541
7900	0.733904	-74.6541
8000	0.733904	-74.6541
8100	0.733904	-74.6541
8200	0.733904	-74.6541
8300	0.733904	-74.6541
8400	0.733904	-74.6541
8500	0.733904	-74.6541
8600	0.733904	-74.6541
8700	0.733904	-74.6541
8800	0.733904	-74.6541
8900	0.733904	-74.6541
9000	0.733904	-74.6541
9100	0.733904	-74.6541
9200	0.733904	-74.6541
9300	0.733904	-74.6541
9400	0.733904	-74.6541
9500	0.733904	-81.7239
9600	0.733904	-86.7832
9700	0.733904	-93.6365
9800	0.733904	-93.6365
9900	0.733904	-93.6365
10000	0.733904	-93.6365
2600	0.659082	-93.6365
2700	0.659082	-77.8634
2800	0.659082	-77.8634
2900	0.659082	-77.8634
3000	0.659082	-77.8634
3100	0.659082	-77.8634
3200	0.659082	-77.8634
3300	0.659082	-77.8634
